date,state,death,positive,hospitalized
22.06.2022,AL,19722,1342150,98042.0
21.06.2022,AL,19697,1340110,97972.0
20.06.2022,AL,19697,1338177,97900.0
19.06.2022,AL,19696,1334981,97843.0
18.06.2022,AL,19696,1334981,97792.0
17.06.2022,AL,19696,1334981,97729.0
16.06.2022,AL,19696,1333137,97667.0
15.06.2022,AL,19696,1331452,97609.0
14.06.2022,AL,19695,1329827,97533.0
13.06.2022,AL,19695,1328321,97478.0
12.06.2022,AL,19692,1325361,97441.0
11.06.2022,AL,19692,1325361,97401.0
10.06.2022,AL,19692,1325361,97360.0
09.06.2022,AL,19684,1324178,97318.0
08.06.2022,AL,19676,1322957,97256.0
07.06.2022,AL,19676,1321892,97215.0
06.06.2022,AL,19676,1320708,97159.0
05.06.2022,AL,19664,1317029,97127.0
04.06.2022,AL,19664,1317029,97096.0
03.06.2022,AL,19664,1317029,97045.0
02.06.2022,AL,19664,1317029,97002.0
01.06.2022,AL,19664,1315934,96948.0
31.05.2022,AL,19664,1314963,96904.0
30.05.2022,AL,19658,1312437,96853.0
29.05.2022,AL,19651,1311381,96818.0
28.05.2022,AL,19651,1311381,96781.0
27.05.2022,AL,19651,1311381,96755.0
26.05.2022,AL,19651,1311381,96734.0
25.05.2022,AL,19651,1310513,96711.0
24.05.2022,AL,19649,1309185,96670.0
23.05.2022,AL,19649,1309185,96643.0
22.05.2022,AL,19645,1307883,96623.0
21.05.2022,AL,19645,1307883,96605.0
20.05.2022,AL,19645,1307883,96573.0
19.05.2022,AL,19641,1307291,96551.0
18.05.2022,AL,19633,1306662,96528.0
17.05.2022,AL,19633,1306116,96503.0
16.05.2022,AL,19631,1305665,96478.0
15.05.2022,AL,19628,1304710,96461.0
14.05.2022,AL,19628,1304710,96438.0
13.05.2022,AL,19628,1304710,96413.0
12.05.2022,AL,19623,1304291,96380.0
11.05.2022,AL,19606,1303835,96353.0
10.05.2022,AL,19606,1303441,96329.0
09.05.2022,AL,19601,1302945,96312.0
08.05.2022,AL,19601,1302397,96293.0
07.05.2022,AL,19601,1302397,96279.0
06.05.2022,AL,19601,1302397,96260.0
05.05.2022,AL,19593,1302155,96250.0
04.05.2022,AL,19590,1301805,96230.0
03.05.2022,AL,19585,1301463,96220.0
02.05.2022,AL,19570,1301171,96206.0
01.05.2022,AL,19567,1300733,96195.0
30.04.2022,AL,19567,1300733,96180.0
29.04.2022,AL,19567,1300733,96166.0
28.04.2022,AL,19561,1300511,96153.0
27.04.2022,AL,19559,1300278,96136.0
26.04.2022,AL,19545,1300076,96113.0
25.04.2022,AL,19545,1299816,96093.0
24.04.2022,AL,19541,1299137,96069.0
23.04.2022,AL,19541,1299137,96051.0
22.04.2022,AL,19541,1299137,96023.0
21.04.2022,AL,19529,1298880,96013.0
20.04.2022,AL,19524,1298626,96001.0
19.04.2022,AL,19513,1298473,95983.0
18.04.2022,AL,19510,1298837,95973.0
17.04.2022,AL,19502,1297869,95964.0
16.04.2022,AL,19502,1297869,95948.0
15.04.2022,AL,19502,1297869,95933.0
14.04.2022,AL,19475,1297649,95908.0
13.04.2022,AL,19441,1297461,95894.0
12.04.2022,AL,19417,1297305,95884.0
11.04.2022,AL,19379,1297091,95872.0
10.04.2022,AL,19376,1296730,95863.0
09.04.2022,AL,19376,1296730,95853.0
08.04.2022,AL,19376,1296730,95838.0
07.04.2022,AL,19374,1296558,95824.0
06.04.2022,AL,19374,1296348,95801.0
05.04.2022,AL,19362,1296129,95779.0
04.04.2022,AL,19334,1295892,95763.0
03.04.2022,AL,19313,1295468,95750.0
02.04.2022,AL,19313,1295468,95737.0
01.04.2022,AL,19313,1295468,95721.0
31.03.2022,AL,19290,1295327,95702.0
30.03.2022,AL,19284,1295069,95687.0
29.03.2022,AL,19280,1294816,95663.0
28.03.2022,AL,19234,1294532,95643.0
27.03.2022,AL,19210,1292508,95631.0
26.03.2022,AL,19210,1292508,95615.0
25.03.2022,AL,19210,1292508,95600.0
24.03.2022,AL,19173,1292344,95575.0
23.03.2022,AL,19169,1291946,95553.0
22.03.2022,AL,19139,1291761,95526.0
21.03.2022,AL,19093,1291561,95506.0
20.03.2022,AL,19038,1291186,95485.0
19.03.2022,AL,19038,1291186,95471.0
18.03.2022,AL,19038,1291186,95453.0
17.03.2022,AL,18998,1290692,95427.0
16.03.2022,AL,18944,1290165,95398.0
15.03.2022,AL,18943,1289727,95360.0
14.03.2022,AL,18890,1289510,95332.0
13.03.2022,AL,18832,1288999,95296.0
12.03.2022,AL,18832,1288999,95270.0
11.03.2022,AL,18832,1288999,95244.0
10.03.2022,AL,18766,1288454,95193.0
09.03.2022,AL,18694,1287822,95154.0
08.03.2022,AL,18648,1287286,95100.0
07.03.2022,AL,18569,1286655,95052.0
06.03.2022,AL,18480,1282945,95004.0
05.03.2022,AL,18480,1282945,94952.0
04.03.2022,AL,18480,1282945,94894.0
03.03.2022,AL,18407,1282372,94827.0
02.03.2022,AL,18335,1281610,94772.0
01.03.2022,AL,18287,1280351,94708.0
28.02.2022,AL,18225,1279565,94651.0
27.02.2022,AL,18186,1277837,94577.0
