date,state,death,positive,hospitalized
22.06.2022,AK,1231,250720,6794.0
21.06.2022,AK,1231,250720,6777.0
20.06.2022,AK,1231,250193,6756.0
19.06.2022,AK,1231,250138,6748.0
18.06.2022,AK,1231,250001,6743.0
17.06.2022,AK,1231,249817,6725.0
16.06.2022,AK,1231,248735,6713.0
15.06.2022,AK,1231,248735,6708.0
14.06.2022,AK,1231,248735,6707.0
13.06.2022,AK,1231,248447,6701.0
12.06.2022,AK,1231,248154,6684.0
11.06.2022,AK,1231,247995,6676.0
10.06.2022,AK,1231,246922,6670.0
09.06.2022,AK,1231,246922,6660.0
08.06.2022,AK,1231,246922,6652.0
07.06.2022,AK,1231,246922,6645.0
06.06.2022,AK,1231,246527,6631.0
05.06.2022,AK,1231,244906,6619.0
04.06.2022,AK,1231,244906,6610.0
03.06.2022,AK,1231,244906,6602.0
02.06.2022,AK,1231,244906,6596.0
01.06.2022,AK,1231,244906,6582.0
31.05.2022,AK,1231,244906,6568.0
30.05.2022,AK,1231,244669,6560.0
29.05.2022,AK,1231,244480,6552.0
28.05.2022,AK,1231,244364,6549.0
27.05.2022,AK,1231,243264,6534.0
26.05.2022,AK,1231,243264,6523.0
25.05.2022,AK,1231,243264,6515.0
24.05.2022,AK,1231,243264,6508.0
23.05.2022,AK,1231,242800,6501.0
22.05.2022,AK,1231,242585,6492.0
21.05.2022,AK,1231,242471,6484.0
20.05.2022,AK,1231,241449,6473.0
19.05.2022,AK,1231,241449,6466.0
18.05.2022,AK,1231,241449,6460.0
17.05.2022,AK,1231,241449,6454.0
16.05.2022,AK,1231,241178,6449.0
15.05.2022,AK,1231,240940,6448.0
14.05.2022,AK,1215,239856,6442.0
13.05.2022,AK,1215,239856,6438.0
12.05.2022,AK,1215,239856,6431.0
11.05.2022,AK,1215,239856,6428.0
10.05.2022,AK,1215,239856,6419.0
09.05.2022,AK,1215,239512,6410.0
08.05.2022,AK,1215,239217,6402.0
07.05.2022,AK,1215,239148,6395.0
06.05.2022,AK,1202,238424,6389.0
05.05.2022,AK,1202,238424,6382.0
04.05.2022,AK,1202,238424,6376.0
03.05.2022,AK,1202,238424,6371.0
02.05.2022,AK,1202,238104,6367.0
01.05.2022,AK,1202,238053,6360.0
30.04.2022,AK,1202,237894,6354.0
29.04.2022,AK,1201,237053,6353.0
28.04.2022,AK,1201,237053,6346.0
27.04.2022,AK,1201,237053,6346.0
26.04.2022,AK,1201,237053,6339.0
25.04.2022,AK,1201,236807,6333.0
24.04.2022,AK,1201,236609,6325.0
23.04.2022,AK,1201,236508,6316.0
22.04.2022,AK,1197,235706,6314.0
21.04.2022,AK,1197,235706,6308.0
20.04.2022,AK,1197,235706,6304.0
19.04.2022,AK,1197,235706,6298.0
18.04.2022,AK,1197,235433,6293.0
17.04.2022,AK,1197,235300,6290.0
16.04.2022,AK,1185,234251,6287.0
15.04.2022,AK,1185,234251,6282.0
14.04.2022,AK,1185,234251,6276.0
13.04.2022,AK,1185,234251,6275.0
12.04.2022,AK,1185,234251,6268.0
11.04.2022,AK,1185,234084,6267.0
10.04.2022,AK,1185,233950,6261.0
09.04.2022,AK,1185,233894,6260.0
08.04.2022,AK,1178,233062,6257.0
07.04.2022,AK,1178,233062,6250.0
06.04.2022,AK,1178,233062,6242.0
05.04.2022,AK,1178,233062,6241.0
04.04.2022,AK,1178,232878,6238.0
03.04.2022,AK,1178,232773,6234.0
02.04.2022,AK,1178,232699,6231.0
01.04.2022,AK,1178,232584,6223.0
31.03.2022,AK,1178,232178,6217.0
30.03.2022,AK,1178,232032,6212.0
29.03.2022,AK,1178,231775,6207.0
28.03.2022,AK,1178,231559,6205.0
27.03.2022,AK,1178,231426,6199.0
26.03.2022,AK,1178,231320,6197.0
25.03.2022,AK,1172,230926,6192.0
24.03.2022,AK,1172,230926,6188.0
23.03.2022,AK,1172,230694,6182.0
22.03.2022,AK,1172,230507,6176.0
21.03.2022,AK,1172,230207,6171.0
20.03.2022,AK,1172,229945,6167.0
19.03.2022,AK,1153,229832,6162.0
18.03.2022,AK,1153,229552,6153.0
17.03.2022,AK,1153,229552,6150.0
16.03.2022,AK,1153,229310,6143.0
15.03.2022,AK,1153,229148,6140.0
14.03.2022,AK,1153,228928,6136.0
13.03.2022,AK,1153,228739,6134.0
12.03.2022,AK,1152,228645,6129.0
11.03.2022,AK,1152,228504,6125.0
10.03.2022,AK,1152,228187,6119.0
09.03.2022,AK,1152,228029,6113.0
08.03.2022,AK,1152,227847,6108.0
07.03.2022,AK,1152,226784,6106.0
06.03.2022,AK,1152,226631,6101.0
05.03.2022,AK,1152,226552,6097.0
04.03.2022,AK,1143,226271,6090.0
03.03.2022,AK,1143,225983,6086.0
02.03.2022,AK,1143,225747,6082.0
01.03.2022,AK,1143,225483,6075.0
28.02.2022,AK,1143,225088,6067.0
27.02.2022,AK,1143,224927,6060.0
26.02.2022,AK,1117,224681,6050.0
25.02.2022,AK,1117,224533,6044.0
24.02.2022,AK,1117,224130,6038.0
23.02.2022,AK,1117,223789,6023.0
22.02.2022,AK,1117,223498,6019.0
21.02.2022,AK,1117,223112,6010.0
20.02.2022,AK,1117,222760,6001.0
19.02.2022,AK,1096,221646,5994.0
18.02.2022,AK,1096,221646,5985.0
17.02.2022,AK,1096,220585,5970.0
16.02.2022,AK,1096,220585,5964.0
15.02.2022,AK,1096,220585,5946.0
14.02.2022,AK,1096,220318,5936.0
13.02.2022,AK,1096,219962,5928.0
12.02.2022,AK,1070,219492,5915.0
11.02.2022,AK,1070,219158,5908.0
10.02.2022,AK,1070,218119,5890.0
09.02.2022,AK,1070,216370,5874.0
08.02.2022,AK,1070,216370,5861.0
07.02.2022,AK,1070,215316,5850.0
06.02.2022,AK,1070,214521,5834.0
05.02.2022,AK,1049,213839,5815.0
04.02.2022,AK,1049,213290,5794.0
03.02.2022,AK,1049,211365,5782.0
02.02.2022,AK,1049,210246,5770.0
01.02.2022,AK,1049,208698,5756.0
31.01.2022,AK,1049,206582,5738.0
30.01.2022,AK,1049,204944,5722.0
29.01.2022,AK,1041,203449,5713.0
28.01.2022,AK,1041,202128,5687.0
27.01.2022,AK,1041,200411,5662.0
26.01.2022,AK,1041,197425,5638.0
25.01.2022,AK,1041,195288,5615.0
24.01.2022,AK,1041,193306,5594.0
23.01.2022,AK,1037,190051,5573.0
22.01.2022,AK,1028,188250,5556.0
21.01.2022,AK,1028,187047,5534.0
20.01.2022,AK,1007,183777,5508.0
19.01.2022,AK,1007,181507,5485.0
18.01.2022,AK,1007,179006,5460.0
17.01.2022,AK,1007,176919,5443.0
16.01.2022,AK,1007,174791,5431.0
15.01.2022,AK,1007,173637,5417.0
14.01.2022,AK,1007,171901,5391.0
13.01.2022,AK,945,168042,5374.0
12.01.2022,AK,945,166302,5364.0
11.01.2022,AK,945,164125,5344.0
10.01.2022,AK,945,162063,5325.0
09.01.2022,AK,943,159647,5317.0
08.01.2022,AK,943,159076,5305.0
07.01.2022,AK,938,157543,5293.0
06.01.2022,AK,938,156129,5281.0
05.01.2022,AK,938,154365,5257.0
04.01.2022,AK,938,152755,5248.0
03.01.2022,AK,938,151859,5236.0
02.01.2022,AK,938,151096,5228.0
01.01.2022,AK,938,150941,5220.0
31.12.2021,AK,938,149907,5214.0
30.12.2021,AK,938,149624,5207.0
29.12.2021,AK,938,148136,5200.0
28.12.2021,AK,938,148136,5193.0
27.12.2021,AK,938,147796,5184.0
26.12.2021,AK,938,147332,5183.0
25.12.2021,AK,938,147268,5173.0
24.12.2021,AK,938,147196,5168.0
23.12.2021,AK,936,147034,5160.0
22.12.2021,AK,936,146453,5154.0
21.12.2021,AK,936,146453,5145.0
20.12.2021,AK,936,146376,5142.0
19.12.2021,AK,936,146305,5134.0
18.12.2021,AK,936,146186,5129.0
17.12.2021,AK,906,146086,5115.0
16.12.2021,AK,906,145918,5106.0
15.12.2021,AK,906,145762,5101.0
14.12.2021,AK,906,145597,5093.0
13.12.2021,AK,850,145296,5086.0
12.12.2021,AK,848,145118,5077.0
11.12.2021,AK,848,145099,5071.0
10.12.2021,AK,848,145030,5063.0
09.12.2021,AK,848,144816,5056.0
08.12.2021,AK,847,144349,5049.0
07.12.2021,AK,847,144349,5043.0
06.12.2021,AK,847,144185,5035.0
05.12.2021,AK,847,143986,5026.0
04.12.2021,AK,844,143807,5015.0
03.12.2021,AK,844,143766,5006.0
02.12.2021,AK,844,143428,4998.0
01.12.2021,AK,844,143243,4990.0
30.11.2021,AK,844,142982,4981.0
29.11.2021,AK,844,142638,4973.0
28.11.2021,AK,842,142441,4963.0
27.11.2021,AK,839,142170,4957.0
26.11.2021,AK,839,141931,4943.0
25.11.2021,AK,839,141598,4937.0
24.11.2021,AK,839,141317,4931.0
23.11.2021,AK,839,141011,4915.0
22.11.2021,AK,827,140617,4900.0
21.11.2021,AK,827,140532,4889.0
20.11.2021,AK,827,140305,4882.0
19.11.2021,AK,825,139992,4873.0
18.11.2021,AK,825,139579,4866.0
17.11.2021,AK,805,139026,4853.0
16.11.2021,AK,805,138696,4841.0
15.11.2021,AK,805,138413,4821.0
14.11.2021,AK,805,138202,4809.0
13.11.2021,AK,803,137882,4793.0
12.11.2021,AK,798,137420,4775.0
11.11.2021,AK,796,136822,4755.0
10.11.2021,AK,796,136624,4740.0
09.11.2021,AK,796,136209,4720.0
08.11.2021,AK,796,135724,4697.0
07.11.2021,AK,796,135508,4680.0
06.11.2021,AK,787,134987,4657.0
05.11.2021,AK,759,134559,4645.0
04.11.2021,AK,709,133774,4632.0
03.11.2021,AK,709,133315,4610.0
02.11.2021,AK,709,132798,4597.0
01.11.2021,AK,706,132262,4584.0
31.10.2021,AK,705,131904,4563.0
30.10.2021,AK,703,131337,4546.0
29.10.2021,AK,697,130756,4529.0
28.10.2021,AK,694,129758,4507.0
27.10.2021,AK,694,129152,4482.0
26.10.2021,AK,694,128705,4462.0
25.10.2021,AK,690,127973,4432.0
24.10.2021,AK,690,127677,4401.0
23.10.2021,AK,683,126785,4376.0
22.10.2021,AK,673,126282,4350.0
21.10.2021,AK,668,125369,4325.0
20.10.2021,AK,668,124611,4299.0
19.10.2021,AK,668,123985,4262.0
18.10.2021,AK,663,123395,4242.0
17.10.2021,AK,662,122788,4215.0
16.10.2021,AK,654,121775,4197.0
15.10.2021,AK,592,120773,4174.0
14.10.2021,AK,592,120011,4146.0
13.10.2021,AK,592,119408,4122.0
12.10.2021,AK,586,117762,4090.0
11.10.2021,AK,586,117425,4063.0
10.10.2021,AK,570,116483,4038.0
09.10.2021,AK,570,115573,4012.0
08.10.2021,AK,566,114515,3998.0
07.10.2021,AK,566,113978,3973.0
06.10.2021,AK,566,113388,3949.0
05.10.2021,AK,565,112600,3923.0
04.10.2021,AK,560,111707,3906.0
03.10.2021,AK,557,111193,3888.0
02.10.2021,AK,554,110362,3871.0
01.10.2021,AK,554,109167,3849.0
30.09.2021,AK,554,108604,3828.0
29.09.2021,AK,554,107775,3803.0
28.09.2021,AK,553,106774,3782.0
27.09.2021,AK,543,106094,3757.0
26.09.2021,AK,539,104352,3738.0
25.09.2021,AK,471,100007,3723.0
24.09.2021,AK,471,100007,3695.0
23.09.2021,AK,471,100007,3673.0
22.09.2021,AK,471,99327,3640.0
21.09.2021,AK,471,98899,3617.0
20.09.2021,AK,464,98002,3588.0
19.09.2021,AK,464,97746,3571.0
18.09.2021,AK,457,96202,3546.0
17.09.2021,AK,452,94842,3523.0
16.09.2021,AK,451,94004,3491.0
15.09.2021,AK,451,93829,3467.0
14.09.2021,AK,451,93572,3436.0
13.09.2021,AK,451,92574,3407.0
12.09.2021,AK,449,91889,3387.0
11.09.2021,AK,443,91238,3361.0
10.09.2021,AK,442,89883,3337.0
09.09.2021,AK,442,89866,3312.0
08.09.2021,AK,442,89770,3287.0
07.09.2021,AK,440,89019,3252.0
06.09.2021,AK,440,88362,3222.0
05.09.2021,AK,435,87617,3189.0
04.09.2021,AK,434,85668,3167.0
03.09.2021,AK,434,85668,3146.0
02.09.2021,AK,434,85626,3124.0
01.09.2021,AK,434,85530,3102.0
31.08.2021,AK,434,85008,3080.0
30.08.2021,AK,434,84333,3048.0
29.08.2021,AK,430,83693,3030.0
28.08.2021,AK,426,83129,3016.0
27.08.2021,AK,426,82090,2997.0
26.08.2021,AK,426,82026,2979.0
25.08.2021,AK,426,81979,2947.0
24.08.2021,AK,426,81628,2933.0
23.08.2021,AK,412,80950,2912.0
22.08.2021,AK,404,80418,2900.0
21.08.2021,AK,392,79932,2890.0
20.08.2021,AK,393,79140,2874.0
19.08.2021,AK,393,78533,2851.0
18.08.2021,AK,393,77938,2835.0
17.08.2021,AK,392,77986,2817.0
16.08.2021,AK,392,78120,2802.0
15.08.2021,AK,392,78324,2787.0
14.08.2021,AK,392,78360,2773.0
13.08.2021,AK,392,78056,2754.0
12.08.2021,AK,392,78354,2737.0
11.08.2021,AK,392,77988,2714.0
10.08.2021,AK,392,77751,2698.0
09.08.2021,AK,391,77568,2680.0
08.08.2021,AK,390,77195,2664.0
07.08.2021,AK,390,76871,2653.0
06.08.2021,AK,390,76570,2642.0
05.08.2021,AK,390,76201,2630.0
04.08.2021,AK,382,75830,2617.0
03.08.2021,AK,382,75537,2607.0
02.08.2021,AK,382,75304,2586.0
01.08.2021,AK,382,75032,2578.0
31.07.2021,AK,382,74819,2571.0
30.07.2021,AK,382,74583,2560.0
29.07.2021,AK,379,73961,2546.0
28.07.2021,AK,379,73611,2530.0
27.07.2021,AK,377,73756,2518.0
26.07.2021,AK,377,73629,2506.0
25.07.2021,AK,377,73419,2492.0
24.07.2021,AK,377,73173,2481.0
23.07.2021,AK,377,72929,2466.0
22.07.2021,AK,375,72755,2449.0
21.07.2021,AK,375,72507,2437.0
20.07.2021,AK,374,72189,2430.0
19.07.2021,AK,374,72098,2417.0
18.07.2021,AK,374,71483,2411.0
17.07.2021,AK,374,71301,2406.0
16.07.2021,AK,374,71134,2400.0
15.07.2021,AK,374,71235,2392.0
14.07.2021,AK,374,71028,2386.0
13.07.2021,AK,374,70919,2381.0
12.07.2021,AK,374,70357,2371.0
11.07.2021,AK,372,70233,2370.0
10.07.2021,AK,372,70155,2362.0
09.07.2021,AK,372,70104,2352.0
08.07.2021,AK,370,70660,2346.0
07.07.2021,AK,370,70598,2342.0
06.07.2021,AK,370,70562,2337.0
05.07.2021,AK,370,70446,2335.0
04.07.2021,AK,370,70405,2332.0
03.07.2021,AK,370,70317,2325.0
02.07.2021,AK,370,70267,2322.0
01.07.2021,AK,370,70298,2316.0
30.06.2021,AK,370,70193,2314.0
29.06.2021,AK,367,70173,2310.0
28.06.2021,AK,367,70135,2308.0
27.06.2021,AK,367,69394,2305.0
26.06.2021,AK,367,68850,2304.0
25.06.2021,AK,367,68821,2304.0
24.06.2021,AK,367,70006,2302.0
23.06.2021,AK,367,69897,2299.0
22.06.2021,AK,366,69175,2296.0
21.06.2021,AK,366,69156,2292.0
20.06.2021,AK,366,69858,2291.0
19.06.2021,AK,366,69836,2291.0
18.06.2021,AK,366,69788,2290.0
17.06.2021,AK,366,69736,2289.0
16.06.2021,AK,366,69651,2288.0
15.06.2021,AK,366,68920,2286.0
14.06.2021,AK,366,68397,2284.0
13.06.2021,AK,366,69281,2283.0
12.06.2021,AK,366,69208,2282.0
11.06.2021,AK,366,69164,2278.0
10.06.2021,AK,362,69136,2276.0
09.06.2021,AK,362,69095,2272.0
08.06.2021,AK,362,69088,2270.0
07.06.2021,AK,362,69056,2269.0
06.06.2021,AK,362,69619,2267.0
05.06.2021,AK,362,68859,2265.0
04.06.2021,AK,362,68818,2261.0
03.06.2021,AK,362,68763,2255.0
02.06.2021,AK,362,69396,2253.0
01.06.2021,AK,362,69290,2250.0
31.05.2021,AK,362,69253,2249.0
30.05.2021,AK,362,68050,2243.0
29.05.2021,AK,362,68012,2240.0
28.05.2021,AK,362,68623,2240.0
27.05.2021,AK,362,68496,2238.0
26.05.2021,AK,362,69103,2236.0
25.05.2021,AK,362,68401,2231.0
24.05.2021,AK,362,68316,2227.0
23.05.2021,AK,362,68951,2224.0
22.05.2021,AK,362,68943,2224.0
21.05.2021,AK,362,68945,2223.0
20.05.2021,AK,362,68872,2221.0
19.05.2021,AK,362,69078,2216.0
18.05.2021,AK,362,68195,2213.0
17.05.2021,AK,354,68129,2213.0
16.05.2021,AK,354,68065,2210.0
15.05.2021,AK,356,68023,2208.0
14.05.2021,AK,357,68253,2207.0
13.05.2021,AK,355,68673,2202.0
12.05.2021,AK,352,68346,2195.0
11.05.2021,AK,352,68287,2193.0
10.05.2021,AK,349,67603,2186.0
09.05.2021,AK,348,66994,2182.0
08.05.2021,AK,348,67538,2178.0
07.05.2021,AK,346,67960,2173.0
06.05.2021,AK,343,67356,2170.0
05.05.2021,AK,342,67147,2166.0
04.05.2021,AK,342,67563,2162.0
03.05.2021,AK,342,66981,2157.0
02.05.2021,AK,341,66925,2152.0
01.05.2021,AK,341,67346,2145.0
30.04.2021,AK,341,67226,2138.0
29.04.2021,AK,342,67344,2130.0
28.04.2021,AK,341,67115,2124.0
27.04.2021,AK,341,66653,2118.0
26.04.2021,AK,341,66155,2112.0
25.04.2021,AK,335,65917,2106.0
24.04.2021,AK,337,65791,2098.0
23.04.2021,AK,336,66102,2089.0
22.04.2021,AK,335,65879,2085.0
21.04.2021,AK,335,65737,2079.0
20.04.2021,AK,335,65639,2072.0
19.04.2021,AK,335,65476,2064.0
18.04.2021,AK,335,65312,2056.0
17.04.2021,AK,335,65176,2052.0
16.04.2021,AK,337,65223,2049.0
15.04.2021,AK,331,64221,2043.0
14.04.2021,AK,327,64083,2037.0
13.04.2021,AK,330,64702,2031.0
12.04.2021,AK,324,64238,2027.0
11.04.2021,AK,323,64114,2023.0
10.04.2021,AK,326,64002,2019.0
09.04.2021,AK,326,63828,2015.0
08.04.2021,AK,325,63529,2013.0
07.04.2021,AK,325,63306,2001.0
06.04.2021,AK,323,63503,1991.0
05.04.2021,AK,320,63206,1984.0
04.04.2021,AK,320,63095,1981.0
03.04.2021,AK,322,62945,1977.0
02.04.2021,AK,322,62810,1975.0
01.04.2021,AK,322,62496,1963.0
31.03.2021,AK,321,62329,1954.0
30.03.2021,AK,320,62304,1947.0
29.03.2021,AK,320,62155,1941.0
28.03.2021,AK,319,61941,1937.0
27.03.2021,AK,319,61736,1928.0
26.03.2021,AK,319,61564,1924.0
25.03.2021,AK,318,61390,1920.0
24.03.2021,AK,319,61184,1918.0
23.03.2021,AK,318,61040,1914.0
22.03.2021,AK,318,60970,1909.0
21.03.2021,AK,317,60860,1904.0
20.03.2021,AK,317,60685,1895.0
19.03.2021,AK,317,60606,1887.0
18.03.2021,AK,317,60376,1882.0
17.03.2021,AK,318,60219,1874.0
16.03.2021,AK,316,60103,1870.0
15.03.2021,AK,311,59708,1865.0
14.03.2021,AK,312,59642,1858.0
13.03.2021,AK,312,59480,1855.0
12.03.2021,AK,311,59357,1853.0
11.03.2021,AK,312,59169,1847.0
10.03.2021,AK,310,58987,1843.0
