date,state,death,positive,hospitalized
22.06.2022,AZ,29852,2109054,130094.0
21.06.2022,AZ,29852,2093680,129958.0
20.06.2022,AZ,29852,2093680,129825.0
19.06.2022,AZ,29852,2093680,129735.0
18.06.2022,AZ,29852,2093680,129636.0
17.06.2022,AZ,29852,2093680,129555.0
16.06.2022,AZ,29852,2093680,129468.0
15.06.2022,AZ,29852,2093680,129365.0
14.06.2022,AZ,29852,2077347,129245.0
13.06.2022,AZ,29852,2077347,129142.0
12.06.2022,AZ,29852,2077347,129060.0
11.06.2022,AZ,29852,2077347,128974.0
10.06.2022,AZ,29852,2077347,128890.0
09.06.2022,AZ,29852,2077347,128782.0
08.06.2022,AZ,29852,2077347,128689.0
07.06.2022,AZ,29852,2062670,128589.0
06.06.2022,AZ,29852,2062670,128475.0
05.06.2022,AZ,29852,2062670,128398.0
04.06.2022,AZ,29852,2062670,128332.0
03.06.2022,AZ,29852,2062670,128249.0
02.06.2022,AZ,29852,2062670,128152.0
01.06.2022,AZ,29852,2062670,128063.0
31.05.2022,AZ,29852,2049628,127976.0
30.05.2022,AZ,29852,2049628,127902.0
29.05.2022,AZ,29852,2049628,127829.0
28.05.2022,AZ,29852,2049628,127756.0
27.05.2022,AZ,29852,2049628,127682.0
26.05.2022,AZ,29852,2049628,127620.0
25.05.2022,AZ,29852,2049628,127553.0
24.05.2022,AZ,29852,2038130,127505.0
23.05.2022,AZ,29852,2038130,127442.0
22.05.2022,AZ,29852,2038130,127382.0
21.05.2022,AZ,29852,2038130,127321.0
20.05.2022,AZ,29852,2038130,127258.0
19.05.2022,AZ,29852,2038130,127199.0
18.05.2022,AZ,29852,2038130,127140.0
17.05.2022,AZ,29852,2030926,127079.0
16.05.2022,AZ,29852,2030926,127036.0
15.05.2022,AZ,29852,2030926,126988.0
14.05.2022,AZ,29852,2030926,126922.0
13.05.2022,AZ,29852,2030926,126869.0
12.05.2022,AZ,29852,2030926,126813.0
11.05.2022,AZ,29852,2030926,126752.0
10.05.2022,AZ,29852,2025436,126693.0
09.05.2022,AZ,29852,2025436,126648.0
08.05.2022,AZ,29852,2025436,126606.0
07.05.2022,AZ,29852,2025436,126558.0
06.05.2022,AZ,29852,2025436,126518.0
05.05.2022,AZ,29852,2025436,126468.0
04.05.2022,AZ,29852,2025436,126411.0
03.05.2022,AZ,29852,2021525,126370.0
02.05.2022,AZ,29852,2021525,126324.0
01.05.2022,AZ,29852,2021525,126277.0
30.04.2022,AZ,29852,2021525,126242.0
29.04.2022,AZ,29852,2021525,126200.0
28.04.2022,AZ,29852,2021525,126164.0
27.04.2022,AZ,29852,2021525,126128.0
26.04.2022,AZ,29852,2019175,126088.0
25.04.2022,AZ,29852,2019175,126059.0
24.04.2022,AZ,29852,2019175,126013.0
23.04.2022,AZ,29852,2019175,125985.0
22.04.2022,AZ,29852,2019175,125944.0
21.04.2022,AZ,29852,2019175,125908.0
20.04.2022,AZ,29852,2019175,125875.0
19.04.2022,AZ,29823,2016798,125843.0
18.04.2022,AZ,29823,2016798,125798.0
17.04.2022,AZ,29823,2016798,125764.0
16.04.2022,AZ,29823,2016798,125733.0
15.04.2022,AZ,29823,2016798,125697.0
14.04.2022,AZ,29823,2016798,125664.0
13.04.2022,AZ,29823,2016798,125628.0
12.04.2022,AZ,29681,2014020,125595.0
11.04.2022,AZ,29681,2014020,125543.0
10.04.2022,AZ,29681,2014020,125514.0
09.04.2022,AZ,29681,2014020,125447.0
08.04.2022,AZ,29681,2014020,125385.0
07.04.2022,AZ,29681,2014020,125297.0
06.04.2022,AZ,29681,2014020,125218.0
05.04.2022,AZ,29268,2007180,125142.0
04.04.2022,AZ,29268,2007180,125091.0
03.04.2022,AZ,29268,2007180,125045.0
02.04.2022,AZ,29268,2007180,125003.0
01.04.2022,AZ,29268,2007180,124949.0
31.03.2022,AZ,29268,2007180,124895.0
30.03.2022,AZ,29268,2007180,124858.0
29.03.2022,AZ,28883,1997038,124816.0
28.03.2022,AZ,28883,1997038,124778.0
27.03.2022,AZ,28883,1997038,124737.0
26.03.2022,AZ,28883,1997038,124680.0
25.03.2022,AZ,28883,1997038,124614.0
24.03.2022,AZ,28883,1997038,124567.0
23.03.2022,AZ,28883,1997038,124507.0
22.03.2022,AZ,28547,1992472,124435.0
21.03.2022,AZ,28547,1992472,124364.0
20.03.2022,AZ,28547,1992472,124311.0
19.03.2022,AZ,28547,1992472,124272.0
18.03.2022,AZ,28547,1992472,124213.0
17.03.2022,AZ,28547,1992472,124136.0
