date,state,death,positive,hospitalized
22.06.2022,AR,11552,832498,56534.0
21.06.2022,AR,11550,831721,56501.0
20.06.2022,AR,11540,830975,56463.0
19.06.2022,AR,11533,829492,56432.0
18.06.2022,AR,11533,829492,56405.0
17.06.2022,AR,11533,829492,56373.0
16.06.2022,AR,11533,828740,56349.0
15.06.2022,AR,11528,827767,56325.0
14.06.2022,AR,11527,826851,56290.0
13.06.2022,AR,11526,826137,56250.0
12.06.2022,AR,11512,824796,56225.0
11.06.2022,AR,11512,824796,56202.0
10.06.2022,AR,11512,824796,56180.0
09.06.2022,AR,11512,824153,56142.0
08.06.2022,AR,11511,823515,56119.0
07.06.2022,AR,11508,822653,56098.0
06.06.2022,AR,11505,821876,56070.0
05.06.2022,AR,11498,820959,56054.0
04.06.2022,AR,11498,820959,56037.0
03.06.2022,AR,11498,820959,56019.0
02.06.2022,AR,11492,820265,55997.0
01.06.2022,AR,11488,819649,55970.0
31.05.2022,AR,11484,819197,55947.0
30.05.2022,AR,11484,819028,55931.0
29.05.2022,AR,11471,818314,55917.0
28.05.2022,AR,11471,818314,55898.0
27.05.2022,AR,11471,818314,55879.0
26.05.2022,AR,11468,817939,55869.0
25.05.2022,AR,11461,817575,55858.0
24.05.2022,AR,11446,816609,55846.0
23.05.2022,AR,11446,816609,55838.0
22.05.2022,AR,11432,816090,55827.0
21.05.2022,AR,11432,816090,55811.0
20.05.2022,AR,11432,816090,55803.0
19.05.2022,AR,11426,815792,55786.0
18.05.2022,AR,11426,815432,55773.0
17.05.2022,AR,11418,814988,55762.0
16.05.2022,AR,11418,814704,55752.0
15.05.2022,AR,11415,814282,55748.0
14.05.2022,AR,11415,814282,55739.0
13.05.2022,AR,11415,814282,55731.0
12.05.2022,AR,11415,814010,55721.0
11.05.2022,AR,11410,813756,55713.0
10.05.2022,AR,11409,813512,55707.0
09.05.2022,AR,11409,813260,55693.0
08.05.2022,AR,11404,812879,55686.0
07.05.2022,AR,11404,812879,55678.0
06.05.2022,AR,11404,812879,55670.0
05.05.2022,AR,11403,812680,55662.0
04.05.2022,AR,11403,812406,55647.0
03.05.2022,AR,11398,812186,55643.0
02.05.2022,AR,11394,812056,55639.0
01.05.2022,AR,11385,811810,55632.0
30.04.2022,AR,11385,811810,55627.0
29.04.2022,AR,11385,811810,55619.0
28.04.2022,AR,11381,811675,55613.0
27.04.2022,AR,11375,811335,55606.0
26.04.2022,AR,11375,811335,55598.0
25.04.2022,AR,11373,811131,55595.0
24.04.2022,AR,11369,810963,55589.0
23.04.2022,AR,11369,810963,55579.0
22.04.2022,AR,11369,810963,55571.0
21.04.2022,AR,11366,810804,55564.0
20.04.2022,AR,11360,810659,55553.0
19.04.2022,AR,11354,810476,55545.0
18.04.2022,AR,11354,810371,55540.0
17.04.2022,AR,11336,810234,55536.0
16.04.2022,AR,11336,810234,55533.0
15.04.2022,AR,11336,810234,55525.0
14.04.2022,AR,11333,810160,55519.0
13.04.2022,AR,11325,810073,55514.0
12.04.2022,AR,11316,809947,55508.0
11.04.2022,AR,11313,809860,55495.0
10.04.2022,AR,11301,809739,55482.0
09.04.2022,AR,11301,809739,55476.0
08.04.2022,AR,11301,809739,55466.0
07.04.2022,AR,11301,809627,55454.0
06.04.2022,AR,11296,809530,55445.0
05.04.2022,AR,11290,809421,55430.0
04.04.2022,AR,11280,809324,55418.0
03.04.2022,AR,11237,809194,55407.0
02.04.2022,AR,11237,809194,55399.0
01.04.2022,AR,11237,809194,55393.0
31.03.2022,AR,11230,809086,55385.0
30.03.2022,AR,11218,808985,55373.0
29.03.2022,AR,11211,808893,55358.0
28.03.2022,AR,11211,808740,55350.0
27.03.2022,AR,11165,808388,55340.0
26.03.2022,AR,11165,808388,55323.0
25.03.2022,AR,11165,808388,55307.0
24.03.2022,AR,11165,808388,55282.0
23.03.2022,AR,11152,808126,55272.0
22.03.2022,AR,11127,807876,55248.0
21.03.2022,AR,11114,807303,55238.0
20.03.2022,AR,11053,805227,55228.0
19.03.2022,AR,11053,805227,55211.0
18.03.2022,AR,11053,805227,55192.0
17.03.2022,AR,11030,804562,55173.0
16.03.2022,AR,10999,804123,55150.0
15.03.2022,AR,10971,803767,55134.0
14.03.2022,AR,10950,803404,55110.0
13.03.2022,AR,10864,802247,55091.0
12.03.2022,AR,10864,802247,55073.0
11.03.2022,AR,10864,802247,55034.0
10.03.2022,AR,10836,801611,55000.0
09.03.2022,AR,10799,801118,54971.0
08.03.2022,AR,10760,800612,54929.0
07.03.2022,AR,10724,800230,54898.0
06.03.2022,AR,10681,798967,54876.0
05.03.2022,AR,10681,798967,54850.0
04.03.2022,AR,10681,798967,54815.0
03.03.2022,AR,10661,798515,54766.0
02.03.2022,AR,10611,798052,54705.0
01.03.2022,AR,10579,797521,54657.0
28.02.2022,AR,10524,796880,54607.0
27.02.2022,AR,10425,795120,54564.0
26.02.2022,AR,10425,795120,54523.0
25.02.2022,AR,10425,795120,54476.0
24.02.2022,AR,10381,794803,54427.0
23.02.2022,AR,10341,794295,54375.0
22.02.2022,AR,10292,792621,54316.0
21.02.2022,AR,10292,792621,54241.0
20.02.2022,AR,10271,790445,54180.0
19.02.2022,AR,10271,790445,54115.0
18.02.2022,AR,10271,790445,54037.0
17.02.2022,AR,10235,789185,53928.0
16.02.2022,AR,10190,788093,53809.0
15.02.2022,AR,10141,787066,53698.0
14.02.2022,AR,10097,785516,53559.0
13.02.2022,AR,9977,782115,53465.0
12.02.2022,AR,9977,782115,53362.0
11.02.2022,AR,9977,782115,53232.0
10.02.2022,AR,9937,780284,53092.0
09.02.2022,AR,9927,778573,52936.0
08.02.2022,AR,9895,776471,52767.0
07.02.2022,AR,9867,773841,52564.0
06.02.2022,AR,9762,771153,52407.0
05.02.2022,AR,9762,771153,52236.0
04.02.2022,AR,9762,771153,52059.0
03.02.2022,AR,9733,769819,51902.0
02.02.2022,AR,9690,765782,51659.0
01.02.2022,AR,9667,761764,51399.0
31.01.2022,AR,9628,757529,51110.0
