date,state,death,positive,hospitalized
22.06.2022,CA,91120,9264446,445257.0
21.06.2022,CA,91120,9264446,444730.0
20.06.2022,CA,91120,9264446,444193.0
19.06.2022,CA,91120,9263411,443761.0
18.06.2022,CA,91120,9259555,443328.0
17.06.2022,CA,91120,9249076,442871.0
16.06.2022,CA,91047,9199424,442403.0
15.06.2022,CA,91047,9199089,441909.0
14.06.2022,CA,91045,9195634,441428.0
13.06.2022,CA,90918,9168819,440933.0
12.06.2022,CA,90918,9167792,440506.0
11.06.2022,CA,90820,9105513,440059.0
10.06.2022,CA,90820,9105513,439558.0
09.06.2022,CA,90703,9058387,439098.0
08.06.2022,CA,90703,9058387,438598.0
07.06.2022,CA,90703,9058387,438148.0
06.06.2022,CA,90703,9058387,437655.0
05.06.2022,CA,90627,8988766,437248.0
04.06.2022,CA,90627,8988766,436838.0
03.06.2022,CA,90627,8988766,436400.0
02.06.2022,CA,90627,8988766,435989.0
01.06.2022,CA,90627,8986941,435563.0
31.05.2022,CA,90626,8975359,435139.0
30.05.2022,CA,90624,8969849,434789.0
29.05.2022,CA,90534,8954060,434436.0
28.05.2022,CA,90534,8949981,434089.0
27.05.2022,CA,90434,8895661,433712.0
26.05.2022,CA,90434,8895661,433323.0
25.05.2022,CA,90303,8852987,432954.0
24.05.2022,CA,90303,8852987,432578.0
23.05.2022,CA,90303,8852987,432237.0
22.05.2022,CA,90303,8852086,431949.0
21.05.2022,CA,90303,8848264,431676.0
20.05.2022,CA,90199,8797381,431354.0
19.05.2022,CA,90199,8797381,431017.0
18.05.2022,CA,90199,8795913,430692.0
17.05.2022,CA,90198,8788125,430392.0
16.05.2022,CA,90196,8773699,430082.0
15.05.2022,CA,90040,8756545,429818.0
14.05.2022,CA,89931,8706827,429556.0
13.05.2022,CA,89931,8706827,429326.0
12.05.2022,CA,89931,8706827,429075.0
11.05.2022,CA,89931,8706721,428838.0
10.05.2022,CA,89929,8704414,428597.0
09.05.2022,CA,89927,8697469,428378.0
08.05.2022,CA,89773,8686546,428199.0
07.05.2022,CA,89773,8683822,428026.0
06.05.2022,CA,89667,8653914,427808.0
05.05.2022,CA,89667,8653914,427592.0
04.05.2022,CA,89667,8653140,427377.0
03.05.2022,CA,89666,8648230,427186.0
02.05.2022,CA,89665,8639905,427011.0
01.05.2022,CA,89665,8636444,426862.0
30.04.2022,CA,89511,8628599,426681.0
29.04.2022,CA,89335,8605143,426518.0
28.04.2022,CA,89335,8605143,426355.0
27.04.2022,CA,89335,8604563,426203.0
26.04.2022,CA,89145,8587271,426034.0
25.04.2022,CA,89145,8587271,425853.0
24.04.2022,CA,89145,8586960,425748.0
23.04.2022,CA,89145,8585338,425627.0
22.04.2022,CA,89010,8565830,425482.0
21.04.2022,CA,89010,8565830,425329.0
20.04.2022,CA,89009,8565325,425182.0
19.04.2022,CA,89008,8562379,425040.0
18.04.2022,CA,88741,8550085,424885.0
17.04.2022,CA,88741,8549892,424774.0
16.04.2022,CA,88599,8535326,424650.0
15.04.2022,CA,88599,8535326,424522.0
14.04.2022,CA,88599,8535326,424383.0
13.04.2022,CA,88598,8534931,424260.0
12.04.2022,CA,88440,8528764,424146.0
11.04.2022,CA,88440,8528372,423995.0
10.04.2022,CA,88440,8527597,423896.0
09.04.2022,CA,88243,8513203,423792.0
08.04.2022,CA,88243,8513203,423656.0
07.04.2022,CA,88243,8513203,423523.0
06.04.2022,CA,88243,8512842,423378.0
05.04.2022,CA,88242,8511029,423238.0
04.04.2022,CA,88241,8507953,423078.0
03.04.2022,CA,88046,8503186,422953.0
02.04.2022,CA,88045,8502447,422859.0
01.04.2022,CA,88044,8500516,422723.0
31.03.2022,CA,87900,8493427,422591.0
30.03.2022,CA,87900,8493181,422458.0
29.03.2022,CA,87900,8491919,422293.0
28.03.2022,CA,87897,8489961,422142.0
27.03.2022,CA,87894,8488924,422036.0
26.03.2022,CA,87736,8484902,421840.0
25.03.2022,CA,87648,8482044,421634.0
24.03.2022,CA,87496,8475827,421391.0
23.03.2022,CA,87495,8475621,421188.0
22.03.2022,CA,87495,8474371,420969.0
21.03.2022,CA,87490,8472506,420741.0
20.03.2022,CA,87384,8470697,420588.0
