date,state,death,positive,hospitalized
22.06.2022,CO,12681,1503385,75181.0
21.06.2022,CO,12681,1503385,75095.0
20.06.2022,CO,12681,1503385,75015.0
19.06.2022,CO,12679,1500528,74947.0
18.06.2022,CO,12675,1497428,74872.0
17.06.2022,CO,12675,1497428,74802.0
16.06.2022,CO,12675,1497428,74727.0
15.06.2022,CO,12658,1495067,74642.0
14.06.2022,CO,12516,1426248,74563.0
13.06.2022,CO,12516,1426248,74471.0
12.06.2022,CO,12516,1426248,74393.0
11.06.2022,CO,12516,1426248,74303.0
10.06.2022,CO,12516,1426248,74178.0
09.06.2022,CO,12516,1426248,74072.0
08.06.2022,CO,12516,1426248,73986.0
07.06.2022,CO,12516,1426248,73879.0
06.06.2022,CO,12516,1426248,73791.0
05.06.2022,CO,12516,1426248,73711.0
04.06.2022,CO,12516,1426248,73634.0
03.06.2022,CO,12516,1426248,73555.0
02.06.2022,CO,12516,1426248,73490.0
01.06.2022,CO,12516,1426248,73415.0
31.05.2022,CO,12516,1426248,73354.0
30.05.2022,CO,12516,1426248,73290.0
29.05.2022,CO,12516,1426248,73234.0
28.05.2022,CO,12516,1426248,73104.0
27.05.2022,CO,12516,1426248,72982.0
26.05.2022,CO,12516,1426248,72860.0
25.05.2022,CO,12516,1426248,72721.0
24.05.2022,CO,12516,1425845,72603.0
23.05.2022,CO,12516,1424437,72554.0
22.05.2022,CO,12514,1423655,72505.0
21.05.2022,CO,12514,1422792,72458.0
20.05.2022,CO,12519,1418852,72411.0
19.05.2022,CO,12519,1418522,72345.0
18.05.2022,CO,12513,1416262,72298.0
17.05.2022,CO,12513,1415225,72255.0
16.05.2022,CO,12512,1413541,72210.0
15.05.2022,CO,12516,1412647,72177.0
14.05.2022,CO,12511,1411368,72133.0
13.05.2022,CO,12510,1409918,72091.0
12.05.2022,CO,12513,1407088,72045.0
11.05.2022,CO,12512,1406196,72025.0
10.05.2022,CO,12512,1404802,71981.0
09.05.2022,CO,12510,1402874,71946.0
08.05.2022,CO,12500,1393674,71922.0
07.05.2022,CO,12500,1393011,71893.0
06.05.2022,CO,12494,1391616,71864.0
05.05.2022,CO,12486,1390382,71826.0
04.05.2022,CO,12484,1388904,71792.0
03.05.2022,CO,12483,1387899,71757.0
02.05.2022,CO,12482,1386738,71706.0
01.05.2022,CO,12481,1386205,71667.0
30.04.2022,CO,12461,1385275,71649.0
29.04.2022,CO,12152,1384160,71622.0
28.04.2022,CO,12151,1383389,71606.0
27.04.2022,CO,12149,1382225,71580.0
26.04.2022,CO,12143,1381354,71554.0
25.04.2022,CO,12141,1380502,71527.0
24.04.2022,CO,12141,1380175,71500.0
23.04.2022,CO,12139,1378901,71480.0
22.04.2022,CO,12139,1378281,71455.0
21.04.2022,CO,12100,1375374,71433.0
20.04.2022,CO,12099,1374941,71402.0
19.04.2022,CO,12099,1374307,71370.0
18.04.2022,CO,12030,1370765,71345.0
17.04.2022,CO,12030,1370537,71332.0
16.04.2022,CO,12036,1368955,71307.0
15.04.2022,CO,12029,1367336,71287.0
14.04.2022,CO,12029,1366846,71265.0
13.04.2022,CO,12028,1366386,71258.0
12.04.2022,CO,12001,1362924,71239.0
11.04.2022,CO,11999,1362331,71231.0
10.04.2022,CO,11999,1362143,71217.0
09.04.2022,CO,12029,1360691,71204.0
08.04.2022,CO,11995,1358281,71190.0
07.04.2022,CO,11994,1357939,71169.0
06.04.2022,CO,11982,1355565,71155.0
05.04.2022,CO,11982,1355214,71144.0
04.04.2022,CO,11982,1354757,71136.0
