date,state,death,positive,hospitalized
22.06.2022,CT,11033,823625,43194.0
21.06.2022,CT,11032,822898,43140.0
20.06.2022,CT,11015,822319,43092.0
19.06.2022,CT,11015,820870,43045.0
18.06.2022,CT,11015,820870,43022.0
17.06.2022,CT,11015,820870,42973.0
16.06.2022,CT,11015,820026,42925.0
15.06.2022,CT,11015,819531,42881.0
14.06.2022,CT,11015,818718,42832.0
13.06.2022,CT,11000,817973,42787.0
12.06.2022,CT,11000,816356,42747.0
11.06.2022,CT,11000,816356,42706.0
10.06.2022,CT,11000,816356,42653.0
09.06.2022,CT,10999,815660,42594.0
08.06.2022,CT,11000,814985,42540.0
07.06.2022,CT,10998,814328,42477.0
06.06.2022,CT,10971,813676,42432.0
05.06.2022,CT,10973,811932,42387.0
04.06.2022,CT,10973,811932,42343.0
03.06.2022,CT,10973,811932,42296.0
02.06.2022,CT,10972,810849,42241.0
01.06.2022,CT,10973,810190,42169.0
31.05.2022,CT,10941,809194,42094.0
30.05.2022,CT,10941,806467,42043.0
29.05.2022,CT,10941,806467,41993.0
28.05.2022,CT,10941,806467,41937.0
27.05.2022,CT,10941,806467,41879.0
26.05.2022,CT,10941,805329,41816.0
25.05.2022,CT,10936,803748,41750.0
24.05.2022,CT,10937,802106,41697.0
23.05.2022,CT,10926,801078,41619.0
22.05.2022,CT,10926,797616,41551.0
21.05.2022,CT,10926,797616,41509.0
20.05.2022,CT,10926,797616,41438.0
19.05.2022,CT,10922,795492,41365.0
18.05.2022,CT,10922,793615,41300.0
17.05.2022,CT,10922,791690,41244.0
16.05.2022,CT,10914,789933,41152.0
15.05.2022,CT,10914,779460,41102.0
14.05.2022,CT,10914,779460,41053.0
13.05.2022,CT,10914,779460,40987.0
12.05.2022,CT,10883,777064,40927.0
11.05.2022,CT,10883,775101,40856.0
10.05.2022,CT,10883,772709,40811.0
09.05.2022,CT,10875,770762,40767.0
08.05.2022,CT,10874,766172,40702.0
07.05.2022,CT,10874,766172,40648.0
06.05.2022,CT,10874,766172,40585.0
05.05.2022,CT,10858,764569,40537.0
04.05.2022,CT,10858,763149,40482.0
03.05.2022,CT,10855,762097,40440.0
02.05.2022,CT,10851,760370,40395.0
01.05.2022,CT,10850,758281,40355.0
30.04.2022,CT,10850,758281,40309.0
29.04.2022,CT,10850,758281,40256.0
28.04.2022,CT,10840,757227,40198.0
27.04.2022,CT,10838,755971,40158.0
26.04.2022,CT,10838,754924,40102.0
25.04.2022,CT,10834,753836,40047.0
24.04.2022,CT,10834,751810,40007.0
23.04.2022,CT,10834,751810,39969.0
