date,state,death,positive,hospitalized
22.06.2022,DE,2982,283017,14217.0
21.06.2022,DE,2980,282909,14203.0
20.06.2022,DE,2977,282743,14195.0
19.06.2022,DE,2977,281986,14184.0
18.06.2022,DE,2977,281986,14173.0
17.06.2022,DE,2977,281986,14151.0
16.06.2022,DE,2971,281624,14134.0
15.06.2022,DE,2970,281347,14119.0
14.06.2022,DE,2970,280252,14104.0
13.06.2022,DE,2970,280252,14093.0
12.06.2022,DE,2970,280252,14084.0
11.06.2022,DE,2970,280252,14070.0
10.06.2022,DE,2970,280252,14066.0
09.06.2022,DE,2962,278877,14053.0
08.06.2022,DE,2962,278877,14041.0
07.06.2022,DE,2962,278877,14017.0
06.06.2022,DE,2961,278609,13997.0
05.06.2022,DE,2961,277666,13983.0
04.06.2022,DE,2961,277666,13970.0
03.06.2022,DE,2961,277666,13954.0
02.06.2022,DE,2959,277187,13930.0
01.06.2022,DE,2958,276771,13913.0
31.05.2022,DE,2956,276639,13893.0
30.05.2022,DE,2956,276454,13868.0
29.05.2022,DE,2956,274899,13850.0
28.05.2022,DE,2956,274899,13838.0
27.05.2022,DE,2956,274899,13819.0
26.05.2022,DE,2942,274286,13797.0
25.05.2022,DE,2939,272907,13778.0
24.05.2022,DE,2939,272907,13763.0
23.05.2022,DE,2939,272907,13743.0
22.05.2022,DE,2939,271294,13728.0
21.05.2022,DE,2939,271294,13710.0
20.05.2022,DE,2939,271294,13694.0
19.05.2022,DE,2936,270491,13679.0
18.05.2022,DE,2936,269818,13661.0
17.05.2022,DE,2936,269198,13637.0
16.05.2022,DE,2931,268945,13619.0
15.05.2022,DE,2931,267265,13601.0
14.05.2022,DE,2931,267265,13583.0
13.05.2022,DE,2931,267265,13562.0
12.05.2022,DE,2928,266673,13551.0
11.05.2022,DE,2928,265707,13538.0
10.05.2022,DE,2928,265707,13519.0
09.05.2022,DE,2928,265472,13506.0
08.05.2022,DE,2928,264376,13492.0
07.05.2022,DE,2928,264376,13474.0
06.05.2022,DE,2928,264376,13460.0
