date,state,death,positive,hospitalized
22.06.2022,DC,1349,155026,10734.0
21.06.2022,DC,1349,155026,10720.0
20.06.2022,DC,1349,154165,10701.0
19.06.2022,DC,1349,154165,10694.0
18.06.2022,DC,1349,154165,10680.0
17.06.2022,DC,1349,154165,10669.0
16.06.2022,DC,1349,153903,10649.0
15.06.2022,DC,1348,153661,10633.0
14.06.2022,DC,1348,153436,10615.0
13.06.2022,DC,1348,153244,10602.0
12.06.2022,DC,1348,152799,10593.0
11.06.2022,DC,1348,152799,10581.0
10.06.2022,DC,1348,152799,10566.0
09.06.2022,DC,1348,152252,10550.0
08.06.2022,DC,1348,152252,10533.0
07.06.2022,DC,1348,151978,10516.0
06.06.2022,DC,1347,151652,10509.0
05.06.2022,DC,1347,151005,10502.0
04.06.2022,DC,1347,151005,10488.0
03.06.2022,DC,1347,151005,10477.0
02.06.2022,DC,1346,150783,10462.0
01.06.2022,DC,1346,150495,10457.0
31.05.2022,DC,1343,150303,10445.0
30.05.2022,DC,1342,149638,10428.0
29.05.2022,DC,1342,149638,10420.0
28.05.2022,DC,1342,149638,10413.0
27.05.2022,DC,1342,149638,10404.0
26.05.2022,DC,1342,149271,10392.0
25.05.2022,DC,1342,148843,10379.0
24.05.2022,DC,1342,148270,10369.0
23.05.2022,DC,1342,147819,10354.0
22.05.2022,DC,1342,147210,10346.0
21.05.2022,DC,1342,147210,10334.0
20.05.2022,DC,1342,147210,10322.0
19.05.2022,DC,1342,146904,10308.0
18.05.2022,DC,1342,146520,10297.0
17.05.2022,DC,1342,146163,10280.0
16.05.2022,DC,1342,145846,10271.0
15.05.2022,DC,1341,145187,10262.0
14.05.2022,DC,1341,145187,10255.0
13.05.2022,DC,1341,145187,10248.0
12.05.2022,DC,1340,144675,10233.0
11.05.2022,DC,1340,143943,10226.0
10.05.2022,DC,1340,143005,10218.0
09.05.2022,DC,1340,143005,10214.0
08.05.2022,DC,1340,141943,10209.0
07.05.2022,DC,1340,141943,10202.0
06.05.2022,DC,1340,141943,10198.0
05.05.2022,DC,1340,141943,10192.0
04.05.2022,DC,1340,141943,10185.0
03.05.2022,DC,1340,141943,10171.0
02.05.2022,DC,1340,141943,10160.0
01.05.2022,DC,1340,141943,10156.0
30.04.2022,DC,1340,141943,10146.0
29.04.2022,DC,1340,141943,10136.0
28.04.2022,DC,1340,141943,10125.0
27.04.2022,DC,1340,141943,10124.0
26.04.2022,DC,1340,141943,10118.0
25.04.2022,DC,1335,141355,10107.0
24.04.2022,DC,1335,141355,10100.0
23.04.2022,DC,1335,141355,10094.0
22.04.2022,DC,1335,141355,10089.0
21.04.2022,DC,1333,140845,10082.0
20.04.2022,DC,1333,140845,10077.0
19.04.2022,DC,1333,140674,10074.0
18.04.2022,DC,1333,139772,10072.0
17.04.2022,DC,1333,139772,10071.0
16.04.2022,DC,1333,139772,10067.0
15.04.2022,DC,1333,139772,10066.0
14.04.2022,DC,1333,139772,10058.0
13.04.2022,DC,1333,139160,10055.0
12.04.2022,DC,1333,139160,10052.0
11.04.2022,DC,1333,138939,10051.0
10.04.2022,DC,1332,137603,10049.0
09.04.2022,DC,1332,137603,10045.0
08.04.2022,DC,1332,137603,10041.0
07.04.2022,DC,1332,137603,10037.0
06.04.2022,DC,1332,137603,10035.0
05.04.2022,DC,1332,137603,10032.0
04.04.2022,DC,1333,136886,10028.0
03.04.2022,DC,1319,134623,10026.0
02.04.2022,DC,1319,134623,10022.0
01.04.2022,DC,1319,134623,10019.0
31.03.2022,DC,1319,134623,10019.0
30.03.2022,DC,1319,134623,10017.0
29.03.2022,DC,1319,134623,10016.0
28.03.2022,DC,1319,134623,10013.0
27.03.2022,DC,1319,134623,10010.0
26.03.2022,DC,1319,134623,10009.0
25.03.2022,DC,1319,134623,10008.0
24.03.2022,DC,1319,134623,10005.0
23.03.2022,DC,1319,134623,10003.0
22.03.2022,DC,1319,134623,10002.0
21.03.2022,DC,1319,134623,10001.0
20.03.2022,DC,1319,134623,10000.0
19.03.2022,DC,1319,134623,9997.0
18.03.2022,DC,1319,134623,9997.0
17.03.2022,DC,1319,134623,9997.0
16.03.2022,DC,1319,134623,9993.0
15.03.2022,DC,1319,134623,9991.0
14.03.2022,DC,1319,134623,9988.0
13.03.2022,DC,1319,134623,9979.0
12.03.2022,DC,1319,134623,9973.0
11.03.2022,DC,1319,134623,9971.0
10.03.2022,DC,1319,134623,9967.0
09.03.2022,DC,1319,134623,9966.0
08.03.2022,DC,1319,134623,9963.0
07.03.2022,DC,1319,134623,9958.0
06.03.2022,DC,1319,134623,9953.0
05.03.2022,DC,1319,134623,9949.0
04.03.2022,DC,1319,134623,9941.0
03.03.2022,DC,1319,134623,9938.0
02.03.2022,DC,1319,134623,9932.0
01.03.2022,DC,1319,134623,9921.0
28.02.2022,DC,1318,134564,9915.0
27.02.2022,DC,1317,134326,9910.0
26.02.2022,DC,1317,134326,9903.0
25.02.2022,DC,1317,134326,9897.0
24.02.2022,DC,1317,134214,9890.0
23.02.2022,DC,1317,134114,9885.0
22.02.2022,DC,1315,134066,9873.0
21.02.2022,DC,1314,133697,9869.0
20.02.2022,DC,1314,133697,9861.0
19.02.2022,DC,1314,133697,9855.0
18.02.2022,DC,1314,133697,9842.0
17.02.2022,DC,1313,133587,9829.0
16.02.2022,DC,1311,133459,9820.0
15.02.2022,DC,1309,133339,9814.0
14.02.2022,DC,1309,133295,9804.0
13.02.2022,DC,1309,132820,9796.0
12.02.2022,DC,1309,132820,9785.0
11.02.2022,DC,1309,132820,9772.0
10.02.2022,DC,1305,132628,9760.0
09.02.2022,DC,1305,132884,9744.0
08.02.2022,DC,1304,132257,9731.0
07.02.2022,DC,1304,132170,9720.0
06.02.2022,DC,1293,131543,9712.0
05.02.2022,DC,1293,131543,9702.0
04.02.2022,DC,1293,131543,9685.0
03.02.2022,DC,1291,131284,9667.0
02.02.2022,DC,1290,131093,9639.0
01.02.2022,DC,1290,130949,9625.0
31.01.2022,DC,1284,129817,9614.0
30.01.2022,DC,1284,129817,9605.0
29.01.2022,DC,1284,129817,9584.0
28.01.2022,DC,1284,129817,9548.0
27.01.2022,DC,1282,129479,9520.0
26.01.2022,DC,1280,129108,9491.0
25.01.2022,DC,1278,128739,9459.0
24.01.2022,DC,1275,128550,9426.0
23.01.2022,DC,1267,127200,9402.0
22.01.2022,DC,1267,127200,9366.0
21.01.2022,DC,1267,127200,9323.0
20.01.2022,DC,1264,126675,9275.0
19.01.2022,DC,1263,126187,9232.0
18.01.2022,DC,1260,125707,9191.0
17.01.2022,DC,1255,121871,9154.0
16.01.2022,DC,1255,121871,9122.0
15.01.2022,DC,1255,121871,9083.0
14.01.2022,DC,1255,121871,9009.0
13.01.2022,DC,1245,120327,8941.0
12.01.2022,DC,1240,118802,8877.0
11.01.2022,DC,1237,117586,8802.0
10.01.2022,DC,1233,116278,8724.0
09.01.2022,DC,1225,108112,8643.0
08.01.2022,DC,1225,108112,8575.0
07.01.2022,DC,1225,108112,8515.0
06.01.2022,DC,1225,108112,8438.0
05.01.2022,DC,1222,105493,8336.0
04.01.2022,DC,1220,105493,8281.0
03.01.2022,DC,1218,103487,8208.0
02.01.2022,DC,1211,94286,8131.0
01.01.2022,DC,1211,94286,8058.0
31.12.2021,DC,1211,94286,7975.0
30.12.2021,DC,1211,94286,7899.0
29.12.2021,DC,1210,92045,7814.0
28.12.2021,DC,1209,90633,7724.0
27.12.2021,DC,1209,88765,7650.0
26.12.2021,DC,1207,79565,7595.0
25.12.2021,DC,1207,79565,7555.0
24.12.2021,DC,1207,79565,7508.0
23.12.2021,DC,1207,79565,7464.0
22.12.2021,DC,1207,77661,7427.0
21.12.2021,DC,1207,76137,7394.0
20.12.2021,DC,1206,71219,7368.0
19.12.2021,DC,1206,71219,7341.0
18.12.2021,DC,1206,71219,7321.0
17.12.2021,DC,1206,71219,7303.0
16.12.2021,DC,1204,70375,7284.0
15.12.2021,DC,1203,69867,7261.0
