date,state,death,positive,hospitalized
22.06.2022,FL,75337,6395154,438146.0
21.06.2022,FL,75337,6395154,437509.0
20.06.2022,FL,75337,6383030,436878.0
19.06.2022,FL,75337,6372071,436334.0
18.06.2022,FL,75337,6365283,435835.0
17.06.2022,FL,75336,6356546,435227.0
16.06.2022,FL,75297,6345691,434644.0
15.06.2022,FL,75285,6333630,434059.0
14.06.2022,FL,75088,6320862,433427.0
13.06.2022,FL,75087,6307501,432830.0
12.06.2022,FL,75022,6297735,432321.0
11.06.2022,FL,75018,6290556,431823.0
10.06.2022,FL,74948,6282043,431264.0
09.06.2022,FL,74818,6259362,430741.0
08.06.2022,FL,74818,6259362,430180.0
07.06.2022,FL,74817,6247188,429641.0
06.06.2022,FL,74816,6235295,429066.0
05.06.2022,FL,74719,6223513,428581.0
04.06.2022,FL,74718,6215558,428138.0
03.06.2022,FL,74718,6208019,427678.0
02.06.2022,FL,74588,6196903,427193.0
01.06.2022,FL,74588,6182858,426711.0
31.05.2022,FL,74587,6169670,426202.0
30.05.2022,FL,74587,6159668,425779.0
29.05.2022,FL,74588,6151877,425377.0
28.05.2022,FL,74556,6144927,424957.0
27.05.2022,FL,74550,6136355,424532.0
26.05.2022,FL,74550,6125076,424124.0
25.05.2022,FL,74435,6114014,423696.0
24.05.2022,FL,74435,6102575,423296.0
23.05.2022,FL,74434,6090488,422909.0
22.05.2022,FL,74432,6080942,422581.0
21.05.2022,FL,74400,6074503,422230.0
20.05.2022,FL,74374,6067555,421924.0
19.05.2022,FL,74374,6058213,421602.0
18.05.2022,FL,74329,6049746,421276.0
17.05.2022,FL,74329,6039469,420928.0
16.05.2022,FL,74328,6030118,420636.0
15.05.2022,FL,74295,6021653,420368.0
14.05.2022,FL,74241,6016334,420110.0
13.05.2022,FL,74239,6010358,419829.0
12.05.2022,FL,74178,5997998,419521.0
11.05.2022,FL,74178,5994332,419296.0
10.05.2022,FL,74177,5986506,419032.0
09.05.2022,FL,74175,5978763,418789.0
08.05.2022,FL,74157,5965375,418589.0
07.05.2022,FL,74131,5965287,418391.0
06.05.2022,FL,74112,5964124,418157.0
05.05.2022,FL,74111,5958619,417939.0
04.05.2022,FL,74085,5952598,417718.0
03.05.2022,FL,74055,5946129,417503.0
02.05.2022,FL,74054,5941691,417300.0
01.05.2022,FL,74052,5936671,417133.0
30.04.2022,FL,74038,5933767,416972.0
29.04.2022,FL,74009,5930465,416783.0
28.04.2022,FL,74007,5925650,416616.0
27.04.2022,FL,74002,5920998,416435.0
26.04.2022,FL,73947,5916312,416249.0
25.04.2022,FL,73946,5911717,416075.0
24.04.2022,FL,73943,5908059,415941.0
23.04.2022,FL,73896,5905558,415828.0
22.04.2022,FL,73869,5902677,415696.0
21.04.2022,FL,73822,5899186,415549.0
20.04.2022,FL,73822,5895555,415418.0
19.04.2022,FL,73820,5891759,415281.0
18.04.2022,FL,73759,5888248,415154.0
17.04.2022,FL,73758,5885138,415023.0
16.04.2022,FL,73738,5883333,414910.0
15.04.2022,FL,73738,5881128,414769.0
14.04.2022,FL,73738,5878345,414645.0
13.04.2022,FL,73737,5875462,414534.0
12.04.2022,FL,73622,5872586,414419.0
11.04.2022,FL,73622,5870021,414321.0
10.04.2022,FL,73621,5867847,414229.0
09.04.2022,FL,73621,5866398,414133.0
08.04.2022,FL,73583,5865831,414046.0
07.04.2022,FL,73583,5862791,413939.0
06.04.2022,FL,73531,5860653,413847.0
05.04.2022,FL,73531,5858902,413731.0
04.04.2022,FL,73530,5856726,413640.0
03.04.2022,FL,73495,5855254,413567.0
02.04.2022,FL,73454,5854280,413490.0
01.04.2022,FL,73454,5853147,413412.0
31.03.2022,FL,73408,5851512,413313.0
30.03.2022,FL,73282,5849912,413197.0
29.03.2022,FL,73282,5847541,413098.0
28.03.2022,FL,73278,5846199,412979.0
27.03.2022,FL,73273,5844722,412887.0
26.03.2022,FL,73137,5844484,412809.0
25.03.2022,FL,73134,5844484,412706.0
24.03.2022,FL,73018,5841469,412607.0
23.03.2022,FL,73017,5840054,412497.0
22.03.2022,FL,73017,5838415,412371.0
21.03.2022,FL,73012,5836422,412267.0
20.03.2022,FL,72946,5835576,412154.0
19.03.2022,FL,72827,5834973,412044.0
18.03.2022,FL,72592,5832733,411921.0
17.03.2022,FL,72592,5832733,411801.0
16.03.2022,FL,72592,5831371,411665.0
15.03.2022,FL,72591,5829827,411518.0
14.03.2022,FL,72443,5828554,411384.0
13.03.2022,FL,72246,5827743,411258.0
12.03.2022,FL,72055,5827743,411123.0
11.03.2022,FL,72039,5827743,410947.0
10.03.2022,FL,71853,5824726,410796.0
09.03.2022,FL,71853,5823361,410613.0
08.03.2022,FL,71851,5821819,410406.0
07.03.2022,FL,71472,5820206,410164.0
06.03.2022,FL,71395,5818631,409975.0
05.03.2022,FL,71393,5817816,409809.0
04.03.2022,FL,71326,5817532,409600.0
03.03.2022,FL,70790,5814521,409341.0
02.03.2022,FL,70789,5812552,409095.0
01.03.2022,FL,70788,5810252,408804.0
28.02.2022,FL,70788,5808480,408509.0
27.02.2022,FL,70084,5806510,408227.0
26.02.2022,FL,70084,5804635,407937.0
25.02.2022,FL,70084,5803576,407583.0
24.02.2022,FL,69554,5800599,407209.0
23.02.2022,FL,69553,5797657,406816.0
22.02.2022,FL,69552,5794142,406435.0
21.02.2022,FL,68955,5790325,405971.0
20.02.2022,FL,68954,5786627,405599.0
19.02.2022,FL,68952,5783477,405194.0
18.02.2022,FL,68902,5778186,404707.0
17.02.2022,FL,68572,5769916,404119.0
16.02.2022,FL,68572,5769916,403592.0
15.02.2022,FL,68572,5763441,402955.0
14.02.2022,FL,68561,5757006,402315.0
13.02.2022,FL,67910,5751104,401760.0
12.02.2022,FL,67910,5746904,401119.0
11.02.2022,FL,67910,5741680,400357.0
10.02.2022,FL,67326,5732856,399610.0
09.02.2022,FL,67322,5723066,398788.0
08.02.2022,FL,67316,5712924,397933.0
07.02.2022,FL,67300,5700028,397057.0
06.02.2022,FL,66463,5680958,396226.0
05.02.2022,FL,66279,5613385,395358.0
04.02.2022,FL,66279,5613385,394330.0
03.02.2022,FL,65993,5590369,393257.0
02.02.2022,FL,65993,5590369,392071.0
01.02.2022,FL,65984,5572602,390908.0
31.01.2022,FL,65963,5555713,389631.0
30.01.2022,FL,64955,5481687,388592.0
29.01.2022,FL,64955,5481687,387421.0
28.01.2022,FL,64955,5481687,386072.0
27.01.2022,FL,64640,5478894,384702.0
26.01.2022,FL,64635,5448288,383138.0
25.01.2022,FL,64629,5420175,381633.0
24.01.2022,FL,64610,5382565,380035.0
23.01.2022,FL,64002,5347828,378663.0
22.01.2022,FL,64002,5311729,377184.0
21.01.2022,FL,64001,5303375,375425.0
20.01.2022,FL,63574,5281000,373687.0
19.01.2022,FL,63569,5242386,371826.0
18.01.2022,FL,63567,5196294,369928.0
17.01.2022,FL,63553,5153138,367988.0
16.01.2022,FL,63536,5120094,366279.0
15.01.2022,FL,63453,5088652,364513.0
14.01.2022,FL,63449,5041424,362557.0
13.01.2022,FL,63084,4992579,360447.0
