date,state,death,positive,hospitalized
22.06.2022,GA,38447,2035187,208650.0
21.06.2022,GA,38360,2021181,208482.0
20.06.2022,GA,38360,2021181,208335.0
19.06.2022,GA,38360,2021181,208228.0
18.06.2022,GA,38360,2021181,208129.0
17.06.2022,GA,38360,2021181,208024.0
16.06.2022,GA,38291,2021181,207901.0
15.06.2022,GA,38291,2021181,207787.0
14.06.2022,GA,38290,2007615,207674.0
13.06.2022,GA,38290,2007615,207552.0
12.06.2022,GA,38290,2007615,207442.0
11.06.2022,GA,38290,2007615,207343.0
10.06.2022,GA,38290,2007615,207218.0
09.06.2022,GA,38290,2007615,207118.0
08.06.2022,GA,38246,2007615,207025.0
07.06.2022,GA,38242,1992974,206926.0
06.06.2022,GA,38242,1992974,206819.0
05.06.2022,GA,38242,1992974,206739.0
04.06.2022,GA,38242,1992974,206641.0
03.06.2022,GA,38242,1992974,206545.0
02.06.2022,GA,38198,1971827,206446.0
01.06.2022,GA,38198,1971827,206335.0
31.05.2022,GA,38198,1981571,206248.0
30.05.2022,GA,38198,1981571,206157.0
29.05.2022,GA,38198,1981571,206083.0
28.05.2022,GA,38198,1981571,206014.0
27.05.2022,GA,38198,1981571,205925.0
26.05.2022,GA,38198,1981571,205857.0
25.05.2022,GA,38158,1981571,205787.0
24.05.2022,GA,38157,1970507,205713.0
23.05.2022,GA,38157,1970507,205646.0
22.05.2022,GA,38157,1970507,205581.0
21.05.2022,GA,38157,1970507,205519.0
20.05.2022,GA,38157,1970507,205449.0
19.05.2022,GA,38157,1970507,205379.0
18.05.2022,GA,38157,1970507,205308.0
17.05.2022,GA,38086,1962028,205247.0
16.05.2022,GA,38086,1962028,205191.0
15.05.2022,GA,38086,1962028,205135.0
14.05.2022,GA,38086,1962028,205076.0
13.05.2022,GA,38086,1962028,205025.0
12.05.2022,GA,38086,1962028,204975.0
11.05.2022,GA,38086,1962028,204926.0
10.05.2022,GA,37969,1955230,204883.0
09.05.2022,GA,37969,1955230,204836.0
08.05.2022,GA,37969,1955230,204800.0
07.05.2022,GA,37969,1955230,204762.0
06.05.2022,GA,37969,1955230,204712.0
05.05.2022,GA,37969,1955230,204668.0
04.05.2022,GA,37969,1955230,204623.0
03.05.2022,GA,37806,1950206,204576.0
02.05.2022,GA,37806,1950206,204539.0
01.05.2022,GA,37806,1950206,204502.0
30.04.2022,GA,37806,1950206,204445.0
29.04.2022,GA,37806,1950206,204399.0
28.04.2022,GA,37806,1950206,204358.0
