date,state,death,positive,hospitalized
22.06.2022,HI,1489,303333,11487.0
21.06.2022,HI,1474,297851,11450.0
20.06.2022,HI,1474,297851,11410.0
19.06.2022,HI,1474,297851,11374.0
18.06.2022,HI,1474,297851,11346.0
17.06.2022,HI,1474,297851,11317.0
16.06.2022,HI,1474,297851,11291.0
15.06.2022,HI,1474,297851,11256.0
14.06.2022,HI,1465,290652,11219.0
13.06.2022,HI,1465,290652,11187.0
12.06.2022,HI,1465,290652,11160.0
11.06.2022,HI,1465,290652,11123.0
10.06.2022,HI,1465,290652,11093.0
09.06.2022,HI,1465,290652,11057.0
08.06.2022,HI,1465,290652,11028.0
07.06.2022,HI,1457,282619,11003.0
06.06.2022,HI,1457,282619,10971.0
05.06.2022,HI,1457,282619,10934.0
04.06.2022,HI,1457,282619,10898.0
03.06.2022,HI,1457,282619,10869.0
02.06.2022,HI,1457,282619,10845.0
01.06.2022,HI,1457,282619,10818.0
31.05.2022,HI,1451,274495,10788.0
30.05.2022,HI,1451,274495,10762.0
29.05.2022,HI,1451,274495,10724.0
28.05.2022,HI,1451,274495,10695.0
27.05.2022,HI,1451,274495,10673.0
26.05.2022,HI,1451,274495,10643.0
25.05.2022,HI,1451,274495,10614.0
24.05.2022,HI,1446,265571,10581.0
23.05.2022,HI,1446,265571,10564.0
22.05.2022,HI,1446,265571,10536.0
21.05.2022,HI,1446,265571,10509.0
20.05.2022,HI,1446,265571,10479.0
19.05.2022,HI,1446,265571,10454.0
18.05.2022,HI,1446,265571,10431.0
17.05.2022,HI,1434,258422,10405.0
16.05.2022,HI,1434,258422,10384.0
15.05.2022,HI,1434,258422,10355.0
14.05.2022,HI,1434,258422,10333.0
13.05.2022,HI,1434,258422,10311.0
12.05.2022,HI,1434,258422,10286.0
11.05.2022,HI,1434,258422,10273.0
10.05.2022,HI,1428,252654,10253.0
09.05.2022,HI,1428,252654,10236.0
08.05.2022,HI,1428,252654,10222.0
07.05.2022,HI,1428,252654,10208.0
06.05.2022,HI,1428,252654,10190.0
05.05.2022,HI,1428,252654,10182.0
04.05.2022,HI,1428,252654,10169.0
03.05.2022,HI,1418,248405,10151.0
02.05.2022,HI,1418,248405,10137.0
01.05.2022,HI,1418,248405,10126.0
30.04.2022,HI,1418,248405,10119.0
29.04.2022,HI,1418,248405,10107.0
28.04.2022,HI,1418,248405,10095.0
27.04.2022,HI,1418,248405,10083.0
26.04.2022,HI,1407,245035,10073.0
25.04.2022,HI,1407,245035,10064.0
24.04.2022,HI,1407,245035,10047.0
23.04.2022,HI,1407,245035,10041.0
22.04.2022,HI,1407,245035,10032.0
21.04.2022,HI,1407,245035,10023.0
20.04.2022,HI,1407,245035,10016.0
19.04.2022,HI,1390,243299,10009.0
18.04.2022,HI,1390,243299,9992.0
17.04.2022,HI,1390,243299,9985.0
16.04.2022,HI,1390,243299,9981.0
15.04.2022,HI,1390,243299,9973.0
14.04.2022,HI,1390,243299,9967.0
13.04.2022,HI,1390,243299,9960.0
12.04.2022,HI,1382,241972,9955.0
11.04.2022,HI,1382,241972,9946.0
10.04.2022,HI,1382,241972,9940.0
09.04.2022,HI,1382,241972,9934.0
08.04.2022,HI,1382,241972,9929.0
07.04.2022,HI,1382,241972,9925.0
06.04.2022,HI,1382,241972,9920.0
05.04.2022,HI,1379,240778,9910.0
04.04.2022,HI,1379,240778,9906.0
03.04.2022,HI,1379,240778,9904.0
02.04.2022,HI,1379,240778,9896.0
01.04.2022,HI,1379,240778,9891.0
31.03.2022,HI,1379,240778,9882.0
30.03.2022,HI,1379,240778,9876.0
29.03.2022,HI,1373,239591,9872.0
28.03.2022,HI,1373,239591,9866.0
27.03.2022,HI,1373,239591,9858.0
26.03.2022,HI,1373,239591,9855.0
25.03.2022,HI,1373,239591,9851.0
24.03.2022,HI,1373,239591,9847.0
23.03.2022,HI,1373,239591,9845.0
22.03.2022,HI,1368,238764,9839.0
21.03.2022,HI,1368,238764,9832.0
20.03.2022,HI,1368,238764,9830.0
19.03.2022,HI,1368,238764,9827.0
18.03.2022,HI,1368,238764,9819.0
17.03.2022,HI,1368,238764,9812.0
16.03.2022,HI,1368,238764,9804.0
15.03.2022,HI,1354,237672,9792.0
14.03.2022,HI,1354,237672,9785.0
13.03.2022,HI,1354,237672,9779.0
12.03.2022,HI,1354,237672,9771.0
11.03.2022,HI,1354,237672,9764.0
10.03.2022,HI,1354,237672,9753.0
09.03.2022,HI,1354,237672,9745.0
08.03.2022,HI,1354,237518,9729.0
07.03.2022,HI,1354,237455,9717.0
06.03.2022,HI,1348,236983,9708.0
05.03.2022,HI,1348,236983,9697.0
04.03.2022,HI,1348,236983,9686.0
03.03.2022,HI,1344,236749,9678.0
02.03.2022,HI,1341,236435,9666.0
01.03.2022,HI,1334,236269,9650.0
28.02.2022,HI,1334,236151,9641.0
27.02.2022,HI,1321,235435,9631.0
26.02.2022,HI,1321,235435,9619.0
25.02.2022,HI,1321,235435,9608.0
24.02.2022,HI,1312,235124,9599.0
23.02.2022,HI,1304,234835,9582.0
22.02.2022,HI,1304,234701,9561.0
21.02.2022,HI,1304,234551,9540.0
20.02.2022,HI,1292,233640,9524.0
19.02.2022,HI,1292,233640,9505.0
18.02.2022,HI,1292,233640,9488.0
17.02.2022,HI,1290,233155,9467.0
16.02.2022,HI,1274,232505,9446.0
15.02.2022,HI,1262,232302,9415.0
14.02.2022,HI,1262,232008,9398.0
13.02.2022,HI,1247,230238,9370.0
12.02.2022,HI,1247,230238,9347.0
11.02.2022,HI,1247,230238,9312.0
10.02.2022,HI,1239,229531,9279.0
09.02.2022,HI,1233,228336,9253.0
08.02.2022,HI,1226,227817,9232.0
07.02.2022,HI,1226,227284,9209.0
06.02.2022,HI,1204,224257,9181.0
05.02.2022,HI,1204,224257,9158.0
04.02.2022,HI,1204,224257,9126.0
03.02.2022,HI,1194,223065,9090.0
02.02.2022,HI,1191,221533,9059.0
01.02.2022,HI,1181,220356,9031.0
31.01.2022,HI,1181,219288,8985.0
30.01.2022,HI,1164,213174,8943.0
29.01.2022,HI,1164,213174,8903.0
28.01.2022,HI,1164,213174,8852.0
27.01.2022,HI,1159,211267,8800.0
26.01.2022,HI,1149,208887,8758.0
25.01.2022,HI,1146,206837,8714.0
24.01.2022,HI,1146,204933,8676.0
23.01.2022,HI,1137,195151,8627.0
22.01.2022,HI,1137,195151,8573.0
21.01.2022,HI,1137,195151,8512.0
20.01.2022,HI,1135,190678,8448.0
19.01.2022,HI,1126,184767,8395.0
18.01.2022,HI,1126,180838,8329.0
17.01.2022,HI,1126,174586,8268.0
16.01.2022,HI,1117,160031,8217.0
15.01.2022,HI,1117,160031,8167.0
14.01.2022,HI,1117,160031,8117.0
13.01.2022,HI,1114,156932,8064.0
12.01.2022,HI,1110,153540,8013.0
11.01.2022,HI,1105,150028,7950.0
10.01.2022,HI,1105,147099,7900.0
09.01.2022,HI,1101,134442,7855.0
08.01.2022,HI,1101,134442,7790.0
07.01.2022,HI,1101,134442,7744.0
06.01.2022,HI,1098,130856,7690.0
05.01.2022,HI,1094,126067,7635.0
04.01.2022,HI,1094,123456,7595.0
03.01.2022,HI,1094,121864,7549.0
02.01.2022,HI,1090,112932,7502.0
01.01.2022,HI,1090,112932,7473.0
31.12.2021,HI,1090,112932,7436.0
30.12.2021,HI,1085,109642,7401.0
29.12.2021,HI,1085,106158,7369.0
28.12.2021,HI,1082,104597,7345.0
27.12.2021,HI,1082,103773,7314.0
26.12.2021,HI,1078,98593,7289.0
25.12.2021,HI,1078,98593,7267.0
24.12.2021,HI,1078,98593,7256.0
23.12.2021,HI,1077,96765,7243.0
22.12.2021,HI,1074,95254,7227.0
21.12.2021,HI,1072,94293,7212.0
20.12.2021,HI,1072,93586,7196.0
19.12.2021,HI,1067,91067,7186.0
18.12.2021,HI,1067,91067,7177.0
17.12.2021,HI,1067,91067,7168.0
16.12.2021,HI,1065,90270,7161.0
15.12.2021,HI,1063,89875,7153.0
14.12.2021,HI,1058,89593,7147.0
13.12.2021,HI,1058,89379,7142.0
12.12.2021,HI,1045,88825,7139.0
11.12.2021,HI,1045,88825,7137.0
10.12.2021,HI,1045,88825,7134.0
09.12.2021,HI,1040,88655,7122.0
08.12.2021,HI,1039,88512,7119.0
07.12.2021,HI,1033,88440,7112.0
06.12.2021,HI,1033,88385,7111.0
05.12.2021,HI,1028,88023,7107.0
04.12.2021,HI,1028,88023,7102.0
03.12.2021,HI,1028,88023,7098.0
02.12.2021,HI,1027,87898,7098.0
01.12.2021,HI,1026,87772,7093.0
30.11.2021,HI,1018,87585,7089.0
29.11.2021,HI,1018,87585,7081.0
28.11.2021,HI,1015,87210,7075.0
27.11.2021,HI,1015,87210,7071.0
26.11.2021,HI,1015,87210,7065.0
25.11.2021,HI,1014,87183,7060.0
24.11.2021,HI,1008,87106,7055.0
23.11.2021,HI,1002,86991,7051.0
22.11.2021,HI,1002,86939,7044.0
21.11.2021,HI,998,86522,7037.0
20.11.2021,HI,998,86522,7037.0
19.11.2021,HI,998,86522,7031.0
18.11.2021,HI,992,86316,7025.0
17.11.2021,HI,985,86090,7020.0
16.11.2021,HI,977,85948,7015.0
15.11.2021,HI,977,85885,7006.0
14.11.2021,HI,976,85628,7002.0
13.11.2021,HI,976,85628,6996.0
12.11.2021,HI,976,85628,6990.0
11.11.2021,HI,971,85490,6981.0
10.11.2021,HI,968,85360,6979.0
09.11.2021,HI,962,85218,6969.0
08.11.2021,HI,962,85139,6962.0
07.11.2021,HI,944,84814,6959.0
06.11.2021,HI,944,84814,6954.0
05.11.2021,HI,944,84814,6951.0
04.11.2021,HI,932,84690,6946.0
03.11.2021,HI,919,84578,6939.0
02.11.2021,HI,916,84402,6932.0
01.11.2021,HI,916,84364,6927.0
31.10.2021,HI,891,83708,6921.0
30.10.2021,HI,891,83708,6920.0
29.10.2021,HI,891,83708,6914.0
28.10.2021,HI,890,83707,6903.0
27.10.2021,HI,889,83706,6896.0
26.10.2021,HI,883,83522,6886.0
