date,state,death,positive,hospitalized
22.06.2022,ID,4961,459525,20953.0
21.06.2022,ID,4954,457907,20937.0
20.06.2022,ID,4954,457907,20915.0
19.06.2022,ID,4954,457907,20894.0
18.06.2022,ID,4954,457907,20869.0
17.06.2022,ID,4954,457907,20852.0
16.06.2022,ID,4954,457026,20834.0
15.06.2022,ID,4954,457026,20815.0
14.06.2022,ID,4951,456132,20796.0
13.06.2022,ID,4951,456132,20781.0
12.06.2022,ID,4951,455427,20761.0
11.06.2022,ID,4951,455427,20754.0
10.06.2022,ID,4951,455427,20728.0
09.06.2022,ID,4946,454576,20709.0
08.06.2022,ID,4946,454576,20681.0
07.06.2022,ID,4943,453550,20664.0
06.06.2022,ID,4943,453550,20651.0
05.06.2022,ID,4942,452918,20640.0
04.06.2022,ID,4942,452918,20624.0
03.06.2022,ID,4942,452918,20612.0
02.06.2022,ID,4942,452085,20601.0
01.06.2022,ID,4942,452085,20588.0
31.05.2022,ID,4940,450957,20574.0
30.05.2022,ID,4940,450957,20564.0
29.05.2022,ID,4940,450957,20555.0
28.05.2022,ID,4940,450957,20541.0
27.05.2022,ID,4940,450957,20525.0
26.05.2022,ID,4939,450337,20516.0
25.05.2022,ID,4939,450337,20508.0
24.05.2022,ID,4939,449680,20496.0
23.05.2022,ID,4939,449680,20486.0
22.05.2022,ID,4936,449263,20477.0
21.05.2022,ID,4936,449263,20470.0
20.05.2022,ID,4936,449263,20463.0
19.05.2022,ID,4936,448754,20455.0
18.05.2022,ID,4936,448754,20441.0
17.05.2022,ID,4934,448269,20429.0
16.05.2022,ID,4934,448269,20417.0
15.05.2022,ID,4933,447913,20414.0
14.05.2022,ID,4933,447913,20409.0
13.05.2022,ID,4933,447913,20404.0
12.05.2022,ID,4930,447540,20398.0
11.05.2022,ID,4930,447540,20390.0
10.05.2022,ID,4930,447159,20382.0
09.05.2022,ID,4930,447159,20374.0
08.05.2022,ID,4928,446856,20368.0
07.05.2022,ID,4928,446856,20364.0
06.05.2022,ID,4928,446856,20356.0
05.05.2022,ID,4928,446549,20352.0
04.05.2022,ID,4928,446549,20340.0
03.05.2022,ID,4927,446227,20336.0
02.05.2022,ID,4927,446227,20328.0
01.05.2022,ID,4927,446040,20320.0
30.04.2022,ID,4927,446040,20313.0
29.04.2022,ID,4927,446040,20307.0
28.04.2022,ID,4923,445821,20303.0
27.04.2022,ID,4923,445821,20298.0
26.04.2022,ID,4922,445670,20290.0
25.04.2022,ID,4922,445670,20285.0
24.04.2022,ID,4922,445545,20278.0
23.04.2022,ID,4922,445545,20269.0
22.04.2022,ID,4922,445545,20261.0
21.04.2022,ID,4918,445350,20254.0
20.04.2022,ID,4918,445350,20248.0
19.04.2022,ID,4914,445167,20242.0
18.04.2022,ID,4914,445167,20240.0
17.04.2022,ID,4913,445040,20237.0
16.04.2022,ID,4913,445040,20235.0
15.04.2022,ID,4913,445040,20231.0
14.04.2022,ID,4911,445007,20223.0
13.04.2022,ID,4905,444907,20222.0
12.04.2022,ID,4905,444864,20217.0
11.04.2022,ID,4897,444757,20216.0
10.04.2022,ID,4895,444637,20213.0
09.04.2022,ID,4895,444637,20208.0
08.04.2022,ID,4895,444637,20205.0
07.04.2022,ID,4892,444584,20202.0
06.04.2022,ID,4892,444523,20198.0
05.04.2022,ID,4887,444499,20193.0
04.04.2022,ID,4883,444423,20191.0
03.04.2022,ID,4876,444210,20189.0
02.04.2022,ID,4876,444210,20188.0
01.04.2022,ID,4876,444210,20182.0
31.03.2022,ID,4873,444002,20180.0
30.03.2022,ID,4873,443929,20177.0
29.03.2022,ID,4870,443791,20175.0
28.03.2022,ID,4868,443665,20172.0
27.03.2022,ID,4867,443549,20171.0
26.03.2022,ID,4867,443549,20171.0
25.03.2022,ID,4867,443549,20167.0
24.03.2022,ID,4864,443479,20165.0
23.03.2022,ID,4860,443309,20157.0
22.03.2022,ID,4861,443035,20148.0
21.03.2022,ID,4834,442610,20141.0
20.03.2022,ID,4834,441938,20139.0
19.03.2022,ID,4834,441938,20136.0
18.03.2022,ID,4834,441938,20131.0
17.03.2022,ID,4834,441375,20127.0
16.03.2022,ID,4831,440783,20120.0
15.03.2022,ID,4819,439928,20114.0
14.03.2022,ID,4819,439103,20106.0
13.03.2022,ID,4819,437931,20097.0
12.03.2022,ID,4819,437931,20087.0
11.03.2022,ID,4819,437931,20080.0
10.03.2022,ID,4814,437061,20067.0
09.03.2022,ID,4807,436033,20048.0
08.03.2022,ID,4796,434981,20034.0
07.03.2022,ID,4796,434157,20022.0
06.03.2022,ID,4788,432483,20005.0
05.03.2022,ID,4788,432483,19991.0
04.03.2022,ID,4788,432483,19969.0
03.03.2022,ID,4772,430918,19954.0
02.03.2022,ID,4772,429476,19942.0
01.03.2022,ID,4763,427738,19928.0
28.02.2022,ID,4751,426164,19918.0
27.02.2022,ID,4730,423638,19909.0
26.02.2022,ID,4730,423638,19897.0
25.02.2022,ID,4730,423638,19874.0
24.02.2022,ID,4722,421587,19855.0
23.02.2022,ID,4715,419178,19833.0
22.02.2022,ID,4703,416868,19809.0
21.02.2022,ID,4676,414513,19784.0
20.02.2022,ID,4674,413372,19772.0
19.02.2022,ID,4674,413372,19749.0
18.02.2022,ID,4674,413372,19726.0
17.02.2022,ID,4654,411158,19693.0
16.02.2022,ID,4634,409129,19653.0
15.02.2022,ID,4615,406806,19610.0
14.02.2022,ID,4577,404629,19560.0
13.02.2022,ID,4553,402048,19521.0
12.02.2022,ID,4553,402048,19476.0
11.02.2022,ID,4553,402048,19433.0
10.02.2022,ID,4538,400299,19374.0
09.02.2022,ID,4537,397931,19319.0
08.02.2022,ID,4497,395366,19246.0
07.02.2022,ID,4496,393052,19187.0
06.02.2022,ID,4478,389715,19127.0
05.02.2022,ID,4478,389715,19088.0
04.02.2022,ID,4478,389715,19021.0
03.02.2022,ID,4466,387287,18943.0
02.02.2022,ID,4453,384791,18868.0
01.02.2022,ID,4425,382465,18794.0
31.01.2022,ID,4405,377721,18723.0
30.01.2022,ID,4400,376094,18653.0
29.01.2022,ID,4400,376094,18582.0
28.01.2022,ID,4400,376094,18489.0
27.01.2022,ID,4365,372441,18411.0
26.01.2022,ID,4357,368663,18324.0
25.01.2022,ID,4345,364576,18242.0
24.01.2022,ID,4331,361056,18145.0
23.01.2022,ID,4323,356111,18085.0
22.01.2022,ID,4323,356111,18014.0
21.01.2022,ID,4323,356111,17958.0
20.01.2022,ID,4317,352407,17888.0
19.01.2022,ID,4292,348944,17820.0
18.01.2022,ID,4282,344412,17740.0
17.01.2022,ID,4274,340857,17663.0
16.01.2022,ID,4270,339689,17600.0
15.01.2022,ID,4270,339689,17546.0
14.01.2022,ID,4270,339689,17496.0
13.01.2022,ID,4263,336423,17444.0
12.01.2022,ID,4260,334085,17391.0
11.01.2022,ID,4243,331265,17334.0
10.01.2022,ID,4238,328946,17286.0
09.01.2022,ID,4235,327064,17243.0
08.01.2022,ID,4235,327064,17194.0
07.01.2022,ID,4235,327064,17146.0
06.01.2022,ID,4223,325729,17085.0
05.01.2022,ID,4192,323965,17043.0
04.01.2022,ID,4188,322524,17006.0
03.01.2022,ID,4162,319382,16962.0
02.01.2022,ID,4162,319382,16936.0
01.01.2022,ID,4162,319382,16898.0
31.12.2021,ID,4162,319382,16867.0
30.12.2021,ID,4162,319382,16843.0
29.12.2021,ID,4161,318458,16821.0
28.12.2021,ID,4153,317735,16798.0
27.12.2021,ID,4133,316716,16775.0
26.12.2021,ID,4099,315726,16751.0
25.12.2021,ID,4099,315726,16727.0
24.12.2021,ID,4099,315726,16704.0
23.12.2021,ID,4099,315726,16684.0
22.12.2021,ID,4097,315270,16662.0
21.12.2021,ID,4082,314915,16634.0
20.12.2021,ID,4068,314491,16605.0
19.12.2021,ID,4068,313810,16575.0
18.12.2021,ID,4068,313810,16559.0
17.12.2021,ID,4068,313810,16533.0
16.12.2021,ID,4060,313421,16509.0
15.12.2021,ID,4057,313040,16491.0
14.12.2021,ID,4049,312589,16457.0
13.12.2021,ID,4032,312184,16437.0
12.12.2021,ID,4028,311519,16415.0
11.12.2021,ID,4028,311519,16395.0
10.12.2021,ID,4028,311519,16371.0
09.12.2021,ID,4013,311148,16342.0
08.12.2021,ID,4001,310659,16309.0
07.12.2021,ID,3995,310008,16267.0
06.12.2021,ID,3977,309312,16237.0
05.12.2021,ID,3969,308667,16204.0
04.12.2021,ID,3969,308667,16171.0
03.12.2021,ID,3969,308667,16138.0
02.12.2021,ID,3949,308153,16100.0
01.12.2021,ID,3949,307559,16076.0
30.11.2021,ID,3929,306843,16045.0
29.11.2021,ID,3921,306207,16016.0
28.11.2021,ID,3891,305522,15999.0
27.11.2021,ID,3891,305522,15978.0
26.11.2021,ID,3891,305522,15942.0
25.11.2021,ID,3891,305131,15913.0
24.11.2021,ID,3891,305131,15877.0
23.11.2021,ID,3883,304561,15845.0
22.11.2021,ID,3862,303926,15811.0
21.11.2021,ID,3845,303048,15776.0
20.11.2021,ID,3845,303048,15747.0
19.11.2021,ID,3845,303048,15718.0
18.11.2021,ID,3826,302390,15690.0
17.11.2021,ID,3801,301839,15655.0
16.11.2021,ID,3785,301189,15622.0
15.11.2021,ID,3752,300525,15585.0
14.11.2021,ID,3735,299574,15543.0
13.11.2021,ID,3735,299574,15511.0
12.11.2021,ID,3735,299574,15488.0
11.11.2021,ID,3703,298632,15458.0
10.11.2021,ID,3703,298632,15429.0
09.11.2021,ID,3681,297908,15400.0
08.11.2021,ID,3678,297140,15355.0
07.11.2021,ID,3644,295948,15322.0
06.11.2021,ID,3644,295948,15277.0
05.11.2021,ID,3644,295948,15229.0
04.11.2021,ID,3629,295145,15179.0
03.11.2021,ID,3600,294483,15128.0
02.11.2021,ID,3577,293239,15082.0
01.11.2021,ID,3571,292314,15040.0
31.10.2021,ID,3534,290870,15006.0
30.10.2021,ID,3534,290870,14973.0
29.10.2021,ID,3534,290870,14925.0
28.10.2021,ID,3509,289794,14876.0
27.10.2021,ID,3501,288921,14838.0
26.10.2021,ID,3473,287677,14792.0
25.10.2021,ID,3428,286332,14739.0
24.10.2021,ID,3403,284276,14698.0
23.10.2021,ID,3403,284276,14639.0
22.10.2021,ID,3403,284276,14586.0
21.10.2021,ID,3346,281468,14545.0
20.10.2021,ID,3346,281468,14484.0
19.10.2021,ID,3316,279920,14418.0
18.10.2021,ID,3316,279920,14360.0
17.10.2021,ID,3251,276078,14303.0
16.10.2021,ID,3251,276078,14258.0
15.10.2021,ID,3251,276078,14192.0
14.10.2021,ID,3187,272624,14137.0
13.10.2021,ID,3187,272624,14075.0
12.10.2021,ID,3122,268659,14024.0
11.10.2021,ID,3122,268659,13962.0
10.10.2021,ID,3117,267663,13888.0
09.10.2021,ID,3117,267663,13829.0
08.10.2021,ID,3117,267663,13750.0
07.10.2021,ID,3064,265981,13682.0
06.10.2021,ID,3040,264660,13614.0
05.10.2021,ID,2993,263293,13541.0
04.10.2021,ID,2982,261458,13444.0
03.10.2021,ID,2931,259099,13385.0
02.10.2021,ID,2931,259099,13320.0
01.10.2021,ID,2931,259099,13252.0
30.09.2021,ID,2907,257321,13169.0
29.09.2021,ID,2854,255416,13091.0
28.09.2021,ID,2830,253732,13018.0
27.09.2021,ID,2790,252375,12921.0
26.09.2021,ID,2753,249739,12847.0
25.09.2021,ID,2753,249739,12777.0
24.09.2021,ID,2753,249739,12727.0
23.09.2021,ID,2719,248091,12625.0
22.09.2021,ID,2687,246747,12539.0
21.09.2021,ID,2662,245393,12444.0
20.09.2021,ID,2636,242321,12343.0
19.09.2021,ID,2600,239526,12246.0
18.09.2021,ID,2600,239526,12168.0
17.09.2021,ID,2600,239526,12067.0
16.09.2021,ID,2600,239526,11976.0
15.09.2021,ID,2560,238308,11880.0
14.09.2021,ID,2505,236993,11802.0
13.09.2021,ID,2485,235336,11720.0
12.09.2021,ID,2460,232623,11641.0
11.09.2021,ID,2460,232623,11562.0
10.09.2021,ID,2460,232623,11484.0
09.09.2021,ID,2426,229588,11386.0
08.09.2021,ID,2426,229588,11300.0
07.09.2021,ID,2411,228085,11218.0
06.09.2021,ID,2379,225534,11147.0
05.09.2021,ID,2379,225534,11087.0
04.09.2021,ID,2379,225534,11021.0
03.09.2021,ID,2379,225534,10942.0
02.09.2021,ID,2379,224150,10874.0
01.09.2021,ID,2371,222548,10814.0
31.08.2021,ID,2363,221385,10748.0
30.08.2021,ID,2331,220162,10670.0
29.08.2021,ID,2327,217886,10607.0
28.08.2021,ID,2327,217886,10548.0
27.08.2021,ID,2327,217886,10474.0
26.08.2021,ID,2319,217052,10395.0
25.08.2021,ID,2316,216060,10345.0
24.08.2021,ID,2308,215041,10293.0
23.08.2021,ID,2288,213364,10226.0
22.08.2021,ID,2283,212938,10171.0
21.08.2021,ID,2283,212938,10128.0
20.08.2021,ID,2283,212938,10087.0
19.08.2021,ID,2281,212326,10039.0
18.08.2021,ID,2280,211531,10005.0
17.08.2021,ID,2258,210314,9952.0
16.08.2021,ID,2251,209410,9892.0
15.08.2021,ID,2245,208053,9835.0
14.08.2021,ID,2245,208053,9788.0
13.08.2021,ID,2245,208053,9749.0
12.08.2021,ID,2236,207273,9705.0
11.08.2021,ID,2236,206522,9662.0
10.08.2021,ID,2226,205786,9614.0
09.08.2021,ID,2210,202669,9568.0
08.08.2021,ID,2210,202669,9539.0
07.08.2021,ID,2210,202669,9500.0
06.08.2021,ID,2210,202669,9465.0
05.08.2021,ID,2210,202669,9432.0
04.08.2021,ID,2210,202669,9402.0
03.08.2021,ID,2209,202032,9367.0
02.08.2021,ID,2203,201352,9351.0
01.08.2021,ID,2197,200484,9326.0
31.07.2021,ID,2197,200484,9303.0
30.07.2021,ID,2197,200484,9277.0
29.07.2021,ID,2195,199955,9255.0
28.07.2021,ID,2190,199516,9231.0
27.07.2021,ID,2189,199158,9212.0
26.07.2021,ID,2188,198840,9179.0
25.07.2021,ID,2183,198225,9163.0
24.07.2021,ID,2183,198225,9142.0
23.07.2021,ID,2183,198225,9131.0
22.07.2021,ID,2180,198014,9112.0
21.07.2021,ID,2179,197781,9092.0
20.07.2021,ID,2177,197456,9075.0
19.07.2021,ID,2176,197211,9060.0
18.07.2021,ID,2173,196856,9046.0
17.07.2021,ID,2173,196856,9033.0
16.07.2021,ID,2173,196856,9021.0
15.07.2021,ID,2169,196489,9013.0
14.07.2021,ID,2169,196489,8996.0
13.07.2021,ID,2165,196310,8980.0
12.07.2021,ID,2165,195917,8966.0
11.07.2021,ID,2165,195831,8956.0
10.07.2021,ID,2165,195831,8944.0
09.07.2021,ID,2165,195831,8931.0
08.07.2021,ID,2163,195696,8917.0
07.07.2021,ID,2162,195552,8905.0
06.07.2021,ID,2159,195429,8902.0
05.07.2021,ID,2158,195172,8895.0
04.07.2021,ID,2158,195172,8890.0
03.07.2021,ID,2158,195172,8882.0
02.07.2021,ID,2158,195172,8876.0
01.07.2021,ID,2154,195089,8873.0
30.06.2021,ID,2152,194998,8861.0
