date,state,death,positive,hospitalized
22.06.2022,IL,38161,3312152,166969.0
21.06.2022,IL,38161,3312152,166761.0
20.06.2022,IL,38161,3312152,166576.0
19.06.2022,IL,38161,3312152,166433.0
18.06.2022,IL,38161,3312152,166294.0
17.06.2022,IL,38161,3312152,166142.0
16.06.2022,IL,38161,3312152,165956.0
15.06.2022,IL,38161,3312152,165785.0
14.06.2022,IL,38161,3312152,165599.0
13.06.2022,IL,38161,3312152,165431.0
12.06.2022,IL,38161,3312152,165289.0
11.06.2022,IL,38161,3312152,165136.0
10.06.2022,IL,38161,3312152,164957.0
09.06.2022,IL,38161,3312152,164782.0
08.06.2022,IL,38161,3312152,164585.0
07.06.2022,IL,38161,3312152,164404.0
06.06.2022,IL,38161,3312152,164223.0
05.06.2022,IL,38161,3312152,164074.0
04.06.2022,IL,38161,3312152,163938.0
03.06.2022,IL,38161,3312152,163753.0
02.06.2022,IL,38161,3312152,163558.0
01.06.2022,IL,38161,3306945,163372.0
31.05.2022,IL,38135,3302615,163163.0
30.05.2022,IL,38127,3300502,162991.0
29.05.2022,IL,38127,3295912,162827.0
28.05.2022,IL,38127,3288143,162680.0
27.05.2022,IL,38127,3286582,162486.0
26.05.2022,IL,38121,3280907,162268.0
25.05.2022,IL,38114,3274559,162081.0
24.05.2022,IL,38090,3268153,161925.0
23.05.2022,IL,38090,3264173,161768.0
22.05.2022,IL,38068,3260572,161602.0
21.05.2022,IL,38068,3256786,161445.0
20.05.2022,IL,38068,3249718,161253.0
19.05.2022,IL,38056,3245040,161081.0
18.05.2022,IL,38041,3237470,160911.0
17.05.2022,IL,38028,3231719,160744.0
16.05.2022,IL,38013,3226406,160573.0
15.05.2022,IL,38005,3220956,160436.0
14.05.2022,IL,38005,3216328,160284.0
13.05.2022,IL,38005,3209535,160139.0
12.05.2022,IL,37997,3201110,159973.0
11.05.2022,IL,37994,3195440,159801.0
10.05.2022,IL,37982,3189278,159646.0
09.05.2022,IL,37966,3183953,159526.0
08.05.2022,IL,37956,3179232,159423.0
07.05.2022,IL,37956,3176111,159338.0
06.05.2022,IL,37956,3169500,159223.0
05.05.2022,IL,37949,3161787,159090.0
04.05.2022,IL,37934,3157650,158965.0
03.05.2022,IL,37919,3151914,158855.0
02.05.2022,IL,37906,3147872,158726.0
01.05.2022,IL,37898,3145437,158640.0
30.04.2022,IL,37898,3142538,158553.0
29.04.2022,IL,37898,3138867,158449.0
28.04.2022,IL,37888,3132918,158372.0
27.04.2022,IL,37881,3128334,158265.0
26.04.2022,IL,37872,3124905,158140.0
25.04.2022,IL,37867,3122404,158021.0
24.04.2022,IL,37859,3119262,157933.0
23.04.2022,IL,37859,3117138,157860.0
22.04.2022,IL,37859,3114234,157766.0
21.04.2022,IL,37849,3110435,157671.0
20.04.2022,IL,37840,3106842,157583.0
19.04.2022,IL,37830,3102911,157522.0
18.04.2022,IL,37823,3100447,157449.0
17.04.2022,IL,37815,3099143,157404.0
16.04.2022,IL,37815,3097665,157349.0
15.04.2022,IL,37815,3094677,157292.0
14.04.2022,IL,37806,3092260,157222.0
13.04.2022,IL,37800,3088918,157169.0
12.04.2022,IL,37789,3086850,157112.0
11.04.2022,IL,37777,3085105,157052.0
10.04.2022,IL,37764,3083631,157006.0
09.04.2022,IL,37764,3082421,156953.0
08.04.2022,IL,37764,3080613,156881.0
07.04.2022,IL,37751,3078301,156804.0
06.04.2022,IL,37738,3076732,156733.0
05.04.2022,IL,37727,3074545,156682.0
04.04.2022,IL,37691,3072748,156603.0
03.04.2022,IL,37684,3072001,156555.0
02.04.2022,IL,37684,3071086,156508.0
01.04.2022,IL,37684,3069751,156444.0
31.03.2022,IL,37667,3068357,156373.0
30.03.2022,IL,37645,3066786,156309.0
29.03.2022,IL,37631,3065472,156246.0
28.03.2022,IL,37611,3063899,156191.0
27.03.2022,IL,37589,3063141,156148.0
26.03.2022,IL,37589,3062526,156106.0
25.03.2022,IL,37589,3061385,156041.0
24.03.2022,IL,37571,3060061,155985.0
23.03.2022,IL,37554,3058308,155927.0
22.03.2022,IL,37534,3057177,155854.0
21.03.2022,IL,37479,3055742,155787.0
