date,state,death,positive,hospitalized
22.06.2022,IN,23829,1758650,112375.0
21.06.2022,IN,23829,1758650,112301.0
20.06.2022,IN,23829,1758650,112223.0
19.06.2022,IN,23806,1755959,112164.0
18.06.2022,IN,23806,1755959,112109.0
17.06.2022,IN,23806,1755959,112047.0
16.06.2022,IN,23804,1753119,111966.0
15.06.2022,IN,23804,1753119,111892.0
14.06.2022,IN,23798,1750973,111814.0
13.06.2022,IN,23798,1750973,111722.0
12.06.2022,IN,23778,1747486,111660.0
11.06.2022,IN,23778,1747486,111590.0
10.06.2022,IN,23778,1747486,111515.0
09.06.2022,IN,23770,1745120,111454.0
08.06.2022,IN,23770,1745120,111383.0
07.06.2022,IN,23746,1742261,111300.0
06.06.2022,IN,23746,1742261,111239.0
05.06.2022,IN,23740,1738843,111184.0
04.06.2022,IN,23740,1738843,111126.0
03.06.2022,IN,23740,1738843,111061.0
02.06.2022,IN,23712,1735581,110968.0
01.06.2022,IN,23712,1735581,110874.0
31.05.2022,IN,23700,1730761,110778.0
30.05.2022,IN,23700,1730761,110703.0
29.05.2022,IN,23700,1730761,110648.0
28.05.2022,IN,23700,1730761,110576.0
27.05.2022,IN,23700,1730761,110499.0
26.05.2022,IN,23692,1727818,110437.0
25.05.2022,IN,23692,1727818,110375.0
24.05.2022,IN,23682,1724829,110312.0
23.05.2022,IN,23682,1724829,110252.0
22.05.2022,IN,23681,1721977,110199.0
21.05.2022,IN,23681,1721977,110149.0
20.05.2022,IN,23681,1721977,110093.0
19.05.2022,IN,23662,1718494,110028.0
18.05.2022,IN,23662,1718494,109979.0
17.05.2022,IN,23640,1716327,109917.0
16.05.2022,IN,23640,1716327,109860.0
15.05.2022,IN,23636,1713834,109816.0
14.05.2022,IN,23636,1713834,109766.0
13.05.2022,IN,23636,1713834,109696.0
12.05.2022,IN,23630,1711268,109625.0
11.05.2022,IN,23630,1711268,109573.0
10.05.2022,IN,23619,1709350,109523.0
09.05.2022,IN,23619,1709350,109476.0
08.05.2022,IN,23614,1707085,109438.0
07.05.2022,IN,23614,1707085,109410.0
06.05.2022,IN,23614,1707085,109359.0
05.05.2022,IN,23591,1705394,109324.0
04.05.2022,IN,23591,1705394,109277.0
03.05.2022,IN,23591,1703579,109232.0
02.05.2022,IN,23591,1703579,109197.0
01.05.2022,IN,23587,1702292,109162.0
30.04.2022,IN,23587,1702292,109133.0
29.04.2022,IN,23587,1702292,109100.0
28.04.2022,IN,23570,1700774,109053.0
27.04.2022,IN,23570,1700774,109024.0
26.04.2022,IN,23552,1699213,108986.0
25.04.2022,IN,23552,1699213,108949.0
24.04.2022,IN,23549,1696759,108919.0
23.04.2022,IN,23373,1695119,108886.0
22.04.2022,IN,23373,1695119,108850.0
21.04.2022,IN,23373,1695119,108818.0
20.04.2022,IN,23373,1695119,108796.0
19.04.2022,IN,23373,1695119,108767.0
18.04.2022,IN,23373,1695119,108737.0
17.04.2022,IN,23373,1695119,108716.0
16.04.2022,IN,23373,1695119,108698.0
15.04.2022,IN,23373,1695119,108674.0
14.04.2022,IN,23373,1695119,108655.0
13.04.2022,IN,23373,1695119,108640.0
12.04.2022,IN,23373,1695119,108614.0
11.04.2022,IN,23373,1695119,108579.0
10.04.2022,IN,23373,1695119,108550.0
09.04.2022,IN,23373,1695119,108527.0
08.04.2022,IN,23373,1695119,108504.0
07.04.2022,IN,23373,1695119,108475.0
06.04.2022,IN,23373,1695119,108451.0
05.04.2022,IN,23373,1695119,108437.0
04.04.2022,IN,23373,1695119,108420.0
03.04.2022,IN,23373,1695119,108410.0
02.04.2022,IN,23373,1695119,108395.0
01.04.2022,IN,23373,1695119,108372.0
31.03.2022,IN,23373,1695119,108346.0
30.03.2022,IN,23373,1695119,108316.0
29.03.2022,IN,23373,1695119,108287.0
28.03.2022,IN,23360,1694869,108258.0
27.03.2022,IN,23356,1694434,108229.0
26.03.2022,IN,23356,1694434,108203.0
25.03.2022,IN,23356,1694434,108164.0
24.03.2022,IN,23340,1694209,108127.0
23.03.2022,IN,23334,1693954,108101.0
22.03.2022,IN,23309,1693648,108068.0
21.03.2022,IN,23300,1693430,108049.0
20.03.2022,IN,23290,1693055,108021.0
19.03.2022,IN,23290,1693055,107974.0
18.03.2022,IN,23290,1693055,107916.0
17.03.2022,IN,23250,1692526,107865.0
16.03.2022,IN,23229,1692200,107818.0
15.03.2022,IN,23193,1691871,107767.0
14.03.2022,IN,23178,1691548,107719.0
13.03.2022,IN,23164,1690946,107693.0
12.03.2022,IN,23164,1690946,107653.0
11.03.2022,IN,23164,1690946,107597.0
10.03.2022,IN,23126,1690653,107507.0
09.03.2022,IN,23115,1690271,107449.0
08.03.2022,IN,23038,1689804,107406.0
07.03.2022,IN,23017,1689448,107350.0
06.03.2022,IN,23002,1688004,107303.0
05.03.2022,IN,23002,1688004,107250.0
04.03.2022,IN,23002,1688004,107180.0
03.03.2022,IN,22963,1687441,107125.0
02.03.2022,IN,22928,1686931,107061.0
01.03.2022,IN,22880,1686485,106977.0
28.02.2022,IN,22843,1685947,106899.0
27.02.2022,IN,22800,1684581,106843.0
26.02.2022,IN,22800,1684581,106793.0
25.02.2022,IN,22800,1684581,106696.0
24.02.2022,IN,22736,1683841,106613.0
23.02.2022,IN,22693,1682875,106535.0
22.02.2022,IN,22629,1681956,106438.0
21.02.2022,IN,22575,1681040,106331.0
20.02.2022,IN,22529,1678503,106249.0
19.02.2022,IN,22529,1678503,106164.0
18.02.2022,IN,22529,1678503,106042.0
17.02.2022,IN,22426,1676989,105915.0
16.02.2022,IN,22377,1675521,105763.0
15.02.2022,IN,22251,1674091,105602.0
14.02.2022,IN,22186,1672622,105450.0
13.02.2022,IN,22136,1668559,105308.0
12.02.2022,IN,22136,1668559,105163.0
11.02.2022,IN,22136,1668559,104970.0
10.02.2022,IN,22028,1665768,104754.0
09.02.2022,IN,21911,1659325,104539.0
08.02.2022,IN,21911,1659325,104286.0
07.02.2022,IN,21812,1656178,104018.0
06.02.2022,IN,21712,1651124,103810.0
05.02.2022,IN,21712,1651124,103581.0
04.02.2022,IN,21712,1651124,103316.0
03.02.2022,IN,21666,1646804,103062.0
02.02.2022,IN,21598,1640178,102775.0
01.02.2022,IN,21487,1633264,102428.0
31.01.2022,IN,21356,1627595,102100.0
30.01.2022,IN,21301,1608222,101824.0
29.01.2022,IN,21301,1608222,101545.0
28.01.2022,IN,21301,1608222,101234.0
27.01.2022,IN,21165,1591127,100868.0
26.01.2022,IN,21056,1578922,100477.0
25.01.2022,IN,20928,1573961,100125.0
24.01.2022,IN,20796,1564230,99767.0
23.01.2022,IN,20751,1528637,99427.0
22.01.2022,IN,20751,1528637,99084.0
21.01.2022,IN,20751,1528637,98678.0
20.01.2022,IN,20637,1510955,98237.0
19.01.2022,IN,20500,1494585,97770.0
18.01.2022,IN,20385,1478372,97298.0
17.01.2022,IN,20308,1466540,96838.0
16.01.2022,IN,20226,1429954,96455.0
15.01.2022,IN,20226,1429954,96070.0
14.01.2022,IN,20226,1429954,95597.0
13.01.2022,IN,20123,1414096,95104.0
12.01.2022,IN,20035,1397632,94603.0
11.01.2022,IN,19908,1382619,94140.0
10.01.2022,IN,19796,1370806,93660.0
09.01.2022,IN,19614,1333418,93309.0
08.01.2022,IN,19614,1333418,92895.0
07.01.2022,IN,19614,1333418,92423.0
06.01.2022,IN,19448,1318683,91927.0
05.01.2022,IN,19296,1303472,91468.0
04.01.2022,IN,19256,1290578,91030.0
03.01.2022,IN,19084,1282272,90571.0
02.01.2022,IN,19037,1250836,90234.0
01.01.2022,IN,19037,1250836,89856.0
31.12.2021,IN,19037,1250836,89493.0
30.12.2021,IN,19037,1250836,89094.0
29.12.2021,IN,18989,1238899,88684.0
28.12.2021,IN,18930,1230982,88299.0
27.12.2021,IN,18760,1225272,87905.0
26.12.2021,IN,18696,1204892,87610.0
25.12.2021,IN,18696,1204892,87340.0
24.12.2021,IN,18696,1204892,87042.0
23.12.2021,IN,18696,1204892,86684.0
22.12.2021,IN,18696,1204892,86332.0
21.12.2021,IN,18608,1200111,85974.0
20.12.2021,IN,18489,1196398,85606.0
19.12.2021,IN,18385,1185497,85298.0
18.12.2021,IN,18385,1185497,84961.0
17.12.2021,IN,18385,1185497,84607.0
16.12.2021,IN,18332,1180352,84228.0
15.12.2021,IN,18272,1174885,83844.0
14.12.2021,IN,18176,1170208,83477.0
13.12.2021,IN,18084,1166207,83108.0
12.12.2021,IN,18014,1154823,82818.0
11.12.2021,IN,18014,1154823,82522.0
10.12.2021,IN,18014,1154823,82161.0
09.12.2021,IN,17954,1149546,81808.0
08.12.2021,IN,17909,1144058,81432.0
07.12.2021,IN,17829,1138806,81070.0
06.12.2021,IN,17736,1134626,80685.0
05.12.2021,IN,17712,1122236,80402.0
04.12.2021,IN,17712,1122236,80098.0
03.12.2021,IN,17712,1122236,79763.0
02.12.2021,IN,17652,1116633,79416.0
01.12.2021,IN,17621,1111083,79090.0
30.11.2021,IN,17557,1105075,78790.0
29.11.2021,IN,17438,1101015,78459.0
28.11.2021,IN,17386,1088366,78184.0
27.11.2021,IN,17386,1088366,77939.0
26.11.2021,IN,17386,1088366,77661.0
25.11.2021,IN,17386,1088366,77435.0
24.11.2021,IN,17386,1088366,77171.0
23.11.2021,IN,17369,1084382,76903.0
22.11.2021,IN,17316,1081243,76623.0
21.11.2021,IN,17247,1073317,76430.0
20.11.2021,IN,17247,1073317,76234.0
19.11.2021,IN,17247,1073317,76025.0
18.11.2021,IN,17220,1069584,75802.0
17.11.2021,IN,17191,1065659,75561.0
16.11.2021,IN,17147,1062241,75371.0
15.11.2021,IN,17105,1059433,75185.0
14.11.2021,IN,17088,1053438,75023.0
13.11.2021,IN,17088,1053438,74861.0
12.11.2021,IN,17088,1053438,74664.0
11.11.2021,IN,17013,1050648,74510.0
10.11.2021,IN,16995,1043765,74348.0
09.11.2021,IN,16976,1040956,74199.0
08.11.2021,IN,16916,1038985,74035.0
07.11.2021,IN,16898,1034137,73922.0
06.11.2021,IN,16898,1034137,73776.0
05.11.2021,IN,16898,1034137,73640.0
04.11.2021,IN,16859,1031824,73508.0
03.11.2021,IN,16841,1029791,73370.0
02.11.2021,IN,16783,1027819,73236.0
01.11.2021,IN,16737,1026448,73093.0
31.10.2021,IN,16683,1022473,73000.0
30.10.2021,IN,16683,1022473,72889.0
29.10.2021,IN,16683,1022473,72752.0
28.10.2021,IN,16666,1020557,72599.0
27.10.2021,IN,16632,1018488,72473.0
26.10.2021,IN,16567,1016426,72351.0
25.10.2021,IN,16524,1015013,72204.0
24.10.2021,IN,16470,1011494,72085.0
23.10.2021,IN,16470,1011494,71966.0
22.10.2021,IN,16470,1011494,71833.0
21.10.2021,IN,16449,1009609,71695.0
20.10.2021,IN,16423,1007457,71534.0
19.10.2021,IN,16370,1005504,71389.0
18.10.2021,IN,16309,1003969,71234.0
17.10.2021,IN,16245,1000141,71102.0
16.10.2021,IN,16245,1000141,70957.0
15.10.2021,IN,16245,1000141,70789.0
14.10.2021,IN,16225,997877,70616.0
13.10.2021,IN,16140,995245,70471.0
12.10.2021,IN,16109,992550,70300.0
11.10.2021,IN,16062,990945,70113.0
10.10.2021,IN,15982,986220,69958.0
09.10.2021,IN,15982,986220,69829.0
08.10.2021,IN,15982,986220,69644.0
07.10.2021,IN,15953,982680,69463.0
06.10.2021,IN,15921,980477,69264.0
05.10.2021,IN,15844,977838,69076.0
04.10.2021,IN,15773,975736,68880.0
03.10.2021,IN,15686,969646,68723.0
02.10.2021,IN,15686,969646,68556.0
01.10.2021,IN,15686,969646,68376.0
30.09.2021,IN,15658,966470,68162.0
29.09.2021,IN,15625,963076,67960.0
28.09.2021,IN,15561,960213,67729.0
27.09.2021,IN,15474,957903,67504.0
26.09.2021,IN,15377,951579,67327.0
25.09.2021,IN,15377,951579,67138.0
24.09.2021,IN,15377,951579,66943.0
23.09.2021,IN,15343,948370,66707.0
22.09.2021,IN,15315,944783,66488.0
21.09.2021,IN,15239,940879,66207.0
20.09.2021,IN,15157,938241,65922.0
19.09.2021,IN,15083,930257,65711.0
18.09.2021,IN,15083,930257,65501.0
17.09.2021,IN,15083,930257,65231.0
16.09.2021,IN,15046,925969,64928.0
15.09.2021,IN,15011,921877,64606.0
14.09.2021,IN,14940,917172,64302.0
13.09.2021,IN,14848,913660,63990.0
12.09.2021,IN,14783,903490,63747.0
11.09.2021,IN,14783,903490,63484.0
10.09.2021,IN,14783,903490,63182.0
09.09.2021,IN,14759,898156,62833.0
08.09.2021,IN,14709,893004,62500.0
07.09.2021,IN,14623,890098,62159.0
06.09.2021,IN,14570,877121,61887.0
05.09.2021,IN,14570,877121,61630.0
04.09.2021,IN,14570,877121,61350.0
03.09.2021,IN,14570,877121,61051.0
02.09.2021,IN,14545,872094,60751.0
