date,state,death,positive,hospitalized
22.06.2022,IA,9680,792279,43037.0
21.06.2022,IA,9680,792208,43008.0
20.06.2022,IA,9615,791126,42970.0
19.06.2022,IA,9615,789944,42947.0
18.06.2022,IA,9615,789944,42919.0
17.06.2022,IA,9615,789944,42886.0
16.06.2022,IA,9615,788646,42845.0
15.06.2022,IA,9615,788646,42818.0
14.06.2022,IA,9615,788289,42788.0
13.06.2022,IA,9615,787294,42749.0
12.06.2022,IA,9615,785918,42720.0
11.06.2022,IA,9615,785918,42706.0
10.06.2022,IA,9615,785918,42670.0
09.06.2022,IA,9615,784687,42636.0
08.06.2022,IA,9615,784687,42605.0
07.06.2022,IA,9615,784302,42579.0
06.06.2022,IA,9603,783259,42551.0
05.06.2022,IA,9603,781963,42523.0
04.06.2022,IA,9603,781963,42502.0
03.06.2022,IA,9603,781963,42474.0
02.06.2022,IA,9603,780447,42452.0
01.06.2022,IA,9603,780447,42421.0
31.05.2022,IA,9603,780019,42382.0
30.05.2022,IA,9588,779064,42355.0
29.05.2022,IA,9588,777988,42323.0
28.05.2022,IA,9588,777988,42298.0
27.05.2022,IA,9588,777988,42256.0
26.05.2022,IA,9588,776520,42217.0
25.05.2022,IA,9588,776520,42193.0
24.05.2022,IA,9588,776165,42168.0
23.05.2022,IA,9572,775157,42145.0
22.05.2022,IA,9572,773855,42123.0
21.05.2022,IA,9572,773855,42103.0
20.05.2022,IA,9572,773855,42071.0
19.05.2022,IA,9572,772498,42038.0
18.05.2022,IA,9572,772498,42011.0
17.05.2022,IA,9572,772205,41976.0
16.05.2022,IA,9555,771256,41952.0
15.05.2022,IA,9555,770128,41928.0
14.05.2022,IA,9555,770128,41907.0
13.05.2022,IA,9555,770128,41878.0
12.05.2022,IA,9555,768869,41852.0
11.05.2022,IA,9555,768869,41823.0
10.05.2022,IA,9554,768358,41790.0
09.05.2022,IA,9533,767422,41759.0
08.05.2022,IA,9533,766593,41745.0
07.05.2022,IA,9533,766593,41722.0
06.05.2022,IA,9533,766593,41704.0
05.05.2022,IA,9533,765490,41679.0
04.05.2022,IA,9533,765490,41659.0
03.05.2022,IA,9529,765186,41637.0
02.05.2022,IA,9529,764451,41616.0
01.05.2022,IA,9529,763782,41598.0
30.04.2022,IA,9529,763782,41584.0
29.04.2022,IA,9529,763782,41569.0
28.04.2022,IA,9529,763188,41551.0
27.04.2022,IA,9529,763188,41534.0
26.04.2022,IA,9510,763072,41515.0
25.04.2022,IA,9510,762557,41496.0
24.04.2022,IA,9510,762036,41480.0
