date,state,death,positive,hospitalized
22.06.2022,KS,8943,797782,46248.0
21.06.2022,KS,8943,797782,46227.0
20.06.2022,KS,8943,797782,46195.0
19.06.2022,KS,8943,797782,46165.0
18.06.2022,KS,8943,797782,46133.0
17.06.2022,KS,8943,797782,46099.0
16.06.2022,KS,8946,793833,46073.0
15.06.2022,KS,8946,793833,46051.0
14.06.2022,KS,8946,793833,46020.0
13.06.2022,KS,8946,793833,45987.0
12.06.2022,KS,8946,793833,45960.0
11.06.2022,KS,8946,793833,45939.0
10.06.2022,KS,8946,793833,45913.0
09.06.2022,KS,8943,789127,45890.0
08.06.2022,KS,8943,789127,45868.0
07.06.2022,KS,8943,789127,45845.0
06.06.2022,KS,8943,789127,45817.0
05.06.2022,KS,8943,789127,45799.0
04.06.2022,KS,8943,789127,45781.0
03.06.2022,KS,8943,789127,45758.0
02.06.2022,KS,8939,785916,45731.0
01.06.2022,KS,8939,785916,45712.0
31.05.2022,KS,8939,785916,45690.0
30.05.2022,KS,8939,785916,45664.0
29.05.2022,KS,8939,785916,45651.0
28.05.2022,KS,8939,785916,45639.0
27.05.2022,KS,8939,785916,45612.0
26.05.2022,KS,8802,782802,45594.0
25.05.2022,KS,8802,782802,45564.0
24.05.2022,KS,8802,782802,45542.0
23.05.2022,KS,8802,782802,45520.0
22.05.2022,KS,8802,782802,45509.0
21.05.2022,KS,8802,782802,45492.0
20.05.2022,KS,8802,782802,45474.0
19.05.2022,KS,8720,780892,45460.0
18.05.2022,KS,8720,780892,45441.0
17.05.2022,KS,8720,780892,45426.0
16.05.2022,KS,8720,780892,45408.0
15.05.2022,KS,8720,780892,45395.0
14.05.2022,KS,8720,780892,45381.0
13.05.2022,KS,8720,780892,45367.0
12.05.2022,KS,8691,778045,45352.0
11.05.2022,KS,8691,778045,45333.0
10.05.2022,KS,8691,778045,45318.0
09.05.2022,KS,8691,778045,45300.0
08.05.2022,KS,8691,778045,45283.0
07.05.2022,KS,8691,778045,45268.0
06.05.2022,KS,8691,778045,45257.0
05.05.2022,KS,8635,778045,45251.0
04.05.2022,KS,8635,778045,45245.0
03.05.2022,KS,8635,778045,45235.0
02.05.2022,KS,8635,778045,45230.0
01.05.2022,KS,8635,778045,45225.0
30.04.2022,KS,8635,775813,45213.0
29.04.2022,KS,8635,775813,45201.0
28.04.2022,KS,8597,773796,45190.0
27.04.2022,KS,8597,773796,45181.0
26.04.2022,KS,8597,773796,45176.0
25.04.2022,KS,8597,773796,45158.0
24.04.2022,KS,8597,773796,45149.0
23.04.2022,KS,8597,773796,45141.0
22.04.2022,KS,8597,773796,45132.0
21.04.2022,KS,8524,772222,45122.0
20.04.2022,KS,8524,772222,45117.0
19.04.2022,KS,8524,772222,45102.0
18.04.2022,KS,8524,772222,45096.0
17.04.2022,KS,8524,772222,45085.0
16.04.2022,KS,8524,772222,45081.0
15.04.2022,KS,8524,772222,45070.0
14.04.2022,KS,8501,770977,45059.0
13.04.2022,KS,8501,770977,45053.0
12.04.2022,KS,8501,770977,45042.0
11.04.2022,KS,8501,770977,45025.0
