date,state,death,positive,hospitalized
22.06.2022,KY,16114,1388211,135537.0
21.06.2022,KY,16114,1388211,135469.0
20.06.2022,KY,16114,1388211,135408.0
19.06.2022,KY,16063,1378045,135341.0
18.06.2022,KY,16063,1378045,135289.0
17.06.2022,KY,16063,1378045,135216.0
16.06.2022,KY,16063,1378045,135149.0
15.06.2022,KY,16063,1378045,135067.0
14.06.2022,KY,16063,1378045,135000.0
13.06.2022,KY,16063,1378045,134939.0
12.06.2022,KY,16004,1364548,134871.0
11.06.2022,KY,16004,1364548,134825.0
10.06.2022,KY,16004,1364548,134782.0
09.06.2022,KY,16004,1364548,134724.0
08.06.2022,KY,16004,1364548,134666.0
07.06.2022,KY,16004,1364548,134600.0
06.06.2022,KY,16004,1364548,134531.0
05.06.2022,KY,15945,1354787,134482.0
04.06.2022,KY,15945,1354787,134440.0
03.06.2022,KY,15945,1354787,134392.0
02.06.2022,KY,15945,1354787,134348.0
01.06.2022,KY,15945,1354787,134279.0
31.05.2022,KY,15945,1354787,134222.0
30.05.2022,KY,15909,1347647,134165.0
29.05.2022,KY,15909,1347647,134126.0
28.05.2022,KY,15909,1347647,134093.0
27.05.2022,KY,15909,1347647,134049.0
26.05.2022,KY,15909,1347647,133999.0
25.05.2022,KY,15909,1347647,133938.0
24.05.2022,KY,15909,1347647,133878.0
23.05.2022,KY,15909,1347647,133840.0
22.05.2022,KY,15830,1339520,133796.0
21.05.2022,KY,15830,1339520,133760.0
20.05.2022,KY,15830,1339520,133731.0
19.05.2022,KY,15830,1339520,133692.0
18.05.2022,KY,15830,1339520,133655.0
17.05.2022,KY,15830,1339520,133610.0
16.05.2022,KY,15830,1339520,133559.0
15.05.2022,KY,15734,1333077,133527.0
14.05.2022,KY,15734,1333077,133494.0
13.05.2022,KY,15734,1333077,133461.0
12.05.2022,KY,15734,1333077,133427.0
11.05.2022,KY,15734,1333077,133401.0
10.05.2022,KY,15734,1333077,133382.0
09.05.2022,KY,15734,1333077,133358.0
08.05.2022,KY,15568,1329120,133335.0
07.05.2022,KY,15568,1329120,133314.0
06.05.2022,KY,15568,1329120,133297.0
05.05.2022,KY,15568,1329120,133267.0
04.05.2022,KY,15568,1329120,133246.0
03.05.2022,KY,15568,1329120,133223.0
02.05.2022,KY,15568,1329120,133204.0
01.05.2022,KY,15413,1325726,133188.0
30.04.2022,KY,15413,1325726,133179.0
29.04.2022,KY,15413,1325726,133162.0
28.04.2022,KY,15413,1325726,133145.0
27.04.2022,KY,15413,1325726,133125.0
26.04.2022,KY,15413,1325726,133109.0
25.04.2022,KY,15413,1325726,133091.0
24.04.2022,KY,15297,1322729,133075.0
23.04.2022,KY,15297,1322729,133059.0
22.04.2022,KY,15297,1322729,133034.0
21.04.2022,KY,15297,1322729,133018.0
20.04.2022,KY,15297,1322729,132993.0
19.04.2022,KY,15297,1322729,132971.0
18.04.2022,KY,15297,1322729,132940.0
17.04.2022,KY,15200,1319472,132924.0
16.04.2022,KY,15200,1319472,132914.0
15.04.2022,KY,15200,1319472,132895.0
14.04.2022,KY,15200,1319472,132878.0
13.04.2022,KY,15200,1319472,132853.0
12.04.2022,KY,15200,1319472,132833.0
11.04.2022,KY,15200,1319472,132803.0
10.04.2022,KY,15028,1316355,132782.0
09.04.2022,KY,15028,1316355,132765.0
08.04.2022,KY,15028,1316355,132748.0
07.04.2022,KY,15028,1316355,132718.0
06.04.2022,KY,15028,1316355,132695.0
05.04.2022,KY,15028,1316355,132664.0
04.04.2022,KY,15028,1316355,132642.0
03.04.2022,KY,14895,1312407,132621.0
02.04.2022,KY,14895,1312407,132591.0
01.04.2022,KY,14895,1312407,132557.0
31.03.2022,KY,14895,1312407,132527.0
30.03.2022,KY,14895,1312407,132495.0
29.03.2022,KY,14895,1312407,132468.0
28.03.2022,KY,14895,1312407,132439.0
27.03.2022,KY,14659,1306877,132425.0
26.03.2022,KY,14659,1306877,132401.0
25.03.2022,KY,14659,1306877,132364.0
24.03.2022,KY,14659,1306877,132330.0
23.03.2022,KY,14659,1306877,132297.0
22.03.2022,KY,14659,1306877,132262.0
21.03.2022,KY,14659,1306877,132230.0
20.03.2022,KY,14380,1298238,132192.0
19.03.2022,KY,14380,1298238,132152.0
18.03.2022,KY,14380,1298238,132109.0
17.03.2022,KY,14380,1298238,132057.0
16.03.2022,KY,14380,1298238,132018.0
15.03.2022,KY,14380,1298238,131952.0
14.03.2022,KY,14380,1298238,131883.0
13.03.2022,KY,14097,1288706,131846.0
12.03.2022,KY,14097,1288706,131803.0
11.03.2022,KY,14097,1288706,131743.0
10.03.2022,KY,14097,1288706,131688.0
09.03.2022,KY,14097,1288706,131634.0
08.03.2022,KY,14097,1288706,131574.0
07.03.2022,KY,14097,1288706,131512.0
06.03.2022,KY,14018,1286697,131443.0
05.03.2022,KY,14018,1286697,131382.0
04.03.2022,KY,14018,1286697,131300.0
03.03.2022,KY,13973,1284658,131231.0
02.03.2022,KY,13935,1282416,131156.0
01.03.2022,KY,13900,1280109,131058.0
28.02.2022,KY,13856,1277352,130966.0
27.02.2022,KY,13758,1274681,130882.0
26.02.2022,KY,13758,1274681,130804.0
25.02.2022,KY,13758,1274681,130709.0
24.02.2022,KY,13689,1270258,130611.0
23.02.2022,KY,13689,1270258,130471.0
22.02.2022,KY,13664,1267592,130327.0
21.02.2022,KY,13647,1264329,130192.0
20.02.2022,KY,13565,1258447,130062.0
19.02.2022,KY,13565,1258447,129954.0
18.02.2022,KY,13565,1258447,129819.0
17.02.2022,KY,13519,1254101,129668.0
16.02.2022,KY,13482,1249266,129511.0
15.02.2022,KY,13450,1244139,129357.0
14.02.2022,KY,13416,1240115,129185.0
13.02.2022,KY,13300,1232297,129038.0
12.02.2022,KY,13300,1232297,128909.0
11.02.2022,KY,13300,1232297,128690.0
10.02.2022,KY,13254,1227638,128442.0
09.02.2022,KY,13216,1220703,128227.0
08.02.2022,KY,13182,1212686,127991.0
07.02.2022,KY,13156,1206071,127749.0
06.02.2022,KY,13063,1193783,127569.0
05.02.2022,KY,13063,1193783,127381.0
04.02.2022,KY,13063,1193783,127160.0
03.02.2022,KY,13026,1185431,126955.0
02.02.2022,KY,12996,1176470,126702.0
01.02.2022,KY,12975,1169097,126422.0
31.01.2022,KY,12960,1160558,126126.0
30.01.2022,KY,12890,1140887,125918.0
29.01.2022,KY,12890,1140887,125677.0
28.01.2022,KY,12890,1140887,125394.0
27.01.2022,KY,12856,1125181,125077.0
26.01.2022,KY,12817,1112651,124767.0
25.01.2022,KY,12786,1100097,124367.0
24.01.2022,KY,12763,1085051,124055.0
23.01.2022,KY,12687,1056284,123789.0
