date,state,death,positive,hospitalized
22.06.2022,LA,17383,1292655,85667.0
21.06.2022,LA,17380,1290291,85568.0
20.06.2022,LA,17375,1287429,85477.0
19.06.2022,LA,17373,1282968,85397.0
18.06.2022,LA,17373,1282968,85326.0
17.06.2022,LA,17373,1282968,85252.0
16.06.2022,LA,17373,1282968,85159.0
15.06.2022,LA,17369,1281002,85068.0
14.06.2022,LA,17362,1279458,84996.0
13.06.2022,LA,17361,1277101,84916.0
12.06.2022,LA,17356,1274798,84847.0
11.06.2022,LA,17356,1274798,84776.0
10.06.2022,LA,17356,1274798,84699.0
09.06.2022,LA,17355,1272817,84625.0
08.06.2022,LA,17351,1271058,84552.0
07.06.2022,LA,17350,1269501,84483.0
06.06.2022,LA,17345,1267633,84412.0
05.06.2022,LA,17341,1265225,84360.0
04.06.2022,LA,17341,1265225,84322.0
03.06.2022,LA,17341,1265225,84271.0
02.06.2022,LA,17337,1263204,84201.0
01.06.2022,LA,17332,1261832,84132.0
31.05.2022,LA,17326,1259730,84073.0
30.05.2022,LA,17325,1257148,84014.0
29.05.2022,LA,17325,1257148,83964.0
28.05.2022,LA,17325,1257148,83920.0
27.05.2022,LA,17325,1257148,83871.0
26.05.2022,LA,17321,1255869,83823.0
25.05.2022,LA,17319,1254640,83767.0
24.05.2022,LA,17315,1251966,83706.0
23.05.2022,LA,17315,1251966,83652.0
22.05.2022,LA,17313,1250429,83599.0
21.05.2022,LA,17313,1250429,83549.0
20.05.2022,LA,17313,1250429,83501.0
19.05.2022,LA,17309,1249292,83448.0
18.05.2022,LA,17307,1247925,83415.0
17.05.2022,LA,17301,1246665,83371.0
16.05.2022,LA,17297,1245776,83323.0
15.05.2022,LA,17295,1244423,83302.0
14.05.2022,LA,17295,1244423,83279.0
13.05.2022,LA,17295,1244423,83245.0
12.05.2022,LA,17291,1243693,83201.0
11.05.2022,LA,17290,1242809,83182.0
10.05.2022,LA,17286,1242101,83158.0
09.05.2022,LA,17285,1241504,83130.0
08.05.2022,LA,17276,1240538,83116.0
07.05.2022,LA,17276,1240538,83092.0
06.05.2022,LA,17276,1240538,83076.0
05.05.2022,LA,17273,1239993,83050.0
04.05.2022,LA,17270,1239469,83029.0
03.05.2022,LA,17268,1239063,82996.0
02.05.2022,LA,17262,1238557,82961.0
01.05.2022,LA,17248,1238011,82929.0
30.04.2022,LA,17248,1238011,82899.0
29.04.2022,LA,17248,1238011,82870.0
28.04.2022,LA,17244,1237639,82846.0
27.04.2022,LA,17240,1237321,82815.0
26.04.2022,LA,17235,1236996,82786.0
25.04.2022,LA,17229,1236731,82762.0
24.04.2022,LA,17223,1236111,82742.0
23.04.2022,LA,17223,1236111,82729.0
22.04.2022,LA,17223,1236111,82714.0
21.04.2022,LA,17220,1235893,82699.0
20.04.2022,LA,17213,1235683,82682.0
19.04.2022,LA,17207,1235421,82662.0
18.04.2022,LA,17197,1235193,82648.0
17.04.2022,LA,17194,1234650,82639.0
16.04.2022,LA,17194,1234650,82623.0
15.04.2022,LA,17194,1234650,82612.0
14.04.2022,LA,17194,1234650,82598.0
13.04.2022,LA,17191,1234146,82582.0
12.04.2022,LA,17185,1233871,82571.0
11.04.2022,LA,17182,1233673,82547.0
10.04.2022,LA,17177,1233479,82535.0
09.04.2022,LA,17177,1233479,82518.0
08.04.2022,LA,17177,1233479,82506.0
07.04.2022,LA,17175,1233356,82485.0
06.04.2022,LA,17162,1233225,82472.0
05.04.2022,LA,17154,1233008,82460.0
04.04.2022,LA,17146,1232762,82441.0
03.04.2022,LA,17138,1232513,82426.0
02.04.2022,LA,17138,1232513,82411.0
01.04.2022,LA,17138,1232513,82394.0
31.03.2022,LA,17127,1232422,82373.0
