date,state,death,positive,hospitalized
22.06.2022,ME,2409,267956,10245.0
21.06.2022,ME,2408,267707,10238.0
20.06.2022,ME,2408,267707,10227.0
19.06.2022,ME,2408,267707,10220.0
18.06.2022,ME,2408,267707,10206.0
17.06.2022,ME,2408,267400,10193.0
16.06.2022,ME,2408,267182,10181.0
15.06.2022,ME,2406,266933,10165.0
14.06.2022,ME,2405,266575,10151.0
13.06.2022,ME,2403,266105,10134.0
12.06.2022,ME,2403,266105,10123.0
11.06.2022,ME,2403,266105,10107.0
10.06.2022,ME,2402,265885,10094.0
09.06.2022,ME,2401,265571,10074.0
08.06.2022,ME,2400,265242,10062.0
07.06.2022,ME,2400,264923,10056.0
06.06.2022,ME,2382,264366,10043.0
05.06.2022,ME,2382,264366,10032.0
04.06.2022,ME,2382,264366,10024.0
03.06.2022,ME,2366,264051,10012.0
02.06.2022,ME,2351,263714,9997.0
01.06.2022,ME,2346,263439,9980.0
31.05.2022,ME,2346,262902,9959.0
30.05.2022,ME,2346,262572,9951.0
29.05.2022,ME,2346,262572,9920.0
28.05.2022,ME,2346,262572,9904.0
27.05.2022,ME,2347,262097,9887.0
26.05.2022,ME,2347,261587,9870.0
25.05.2022,ME,2345,261031,9851.0
24.05.2022,ME,2344,260471,9838.0
23.05.2022,ME,2343,259635,9821.0
22.05.2022,ME,2343,259058,9806.0
21.05.2022,ME,2343,259058,9787.0
20.05.2022,ME,2338,258267,9761.0
19.05.2022,ME,2337,257749,9745.0
18.05.2022,ME,2337,256958,9719.0
17.05.2022,ME,2336,256146,9699.0
16.05.2022,ME,2336,255531,9658.0
15.05.2022,ME,2336,254855,9646.0
14.05.2022,ME,2336,254855,9626.0
13.05.2022,ME,2335,254427,9602.0
12.05.2022,ME,2332,253654,9584.0
11.05.2022,ME,2330,252653,9556.0
10.05.2022,ME,2327,251905,9534.0
09.05.2022,ME,2325,251134,9510.0
08.05.2022,ME,2325,250689,9499.0
07.05.2022,ME,2325,250689,9479.0
06.05.2022,ME,2316,249728,9461.0
05.05.2022,ME,2304,248798,9449.0
04.05.2022,ME,2296,248099,9431.0
03.05.2022,ME,2291,247069,9404.0
02.05.2022,ME,2287,245871,9389.0
01.05.2022,ME,2286,245080,9370.0
30.04.2022,ME,2286,245080,9354.0
29.04.2022,ME,2283,244062,9334.0
28.04.2022,ME,2282,243592,9307.0
27.04.2022,ME,2282,243128,9288.0
26.04.2022,ME,2282,242602,9267.0
25.04.2022,ME,2280,242033,9253.0
24.04.2022,ME,2280,242033,9239.0
23.04.2022,ME,2280,242033,9225.0
