date,state,death,positive,hospitalized
22.06.2022,MD,14752,1122792,73563.0
21.06.2022,MD,14752,1122792,73470.0
20.06.2022,MD,14729,1118785,73384.0
19.06.2022,MD,14729,1118785,73330.0
18.06.2022,MD,14729,1118785,73279.0
17.06.2022,MD,14729,1118785,73220.0
16.06.2022,MD,14719,1117397,73155.0
15.06.2022,MD,14711,1115482,73079.0
14.06.2022,MD,14702,1113849,72997.0
13.06.2022,MD,14694,1112705,72928.0
12.06.2022,MD,14678,1109279,72880.0
11.06.2022,MD,14678,1109279,72835.0
10.06.2022,MD,14678,1109279,72781.0
09.06.2022,MD,14660,1105840,72731.0
08.06.2022,MD,14660,1105840,72656.0
07.06.2022,MD,14654,1104084,72579.0
06.06.2022,MD,14634,1098271,72504.0
05.06.2022,MD,14634,1098271,72447.0
04.06.2022,MD,14634,1098271,72393.0
03.06.2022,MD,14634,1098271,72330.0
02.06.2022,MD,14629,1095903,72238.0
01.06.2022,MD,14613,1093441,72146.0
31.05.2022,MD,14613,1093441,72059.0
30.05.2022,MD,14597,1085628,71988.0
29.05.2022,MD,14597,1085628,71920.0
28.05.2022,MD,14597,1085628,71847.0
27.05.2022,MD,14597,1085628,71774.0
26.05.2022,MD,14594,1083424,71705.0
25.05.2022,MD,14592,1080747,71612.0
24.05.2022,MD,14578,1078124,71518.0
23.05.2022,MD,14569,1076141,71435.0
22.05.2022,MD,14555,1070205,71357.0
21.05.2022,MD,14555,1070205,71280.0
20.05.2022,MD,14555,1070205,71191.0
19.05.2022,MD,14551,1068021,71103.0
18.05.2022,MD,14547,1065005,71034.0
17.05.2022,MD,14545,1062235,70944.0
16.05.2022,MD,14542,1060243,70852.0
15.05.2022,MD,14524,1054547,70781.0
14.05.2022,MD,14524,1054547,70714.0
13.05.2022,MD,14524,1054547,70662.0
12.05.2022,MD,14520,1051938,70598.0
11.05.2022,MD,14725,1049471,70544.0
10.05.2022,MD,14510,1047261,70485.0
09.05.2022,MD,14505,1045721,70437.0
08.05.2022,MD,14495,1041621,70397.0
07.05.2022,MD,14495,1041621,70351.0
06.05.2022,MD,14495,1041621,70295.0
05.05.2022,MD,14486,1039776,70248.0
04.05.2022,MD,14482,1037863,70203.0
03.05.2022,MD,14477,1035008,70159.0
02.05.2022,MD,14477,1035008,70111.0
01.05.2022,MD,14462,1032775,70073.0
30.04.2022,MD,14462,1032775,70024.0
29.04.2022,MD,14462,1032775,69981.0
28.04.2022,MD,14456,1031533,69939.0
27.04.2022,MD,14449,1030144,69912.0
26.04.2022,MD,14441,1028752,69879.0
25.04.2022,MD,14425,1025925,69847.0
24.04.2022,MD,14425,1025925,69817.0
23.04.2022,MD,14425,1025925,69793.0
22.04.2022,MD,14425,1025925,69765.0
21.04.2022,MD,14422,1024920,69735.0
20.04.2022,MD,14418,1023905,69708.0
19.04.2022,MD,14412,1022861,69682.0
18.04.2022,MD,14407,1022225,69657.0
17.04.2022,MD,14401,1020351,69633.0
16.04.2022,MD,14401,1020351,69612.0
15.04.2022,MD,14401,1020351,69585.0
14.04.2022,MD,14398,1019487,69555.0
13.04.2022,MD,14395,1018701,69532.0
