date,state,death,positive,hospitalized
22.06.2022,MA,20874,1753978,69937.0
21.06.2022,MA,20835,1752342,69849.0
20.06.2022,MA,20818,1748276,69770.0
19.06.2022,MA,20818,1748276,69710.0
18.06.2022,MA,20818,1748276,69647.0
17.06.2022,MA,20818,1748276,69562.0
16.06.2022,MA,20809,1746713,69461.0
15.06.2022,MA,20800,1745051,69389.0
14.06.2022,MA,20789,1743508,69298.0
13.06.2022,MA,20763,1742140,69207.0
12.06.2022,MA,20735,1738138,69130.0
11.06.2022,MA,20735,1738138,69060.0
10.06.2022,MA,20735,1738138,68967.0
09.06.2022,MA,20726,1736088,68861.0
08.06.2022,MA,20709,1734099,68764.0
07.06.2022,MA,20692,1732319,68675.0
06.06.2022,MA,20670,1730279,68588.0
05.06.2022,MA,20663,1725219,68499.0
04.06.2022,MA,20663,1725219,68422.0
03.06.2022,MA,20663,1725219,68339.0
02.06.2022,MA,20650,1722244,68224.0
01.06.2022,MA,20627,1719683,68105.0
31.05.2022,MA,20594,1717970,67985.0
30.05.2022,MA,20574,1710941,67883.0
29.05.2022,MA,20574,1710941,67789.0
28.05.2022,MA,20574,1710941,67695.0
27.05.2022,MA,20574,1710941,67599.0
26.05.2022,MA,20559,1707849,67487.0
25.05.2022,MA,20544,1704364,67357.0
24.05.2022,MA,20533,1701280,67207.0
23.05.2022,MA,20494,1698587,67070.0
22.05.2022,MA,20478,1690961,66953.0
21.05.2022,MA,20478,1690961,66827.0
20.05.2022,MA,20478,1690961,66695.0
19.05.2022,MA,20468,1687023,66550.0
18.05.2022,MA,20453,1682066,66423.0
17.05.2022,MA,20441,1678118,66275.0
16.05.2022,MA,20409,1674693,66138.0
15.05.2022,MA,20393,1663904,66019.0
14.05.2022,MA,20393,1663904,65907.0
13.05.2022,MA,20393,1663904,65776.0
12.05.2022,MA,20383,1659250,65650.0
11.05.2022,MA,20365,1653674,65531.0
10.05.2022,MA,20357,1649678,65393.0
09.05.2022,MA,20335,1646769,65256.0
08.05.2022,MA,20334,1638144,65163.0
07.05.2022,MA,20334,1638144,65058.0
06.05.2022,MA,20334,1638144,64939.0
05.05.2022,MA,20316,1634308,64815.0
04.05.2022,MA,20303,1629932,64709.0
03.05.2022,MA,20290,1626947,64598.0
02.05.2022,MA,20280,1624296,64492.0
01.05.2022,MA,20263,1618006,64401.0
30.04.2022,MA,20263,1618006,64326.0
29.04.2022,MA,20263,1618006,64218.0
28.04.2022,MA,20257,1614807,64136.0
27.04.2022,MA,20247,1611466,64040.0
26.04.2022,MA,20238,1608659,63935.0
25.04.2022,MA,20237,1606287,63861.0
24.04.2022,MA,20222,1600844,63790.0
23.04.2022,MA,20222,1600844,63724.0
22.04.2022,MA,20222,1600844,63651.0
21.04.2022,MA,20219,1598541,63565.0
