date,state,death,positive,hospitalized
22.06.2022,MI,36744,2592078,149070.0
21.06.2022,MI,36675,2581397,148969.0
20.06.2022,MI,36675,2581397,148885.0
19.06.2022,MI,36675,2581397,148800.0
18.06.2022,MI,36675,2581397,148740.0
17.06.2022,MI,36675,2581397,148645.0
16.06.2022,MI,36675,2581397,148529.0
15.06.2022,MI,36675,2581397,148405.0
14.06.2022,MI,36538,2565819,148286.0
13.06.2022,MI,36538,2565819,148167.0
12.06.2022,MI,36538,2565819,148067.0
11.06.2022,MI,36538,2565819,147956.0
10.06.2022,MI,36538,2565819,147841.0
09.06.2022,MI,36538,2565819,147720.0
08.06.2022,MI,36538,2565819,147599.0
07.06.2022,MI,36407,2547366,147467.0
06.06.2022,MI,36407,2547366,147359.0
05.06.2022,MI,36407,2547366,147266.0
04.06.2022,MI,36407,2547366,147175.0
03.06.2022,MI,36407,2547366,147064.0
02.06.2022,MI,36407,2547366,146942.0
01.06.2022,MI,36407,2547366,146804.0
31.05.2022,MI,36357,2527831,146646.0
30.05.2022,MI,36357,2527831,146509.0
29.05.2022,MI,36357,2527831,146390.0
28.05.2022,MI,36357,2527831,146277.0
27.05.2022,MI,36357,2527831,146115.0
26.05.2022,MI,36357,2527831,145958.0
25.05.2022,MI,36357,2527831,145824.0
24.05.2022,MI,36218,2501863,145670.0
23.05.2022,MI,36218,2501863,145536.0
22.05.2022,MI,36218,2501863,145424.0
21.05.2022,MI,36218,2501863,145291.0
20.05.2022,MI,36218,2501863,145128.0
19.05.2022,MI,36218,2501863,144990.0
18.05.2022,MI,36218,2501863,144839.0
17.05.2022,MI,36140,2472596,144661.0
16.05.2022,MI,36140,2472596,144507.0
15.05.2022,MI,36140,2472596,144372.0
14.05.2022,MI,36140,2472596,144246.0
13.05.2022,MI,36140,2472596,144109.0
12.05.2022,MI,36140,2472596,143950.0
11.05.2022,MI,36140,2472596,143804.0
10.05.2022,MI,36064,2444891,143688.0
09.05.2022,MI,36064,2444891,143517.0
08.05.2022,MI,36064,2444891,143405.0
07.05.2022,MI,36064,2444891,143306.0
06.05.2022,MI,36064,2444891,143180.0
05.05.2022,MI,36064,2444891,143052.0
04.05.2022,MI,36064,2444891,142959.0
03.05.2022,MI,36002,2425946,142839.0
02.05.2022,MI,36002,2425946,142721.0
01.05.2022,MI,36002,2425946,142643.0
30.04.2022,MI,36002,2425946,142563.0
29.04.2022,MI,36002,2425946,142469.0
28.04.2022,MI,36002,2425946,142377.0
27.04.2022,MI,36002,2425946,142278.0
26.04.2022,MI,35935,2411464,142197.0
25.04.2022,MI,35935,2411464,142101.0
24.04.2022,MI,35935,2411464,142001.0
23.04.2022,MI,35935,2411464,141918.0
22.04.2022,MI,35935,2411464,141827.0
21.04.2022,MI,35935,2411464,141750.0
20.04.2022,MI,35935,2411464,141684.0
19.04.2022,MI,35857,2400990,141610.0
18.04.2022,MI,35857,2400990,141559.0
17.04.2022,MI,35857,2400990,141492.0
16.04.2022,MI,35857,2400990,141437.0
15.04.2022,MI,35857,2400990,141375.0
14.04.2022,MI,35857,2400990,141303.0
13.04.2022,MI,35857,2400990,141238.0
12.04.2022,MI,35776,2393265,141181.0
11.04.2022,MI,35776,2393265,141118.0
10.04.2022,MI,35776,2393265,141068.0
09.04.2022,MI,35776,2393265,141015.0
08.04.2022,MI,35776,2393265,140964.0
07.04.2022,MI,35776,2393265,140914.0
06.04.2022,MI,35776,2393265,140857.0
05.04.2022,MI,35706,2389506,140803.0
04.04.2022,MI,35706,2389506,140750.0
03.04.2022,MI,35706,2389506,140707.0
02.04.2022,MI,35706,2389506,140658.0
01.04.2022,MI,35706,2389506,140608.0
31.03.2022,MI,35662,2387521,140562.0
30.03.2022,MI,35662,2387521,140510.0
29.03.2022,MI,35578,2385536,140465.0
28.03.2022,MI,35578,2385536,140422.0
27.03.2022,MI,35572,2384088,140378.0
26.03.2022,MI,35572,2384088,140340.0
25.03.2022,MI,35572,2384088,140279.0
24.03.2022,MI,35533,2382197,140228.0
23.03.2022,MI,35533,2382197,140164.0
22.03.2022,MI,35425,2380155,140109.0
21.03.2022,MI,35425,2380155,140051.0
20.03.2022,MI,35418,2378439,140004.0
19.03.2022,MI,35418,2378439,139949.0
18.03.2022,MI,35418,2378439,139884.0
17.03.2022,MI,35353,2375430,139825.0
16.03.2022,MI,35353,2375430,139762.0
15.03.2022,MI,35210,2373336,139686.0
14.03.2022,MI,35210,2373336,139622.0
13.03.2022,MI,35188,2371788,139576.0
12.03.2022,MI,35188,2371788,139528.0
11.03.2022,MI,35188,2371788,139445.0
10.03.2022,MI,35135,2369853,139374.0
09.03.2022,MI,35135,2369853,139290.0
08.03.2022,MI,34858,2367688,139209.0
07.03.2022,MI,34858,2367688,139101.0
06.03.2022,MI,34841,2365827,139028.0
05.03.2022,MI,34841,2365827,138951.0
04.03.2022,MI,34841,2365827,138859.0
03.03.2022,MI,34766,2363519,138751.0
02.03.2022,MI,34766,2363519,138630.0
01.03.2022,MI,34505,2360399,138503.0
28.02.2022,MI,34505,2360399,138386.0
27.02.2022,MI,34477,2357955,138304.0
26.02.2022,MI,34477,2357955,138213.0
25.02.2022,MI,34477,2357955,138094.0
24.02.2022,MI,34370,2350468,137960.0
23.02.2022,MI,34370,2350468,137841.0
22.02.2022,MI,33998,2343162,137675.0
21.02.2022,MI,33998,2343162,137500.0
20.02.2022,MI,33998,2343162,137364.0
19.02.2022,MI,33998,2343162,137217.0
18.02.2022,MI,33998,2343162,137058.0
17.02.2022,MI,33870,2337406,136884.0
16.02.2022,MI,33870,2337406,136668.0
15.02.2022,MI,33518,2331102,136448.0
14.02.2022,MI,33518,2331102,136251.0
13.02.2022,MI,33463,2324854,136082.0
12.02.2022,MI,33463,2324854,135902.0
11.02.2022,MI,33463,2324854,135665.0
10.02.2022,MI,33286,2316871,135390.0
09.02.2022,MI,33286,2316871,135108.0
08.02.2022,MI,32911,2306153,134804.0
07.02.2022,MI,32911,2306153,134543.0
06.02.2022,MI,32873,2295050,134313.0
05.02.2022,MI,32873,2295050,134082.0
04.02.2022,MI,32873,2295050,133808.0
03.02.2022,MI,32638,2283010,133528.0
02.02.2022,MI,32638,2283010,133221.0
01.02.2022,MI,32263,2258465,132860.0
31.01.2022,MI,32263,2258465,132482.0
30.01.2022,MI,32197,2235180,132206.0
29.01.2022,MI,32197,2235180,131893.0
28.01.2022,MI,32197,2235180,131532.0
27.01.2022,MI,31985,2203646,131129.0
26.01.2022,MI,31985,2203646,130715.0
25.01.2022,MI,31539,2168367,130287.0
24.01.2022,MI,31539,2168367,129839.0
23.01.2022,MI,31502,2124225,129455.0
22.01.2022,MI,31502,2124225,129068.0
21.01.2022,MI,31502,2124225,128643.0
20.01.2022,MI,31275,2082983,128130.0
19.01.2022,MI,31275,2082983,127618.0
18.01.2022,MI,30709,1984056,127092.0
17.01.2022,MI,30709,1984056,126529.0
16.01.2022,MI,30709,1984056,126069.0
15.01.2022,MI,30709,1984056,125649.0
14.01.2022,MI,30709,1984056,125112.0
13.01.2022,MI,30412,1940708,124525.0
12.01.2022,MI,30412,1940708,123935.0
11.01.2022,MI,30014,1904949,123364.0
10.01.2022,MI,30014,1904949,122843.0
09.01.2022,MI,29955,1855658,122359.0
08.01.2022,MI,29955,1855658,121847.0
07.01.2022,MI,29955,1855658,121268.0
06.01.2022,MI,29659,1808738,120665.0
05.01.2022,MI,29659,1808738,120103.0
04.01.2022,MI,29342,1775868,119532.0
03.01.2022,MI,29342,1775868,118983.0
02.01.2022,MI,29019,1710277,118555.0
01.01.2022,MI,29019,1710277,118087.0
31.12.2021,MI,29019,1710277,117593.0
30.12.2021,MI,29019,1710277,117056.0
29.12.2021,MI,29019,1710277,116583.0
28.12.2021,MI,28645,1680996,116113.0
27.12.2021,MI,28645,1680996,115689.0
26.12.2021,MI,28345,1645578,115325.0
25.12.2021,MI,28345,1645578,114957.0
24.12.2021,MI,28345,1645578,114582.0
23.12.2021,MI,28345,1645578,114169.0
22.12.2021,MI,28345,1645578,113773.0
21.12.2021,MI,27901,1629362,113360.0
20.12.2021,MI,27901,1629362,112940.0
19.12.2021,MI,27739,1614141,112609.0
18.12.2021,MI,27739,1614141,112247.0
17.12.2021,MI,27739,1614141,111900.0
16.12.2021,MI,27459,1599679,111472.0
15.12.2021,MI,27459,1599679,111025.0
14.12.2021,MI,27080,1585297,110580.0
13.12.2021,MI,27080,1585297,110094.0
12.12.2021,MI,26914,1567578,109696.0
11.12.2021,MI,26914,1567578,109252.0
10.12.2021,MI,26914,1567578,108750.0
09.12.2021,MI,26648,1553790,108216.0
08.12.2021,MI,26648,1553790,107652.0
07.12.2021,MI,26239,1535147,107132.0
06.12.2021,MI,26239,1535147,106568.0
05.12.2021,MI,26108,1517325,106096.0
04.12.2021,MI,26108,1517325,105651.0
03.12.2021,MI,26108,1517325,105169.0
02.12.2021,MI,25798,1494953,104588.0
01.12.2021,MI,25798,1494953,104078.0
30.11.2021,MI,25399,1475053,103508.0
29.11.2021,MI,25399,1475053,102959.0
28.11.2021,MI,25244,1447230,102481.0
