date,state,death,positive,hospitalized
22.06.2022,MN,12756,1540417,56216.0
21.06.2022,MN,12749,1538845,56146.0
20.06.2022,MN,12744,1537314,56087.0
19.06.2022,MN,12744,1537314,56027.0
18.06.2022,MN,12744,1537314,55968.0
17.06.2022,MN,12744,1537314,55907.0
16.06.2022,MN,12740,1535427,55855.0
15.06.2022,MN,12731,1533884,55803.0
14.06.2022,MN,12723,1532528,55750.0
13.06.2022,MN,12718,1528694,55684.0
12.06.2022,MN,12713,1527145,55635.0
11.06.2022,MN,12713,1527145,55580.0
10.06.2022,MN,12713,1527145,55522.0
09.06.2022,MN,12701,1525118,55468.0
08.06.2022,MN,12692,1523307,55397.0
07.06.2022,MN,12682,1521933,55336.0
06.06.2022,MN,12674,1517876,55251.0
05.06.2022,MN,12664,1515724,55203.0
04.06.2022,MN,12664,1515724,55142.0
03.06.2022,MN,12664,1515724,55075.0
02.06.2022,MN,12649,1513760,55018.0
01.06.2022,MN,12638,1508948,54950.0
31.05.2022,MN,12633,1507168,54879.0
30.05.2022,MN,12628,1504982,54820.0
29.05.2022,MN,12628,1504982,54755.0
28.05.2022,MN,12628,1504982,54696.0
27.05.2022,MN,12628,1504982,54614.0
26.05.2022,MN,12619,1502718,54556.0
25.05.2022,MN,12610,1500556,54487.0
24.05.2022,MN,12601,1499038,54427.0
23.05.2022,MN,12596,1495009,54376.0
22.05.2022,MN,12587,1492863,54327.0
21.05.2022,MN,12587,1492863,54278.0
20.05.2022,MN,12587,1492863,54210.0
19.05.2022,MN,12584,1490445,54146.0
18.05.2022,MN,12575,1488325,54055.0
17.05.2022,MN,12569,1486208,53990.0
16.05.2022,MN,12563,1481627,53929.0
15.05.2022,MN,12559,1479047,53875.0
14.05.2022,MN,12559,1479047,53824.0
13.05.2022,MN,12559,1479047,53756.0
12.05.2022,MN,12547,1476133,53691.0
11.05.2022,MN,12536,1473521,53628.0
10.05.2022,MN,12534,1471731,53567.0
09.05.2022,MN,12529,1466615,53511.0
08.05.2022,MN,12525,1463955,53455.0
07.05.2022,MN,12525,1463955,53396.0
06.05.2022,MN,12525,1463955,53329.0
05.05.2022,MN,12521,1461622,53275.0
04.05.2022,MN,12515,1459345,53221.0
03.05.2022,MN,12512,1456778,53171.0
02.05.2022,MN,12511,1454278,53120.0
01.05.2022,MN,12508,1452547,53092.0
30.04.2022,MN,12508,1452547,53054.0
29.04.2022,MN,12508,1452547,53005.0
28.04.2022,MN,12503,1450575,52956.0
27.04.2022,MN,12499,1448939,52927.0
26.04.2022,MN,12494,1447575,52876.0
25.04.2022,MN,12493,1445017,52847.0
24.04.2022,MN,12492,1443859,52806.0
23.04.2022,MN,12492,1443859,52775.0
22.04.2022,MN,12492,1443859,52742.0
21.04.2022,MN,12482,1442396,52707.0
20.04.2022,MN,12479,1441279,52663.0
19.04.2022,MN,12472,1440303,52635.0
18.04.2022,MN,12468,1438566,52611.0
17.04.2022,MN,12464,1437638,52580.0
16.04.2022,MN,12464,1437638,52556.0
15.04.2022,MN,12464,1437638,52527.0
14.04.2022,MN,12458,1436766,52504.0
13.04.2022,MN,12454,1435914,52475.0
12.04.2022,MN,12449,1435232,52453.0
11.04.2022,MN,12447,1433898,52429.0
10.04.2022,MN,12440,1433225,52409.0
09.04.2022,MN,12440,1433225,52393.0
08.04.2022,MN,12440,1433225,52365.0
07.04.2022,MN,12434,1432617,52338.0
06.04.2022,MN,12429,1432002,52316.0
05.04.2022,MN,12419,1431643,52288.0
04.04.2022,MN,12415,1430556,52269.0
03.04.2022,MN,12410,1430089,52251.0
02.04.2022,MN,12410,1430089,52232.0
01.04.2022,MN,12410,1430089,52205.0
31.03.2022,MN,12408,1429550,52182.0
30.03.2022,MN,12401,1429051,52162.0
29.03.2022,MN,12390,1428704,52139.0
28.03.2022,MN,12382,1427734,52116.0
27.03.2022,MN,12369,1427270,52100.0
26.03.2022,MN,12369,1427270,52083.0
25.03.2022,MN,12369,1427270,52048.0
24.03.2022,MN,12362,1426787,52032.0
23.03.2022,MN,12342,1426326,52002.0
22.03.2022,MN,12340,1426056,51978.0
21.03.2022,MN,12328,1425032,51941.0
20.03.2022,MN,12321,1424613,51920.0
19.03.2022,MN,12321,1424613,51900.0
18.03.2022,MN,12321,1424613,51876.0
17.03.2022,MN,12312,1424107,51840.0
16.03.2022,MN,12302,1423683,51800.0
15.03.2022,MN,12289,1422815,51779.0
14.03.2022,MN,12280,1422344,51755.0
13.03.2022,MN,12264,1421869,51721.0
12.03.2022,MN,12264,1421869,51691.0
11.03.2022,MN,12264,1421869,51662.0
10.03.2022,MN,12255,1421312,51625.0
09.03.2022,MN,12238,1420720,51599.0
08.03.2022,MN,12221,1420149,51565.0
07.03.2022,MN,12201,1418694,51520.0
06.03.2022,MN,12183,1417811,51491.0
05.03.2022,MN,12183,1417811,51465.0
04.03.2022,MN,12183,1417811,51439.0
03.03.2022,MN,12172,1417015,51396.0
02.03.2022,MN,12152,1416191,51351.0
01.03.2022,MN,12131,1415652,51295.0
28.02.2022,MN,12109,1413576,51240.0
27.02.2022,MN,12081,1412497,51199.0
26.02.2022,MN,12081,1412497,51149.0
25.02.2022,MN,12081,1412497,51080.0
24.02.2022,MN,12066,1411593,51031.0
23.02.2022,MN,12019,1410583,50977.0
22.02.2022,MN,11993,1406654,50909.0
21.02.2022,MN,11961,1404662,50850.0
20.02.2022,MN,11961,1404662,50801.0
19.02.2022,MN,11961,1404662,50752.0
18.02.2022,MN,11961,1404662,50691.0
17.02.2022,MN,11930,1402439,50621.0
16.02.2022,MN,11903,1400624,50546.0
15.02.2022,MN,11862,1399164,50452.0
14.02.2022,MN,11830,1392731,50365.0
13.02.2022,MN,11797,1388401,50284.0
12.02.2022,MN,11797,1388401,50218.0
11.02.2022,MN,11797,1388401,50112.0
10.02.2022,MN,11761,1383555,50013.0
09.02.2022,MN,11722,1379102,49899.0
08.02.2022,MN,11682,1375279,49778.0
07.02.2022,MN,11634,1364884,49633.0
06.02.2022,MN,11599,1359058,49526.0
05.02.2022,MN,11599,1359058,49430.0
04.02.2022,MN,11599,1359058,49292.0
03.02.2022,MN,11561,1352448,49163.0
02.02.2022,MN,11516,1347000,49038.0
01.02.2022,MN,11457,1343090,48905.0
31.01.2022,MN,11411,1321753,48737.0
30.01.2022,MN,11382,1309665,48603.0
29.01.2022,MN,11382,1309665,48463.0
28.01.2022,MN,11382,1309665,48289.0
27.01.2022,MN,11339,1295117,48098.0
26.01.2022,MN,11282,1280500,47926.0
25.01.2022,MN,11230,1264935,47727.0
24.01.2022,MN,11193,1229444,47500.0
23.01.2022,MN,11151,1216734,47371.0
22.01.2022,MN,11151,1216734,47210.0
21.01.2022,MN,11151,1216734,47028.0
