date,state,death,positive,hospitalized
22.06.2022,MO,19993,1411721,99099.0
21.06.2022,MO,19993,1411721,98998.0
20.06.2022,MO,19993,1411721,98918.0
19.06.2022,MO,19993,1411721,98845.0
18.06.2022,MO,19993,1411721,98764.0
17.06.2022,MO,19993,1411721,98682.0
16.06.2022,MO,19993,1411721,98598.0
15.06.2022,MO,19993,1411721,98506.0
14.06.2022,MO,19993,1411721,98425.0
13.06.2022,MO,19993,1411721,98332.0
12.06.2022,MO,19993,1411721,98247.0
11.06.2022,MO,19993,1411721,98185.0
10.06.2022,MO,19993,1411721,98105.0
09.06.2022,MO,19993,1411721,98021.0
08.06.2022,MO,19993,1411721,97934.0
07.06.2022,MO,19993,1411721,97849.0
06.06.2022,MO,19993,1411721,97763.0
05.06.2022,MO,19993,1411721,97703.0
04.06.2022,MO,19993,1411721,97633.0
03.06.2022,MO,19993,1411721,97555.0
02.06.2022,MO,19993,1411721,97477.0
01.06.2022,MO,19993,1411721,97402.0
31.05.2022,MO,19993,1411721,97334.0
30.05.2022,MO,19993,1411721,97272.0
29.05.2022,MO,19993,1411721,97222.0
28.05.2022,MO,19993,1411721,97154.0
27.05.2022,MO,19993,1411721,97097.0
26.05.2022,MO,19993,1411721,97029.0
25.05.2022,MO,19993,1411721,96972.0
24.05.2022,MO,19993,1411721,96925.0
23.05.2022,MO,19993,1411721,96870.0
22.05.2022,MO,19993,1411721,96832.0
21.05.2022,MO,19993,1411721,96798.0
20.05.2022,MO,19993,1411721,96750.0
19.05.2022,MO,19993,1411721,96687.0
18.05.2022,MO,19993,1411721,96640.0
17.05.2022,MO,19993,1411721,96587.0
16.05.2022,MO,19993,1411721,96534.0
15.05.2022,MO,19993,1411721,96497.0
14.05.2022,MO,19993,1411721,96469.0
13.05.2022,MO,19993,1411721,96415.0
12.05.2022,MO,19993,1411721,96369.0
11.05.2022,MO,19993,1411721,96332.0
10.05.2022,MO,19993,1411721,96289.0
09.05.2022,MO,19993,1411721,96248.0
08.05.2022,MO,19993,1411721,96228.0
07.05.2022,MO,19993,1411721,96202.0
06.05.2022,MO,19993,1411721,96182.0
05.05.2022,MO,19993,1411721,96153.0
04.05.2022,MO,19993,1411721,96110.0
03.05.2022,MO,19993,1411721,96072.0
02.05.2022,MO,19993,1411721,96043.0
01.05.2022,MO,19993,1411721,96025.0
30.04.2022,MO,19993,1411721,96007.0
29.04.2022,MO,19993,1411721,95979.0
28.04.2022,MO,19993,1411721,95946.0
27.04.2022,MO,19993,1411721,95921.0
26.04.2022,MO,19993,1411721,95897.0
25.04.2022,MO,19993,1411721,95868.0
24.04.2022,MO,19993,1411721,95857.0
23.04.2022,MO,19993,1411721,95831.0
22.04.2022,MO,19993,1411721,95798.0
21.04.2022,MO,19993,1411721,95774.0
20.04.2022,MO,19993,1411721,95745.0
19.04.2022,MO,19993,1411721,95714.0
18.04.2022,MO,19993,1411721,95685.0
17.04.2022,MO,19993,1411721,95663.0
16.04.2022,MO,19993,1411721,95643.0
15.04.2022,MO,19993,1411721,95616.0
14.04.2022,MO,19993,1411721,95594.0
13.04.2022,MO,19993,1411721,95579.0
12.04.2022,MO,19993,1411721,95559.0
11.04.2022,MO,19993,1411721,95535.0
10.04.2022,MO,19993,1411721,95514.0
09.04.2022,MO,19993,1411721,95500.0
08.04.2022,MO,19993,1411721,95489.0
07.04.2022,MO,19993,1411721,95464.0
06.04.2022,MO,19993,1411721,95430.0
05.04.2022,MO,19993,1411721,95411.0
04.04.2022,MO,19993,1411721,95383.0
03.04.2022,MO,19993,1411721,95355.0
02.04.2022,MO,19993,1411721,95333.0
01.04.2022,MO,19993,1411721,95309.0
31.03.2022,MO,19993,1411721,95279.0
30.03.2022,MO,19990,1411136,95252.0
29.03.2022,MO,19986,1410529,95213.0
28.03.2022,MO,19879,1410103,95188.0
27.03.2022,MO,19874,1409252,95161.0
26.03.2022,MO,19874,1409252,95135.0
25.03.2022,MO,19874,1409252,95101.0
24.03.2022,MO,19871,1408772,95065.0
23.03.2022,MO,19869,1408187,95026.0
22.03.2022,MO,19864,1407795,94977.0
21.03.2022,MO,19741,1407213,94940.0
20.03.2022,MO,19736,1406560,94915.0
19.03.2022,MO,19736,1406560,94878.0
18.03.2022,MO,19736,1406560,94850.0
17.03.2022,MO,19734,1405881,94807.0
16.03.2022,MO,19731,1405420,94765.0
15.03.2022,MO,19726,1404910,94716.0
14.03.2022,MO,19363,1404323,94674.0
13.03.2022,MO,19355,1403268,94642.0
12.03.2022,MO,19355,1403268,94592.0
11.03.2022,MO,19355,1403268,94542.0
10.03.2022,MO,19347,1402801,94465.0
09.03.2022,MO,19344,1402202,94401.0
08.03.2022,MO,19337,1401636,94333.0
07.03.2022,MO,19088,1400761,94273.0
06.03.2022,MO,19089,1399719,94229.0
05.03.2022,MO,19089,1399719,94169.0
04.03.2022,MO,19089,1399719,94095.0
03.03.2022,MO,19088,1398985,94008.0
02.03.2022,MO,19083,1398191,93927.0
01.03.2022,MO,19069,1397482,93831.0
28.02.2022,MO,18858,1396745,93757.0
27.02.2022,MO,18846,1395127,93677.0
26.02.2022,MO,18846,1395127,93618.0
25.02.2022,MO,18846,1395127,93514.0
24.02.2022,MO,18835,1394010,93415.0
23.02.2022,MO,18382,1392739,93284.0
22.02.2022,MO,18363,1391492,93147.0
21.02.2022,MO,18351,1387860,93015.0
20.02.2022,MO,18351,1387860,92915.0
19.02.2022,MO,18351,1387860,92803.0
18.02.2022,MO,18351,1387860,92663.0
17.02.2022,MO,18340,1386905,92533.0
16.02.2022,MO,18332,1385030,92343.0
15.02.2022,MO,18324,1383007,92168.0
14.02.2022,MO,18010,1381185,91993.0
13.02.2022,MO,17987,1373439,91854.0
12.02.2022,MO,17987,1373439,91695.0
11.02.2022,MO,17987,1373439,91479.0
10.02.2022,MO,17987,1373435,91288.0
09.02.2022,MO,17971,1366896,91065.0
08.02.2022,MO,17950,1362253,90838.0
07.02.2022,MO,17603,1359081,90559.0
06.02.2022,MO,17581,1349053,90297.0
05.02.2022,MO,17581,1349053,90058.0
04.02.2022,MO,17581,1349053,89773.0
03.02.2022,MO,17581,1349053,89546.0
02.02.2022,MO,17576,1344599,89279.0
01.02.2022,MO,17508,1335044,88947.0
31.01.2022,MO,17124,1329935,88581.0
30.01.2022,MO,17111,1314435,88270.0
29.01.2022,MO,17111,1314435,87980.0
28.01.2022,MO,17111,1314435,87637.0
27.01.2022,MO,17102,1305329,87265.0
26.01.2022,MO,17092,1295240,86868.0
25.01.2022,MO,17070,1285040,86467.0
24.01.2022,MO,17038,1275650,85974.0
23.01.2022,MO,17021,1251055,85632.0
22.01.2022,MO,17021,1251055,85313.0
21.01.2022,MO,17021,1251055,84928.0
20.01.2022,MO,16775,1236613,84507.0
19.01.2022,MO,16768,1220014,84050.0
18.01.2022,MO,16617,1205772,83601.0
17.01.2022,MO,16614,1181516,83165.0
16.01.2022,MO,16609,1161362,82818.0
15.01.2022,MO,16609,1161362,82481.0
14.01.2022,MO,16609,1161362,82020.0
13.01.2022,MO,16587,1151458,81623.0
12.01.2022,MO,16576,1135862,81170.0
11.01.2022,MO,16564,1122727,80747.0
10.01.2022,MO,16342,1109153,80360.0
09.01.2022,MO,16330,1080412,80045.0
08.01.2022,MO,16330,1080412,79714.0
07.01.2022,MO,16330,1080412,79354.0
06.01.2022,MO,16318,1067433,78964.0
05.01.2022,MO,16300,1054485,78576.0
04.01.2022,MO,16086,1034605,78199.0
03.01.2022,MO,16086,1034605,77852.0
02.01.2022,MO,16074,1006913,77554.0
01.01.2022,MO,16074,1006913,77315.0
