date,state,death,positive,hospitalized
22.06.2022,MT,3440,283054,24179.0
21.06.2022,MT,3440,283054,24156.0
20.06.2022,MT,3440,283054,24125.0
19.06.2022,MT,3440,283054,24099.0
18.06.2022,MT,3440,283054,24081.0
17.06.2022,MT,3440,283054,24055.0
16.06.2022,MT,3434,280965,24024.0
15.06.2022,MT,3434,280965,24003.0
14.06.2022,MT,3434,280965,23991.0
13.06.2022,MT,3434,280965,23966.0
12.06.2022,MT,3434,280965,23943.0
11.06.2022,MT,3434,280965,23929.0
10.06.2022,MT,3434,280965,23902.0
09.06.2022,MT,3423,278993,23879.0
08.06.2022,MT,3423,278993,23865.0
07.06.2022,MT,3423,278993,23840.0
06.06.2022,MT,3423,278993,23804.0
05.06.2022,MT,3423,278993,23784.0
04.06.2022,MT,3423,278993,23765.0
03.06.2022,MT,3423,278993,23753.0
02.06.2022,MT,3400,277497,23736.0
01.06.2022,MT,3400,277497,23714.0
31.05.2022,MT,3400,277497,23693.0
30.05.2022,MT,3400,277497,23680.0
29.05.2022,MT,3400,277497,23668.0
28.05.2022,MT,3400,277497,23653.0
27.05.2022,MT,3400,277497,23633.0
26.05.2022,MT,3385,276192,23612.0
25.05.2022,MT,3385,276192,23604.0
24.05.2022,MT,3385,276192,23583.0
23.05.2022,MT,3385,276192,23566.0
22.05.2022,MT,3385,276192,23552.0
21.05.2022,MT,3385,276192,23544.0
20.05.2022,MT,3385,276192,23529.0
19.05.2022,MT,3381,275113,23513.0
18.05.2022,MT,3381,275113,23505.0
17.05.2022,MT,3381,275113,23499.0
16.05.2022,MT,3381,275113,23488.0
15.05.2022,MT,3381,275113,23475.0
14.05.2022,MT,3381,275113,23465.0
13.05.2022,MT,3381,275113,23458.0
12.05.2022,MT,3378,274598,23452.0
11.05.2022,MT,3378,274598,23447.0
10.05.2022,MT,3378,274598,23441.0
09.05.2022,MT,3378,274598,23428.0
08.05.2022,MT,3378,274598,23421.0
07.05.2022,MT,3378,274598,23416.0
06.05.2022,MT,3378,274598,23411.0
05.05.2022,MT,3374,274481,23400.0
04.05.2022,MT,3375,274388,23394.0
03.05.2022,MT,3375,274265,23385.0
02.05.2022,MT,3373,274134,23371.0
01.05.2022,MT,3360,273982,23367.0
30.04.2022,MT,3360,273982,23361.0
29.04.2022,MT,3360,273982,23355.0
28.04.2022,MT,3356,273904,23352.0
27.04.2022,MT,3354,273788,23347.0
26.04.2022,MT,3322,273680,23343.0
25.04.2022,MT,3300,273569,23336.0
24.04.2022,MT,3262,273489,23334.0
23.04.2022,MT,3262,273489,23329.0
22.04.2022,MT,3262,273489,23324.0
