date,state,death,positive,hospitalized
22.06.2022,NE,4330,495896,23342.0
21.06.2022,NE,4330,495896,23317.0
20.06.2022,NE,4330,495361,23294.0
19.06.2022,NE,4330,494348,23270.0
18.06.2022,NE,4330,494348,23247.0
17.06.2022,NE,4330,494348,23223.0
16.06.2022,NE,4330,494031,23197.0
15.06.2022,NE,4330,493553,23177.0
14.06.2022,NE,4329,492873,23159.0
13.06.2022,NE,4329,492292,23145.0
12.06.2022,NE,4323,491350,23127.0
11.06.2022,NE,4323,491350,23115.0
10.06.2022,NE,4323,491350,23097.0
09.06.2022,NE,4326,490929,23083.0
08.06.2022,NE,4326,490929,23073.0
07.06.2022,NE,4315,490486,23061.0
06.06.2022,NE,4306,489990,23040.0
05.06.2022,NE,4294,488110,23019.0
04.06.2022,NE,4294,488110,22998.0
03.06.2022,NE,4294,488110,22985.0
02.06.2022,NE,4294,488110,22961.0
01.06.2022,NE,4294,488110,22941.0
31.05.2022,NE,4290,487599,22916.0
30.05.2022,NE,4288,487104,22898.0
29.05.2022,NE,4284,485756,22882.0
28.05.2022,NE,4284,485756,22869.0
27.05.2022,NE,4284,485756,22853.0
26.05.2022,NE,4284,485756,22836.0
25.05.2022,NE,4284,485756,22824.0
24.05.2022,NE,4275,485377,22815.0
23.05.2022,NE,4240,484085,22807.0
22.05.2022,NE,4240,484085,22791.0
21.05.2022,NE,4240,484085,22781.0
20.05.2022,NE,4240,484085,22768.0
19.05.2022,NE,4240,484085,22760.0
18.05.2022,NE,4240,483783,22745.0
17.05.2022,NE,4240,483475,22733.0
16.05.2022,NE,4240,483133,22717.0
15.05.2022,NE,4234,482305,22710.0
14.05.2022,NE,4234,482305,22700.0
13.05.2022,NE,4234,482305,22690.0
12.05.2022,NE,4234,482305,22680.0
11.05.2022,NE,4231,482035,22670.0
10.05.2022,NE,4229,481725,22661.0
09.05.2022,NE,4216,480805,22652.0
08.05.2022,NE,4216,480805,22646.0
07.05.2022,NE,4216,480805,22642.0
06.05.2022,NE,4216,480805,22637.0
05.05.2022,NE,4216,480805,22632.0
