date,state,death,positive,hospitalized
22.06.2022,NV,10967,751504,53886.0
21.06.2022,NV,10967,751504,53828.0
20.06.2022,NV,10967,751504,53767.0
19.06.2022,NV,10967,751504,53708.0
18.06.2022,NV,10967,751504,53655.0
17.06.2022,NV,10967,751504,53609.0
16.06.2022,NV,10967,751504,53551.0
15.06.2022,NV,10967,751504,53492.0
14.06.2022,NV,10935,742375,53443.0
13.06.2022,NV,10935,742375,53383.0
12.06.2022,NV,10935,742375,53328.0
11.06.2022,NV,10935,742375,53285.0
10.06.2022,NV,10935,742375,53236.0
09.06.2022,NV,10935,742375,53176.0
08.06.2022,NV,10935,742375,53119.0
07.06.2022,NV,10896,735631,53059.0
06.06.2022,NV,10896,735631,53009.0
05.06.2022,NV,10896,735631,52968.0
04.06.2022,NV,10896,735631,52940.0
03.06.2022,NV,10896,735631,52903.0
02.06.2022,NV,10896,735631,52855.0
01.06.2022,NV,10896,735631,52794.0
31.05.2022,NV,10872,728449,52741.0
30.05.2022,NV,10872,728449,52688.0
29.05.2022,NV,10872,728449,52647.0
28.05.2022,NV,10872,728449,52613.0
27.05.2022,NV,10872,728449,52579.0
26.05.2022,NV,10872,728449,52539.0
25.05.2022,NV,10872,728449,52506.0
24.05.2022,NV,10824,722262,52467.0
23.05.2022,NV,10824,722262,52439.0
22.05.2022,NV,10824,722262,52405.0
21.05.2022,NV,10824,722262,52379.0
20.05.2022,NV,10824,722262,52347.0
19.05.2022,NV,10824,722262,52320.0
18.05.2022,NV,10824,722262,52290.0
17.05.2022,NV,10798,717898,52263.0
16.05.2022,NV,10798,717898,52239.0
15.05.2022,NV,10798,717898,52210.0
14.05.2022,NV,10798,717898,52188.0
13.05.2022,NV,10798,717898,52163.0
12.05.2022,NV,10798,717898,52135.0
11.05.2022,NV,10798,717898,52113.0
10.05.2022,NV,10752,712287,52091.0
09.05.2022,NV,10752,712287,52072.0
08.05.2022,NV,10752,712287,52052.0
07.05.2022,NV,10752,712287,52037.0
06.05.2022,NV,10752,712287,52012.0
05.05.2022,NV,10752,712287,51992.0
04.05.2022,NV,10752,712287,51963.0
03.05.2022,NV,10752,712287,51949.0
02.05.2022,NV,10752,712287,51924.0
01.05.2022,NV,10752,712287,51903.0
30.04.2022,NV,10752,712287,51885.0
29.04.2022,NV,10752,712287,51877.0
28.04.2022,NV,10752,712287,51863.0
27.04.2022,NV,10752,712287,51847.0
26.04.2022,NV,10684,710350,51829.0
25.04.2022,NV,10684,710350,51818.0
24.04.2022,NV,10684,710350,51812.0
23.04.2022,NV,10684,710350,51802.0
22.04.2022,NV,10684,710350,51788.0
21.04.2022,NV,10684,710350,51773.0
20.04.2022,NV,10684,710350,51759.0
19.04.2022,NV,10501,709120,51745.0
18.04.2022,NV,10501,709120,51737.0
17.04.2022,NV,10501,709120,51731.0
16.04.2022,NV,10501,709120,51716.0
15.04.2022,NV,10501,709120,51709.0
14.04.2022,NV,10501,709120,51694.0
13.04.2022,NV,10501,709120,51682.0
12.04.2022,NV,10136,707980,51671.0
11.04.2022,NV,10136,707980,51657.0
10.04.2022,NV,10136,707980,51647.0
09.04.2022,NV,10136,707980,51638.0
08.04.2022,NV,10136,707980,51629.0
07.04.2022,NV,10136,707980,51618.0
06.04.2022,NV,10136,707980,51603.0
05.04.2022,NV,10091,706772,51592.0
04.04.2022,NV,10091,706772,51585.0
03.04.2022,NV,10091,706772,51572.0
02.04.2022,NV,10091,706772,51561.0
01.04.2022,NV,10091,706772,51546.0
31.03.2022,NV,10091,706772,51538.0
30.03.2022,NV,10091,706772,51522.0
29.03.2022,NV,10031,705614,51506.0
28.03.2022,NV,10031,705614,51483.0
27.03.2022,NV,10031,705614,51472.0
26.03.2022,NV,10031,705614,51457.0
25.03.2022,NV,10031,705614,51443.0
24.03.2022,NV,10031,705614,51428.0
23.03.2022,NV,10031,705614,51408.0
22.03.2022,NV,9949,704466,51387.0
21.03.2022,NV,9949,704466,51372.0
20.03.2022,NV,9949,704466,51354.0
