date,state,death,positive,hospitalized
22.06.2022,NH,2572,330481,13043.0
21.06.2022,NH,2572,330285,13030.0
20.06.2022,NH,2570,330116,13018.0
19.06.2022,NH,2570,329684,13006.0
18.06.2022,NH,2570,329684,12990.0
17.06.2022,NH,2570,329684,12981.0
16.06.2022,NH,2568,329492,12966.0
15.06.2022,NH,2565,329230,12948.0
14.06.2022,NH,2564,329008,12933.0
13.06.2022,NH,2564,328834,12916.0
12.06.2022,NH,2562,328318,12903.0
11.06.2022,NH,2562,328318,12878.0
10.06.2022,NH,2562,328318,12865.0
09.06.2022,NH,2555,328064,12851.0
08.06.2022,NH,2555,327814,12837.0
07.06.2022,NH,2555,327592,12822.0
06.06.2022,NH,2547,326888,12799.0
05.06.2022,NH,2543,326610,12787.0
04.06.2022,NH,2543,326610,12774.0
03.06.2022,NH,2543,326610,12763.0
02.06.2022,NH,2542,326295,12746.0
01.06.2022,NH,2539,325833,12727.0
31.05.2022,NH,2537,325569,12706.0
30.05.2022,NH,2534,324373,12694.0
29.05.2022,NH,2534,324373,12680.0
28.05.2022,NH,2534,324373,12669.0
27.05.2022,NH,2534,324373,12660.0
26.05.2022,NH,2531,323897,12639.0
25.05.2022,NH,2528,323326,12613.0
24.05.2022,NH,2526,322904,12598.0
23.05.2022,NH,2524,322511,12567.0
22.05.2022,NH,2520,321042,12534.0
21.05.2022,NH,2520,321042,12507.0
20.05.2022,NH,2520,321042,12491.0
19.05.2022,NH,2516,320445,12467.0
18.05.2022,NH,2515,319827,12444.0
17.05.2022,NH,2515,319179,12417.0
16.05.2022,NH,2504,316691,12394.0
15.05.2022,NH,2502,316691,12364.0
14.05.2022,NH,2502,316691,12347.0
13.05.2022,NH,2502,316691,12319.0
12.05.2022,NH,2501,316127,12297.0
11.05.2022,NH,2494,315447,12275.0
10.05.2022,NH,2494,314860,12252.0
09.05.2022,NH,2489,314533,12240.0
08.05.2022,NH,2489,313288,12225.0
07.05.2022,NH,2489,313288,12213.0
06.05.2022,NH,2489,313288,12196.0
05.05.2022,NH,2489,312679,12181.0
04.05.2022,NH,2488,312161,12165.0
03.05.2022,NH,2488,311625,12150.0
02.05.2022,NH,2483,311144,12126.0
01.05.2022,NH,2481,309982,12117.0
30.04.2022,NH,2481,309982,12106.0
29.04.2022,NH,2481,309982,12099.0
28.04.2022,NH,2481,309552,12083.0
27.04.2022,NH,2480,309193,12065.0
26.04.2022,NH,2479,308653,12049.0
25.04.2022,NH,2477,308446,12037.0
24.04.2022,NH,2477,307528,12028.0
23.04.2022,NH,2477,307528,12019.0
22.04.2022,NH,2477,307528,12004.0
21.04.2022,NH,2474,307103,11995.0
20.04.2022,NH,2474,306724,11982.0
19.04.2022,NH,2473,306369,11971.0
18.04.2022,NH,2467,306193,11954.0
17.04.2022,NH,2466,305411,11943.0
16.04.2022,NH,2466,305411,11934.0
15.04.2022,NH,2466,305411,11926.0
14.04.2022,NH,2465,305119,11914.0
13.04.2022,NH,2465,304793,11898.0
12.04.2022,NH,2463,304503,11881.0
11.04.2022,NH,2461,304365,11871.0
10.04.2022,NH,2460,303755,11859.0
09.04.2022,NH,2460,303755,11851.0
08.04.2022,NH,2460,303755,11842.0
07.04.2022,NH,2457,303472,11831.0
06.04.2022,NH,2457,303268,11822.0
05.04.2022,NH,2455,303134,11814.0
04.04.2022,NH,2452,303010,11806.0
03.04.2022,NH,2452,302678,11798.0
02.04.2022,NH,2452,302678,11791.0
01.04.2022,NH,2452,302678,11781.0
31.03.2022,NH,2452,302541,11778.0
30.03.2022,NH,2452,302383,11773.0
29.03.2022,NH,2451,302253,11762.0
28.03.2022,NH,2447,302181,11754.0
27.03.2022,NH,2445,301777,11751.0
26.03.2022,NH,2445,301777,11746.0
25.03.2022,NH,2445,301777,11744.0
24.03.2022,NH,2445,301687,11743.0
23.03.2022,NH,2443,301534,11737.0
22.03.2022,NH,2442,301385,11728.0
21.03.2022,NH,2436,301308,11724.0
20.03.2022,NH,2434,300941,11718.0
19.03.2022,NH,2434,300941,11712.0
18.03.2022,NH,2434,300941,11705.0
17.03.2022,NH,2431,300799,11698.0
16.03.2022,NH,2428,300692,11693.0
15.03.2022,NH,2424,300550,11677.0
14.03.2022,NH,2417,300511,11665.0
13.03.2022,NH,2415,300185,11659.0
12.03.2022,NH,2415,300185,11651.0
11.03.2022,NH,2415,300185,11646.0
10.03.2022,NH,2414,299999,11633.0
09.03.2022,NH,2408,299873,11626.0
08.03.2022,NH,2408,299749,11619.0
07.03.2022,NH,2403,299651,11607.0
06.03.2022,NH,2402,299213,11598.0
05.03.2022,NH,2402,299213,11590.0
04.03.2022,NH,2402,299213,11581.0
03.03.2022,NH,2398,298993,11577.0
02.03.2022,NH,2396,298808,11565.0
01.03.2022,NH,2387,298626,11550.0
28.02.2022,NH,2377,298362,11543.0
27.02.2022,NH,2373,297729,11536.0
26.02.2022,NH,2373,297729,11521.0
25.02.2022,NH,2373,297729,11510.0
24.02.2022,NH,2370,296870,11495.0
23.02.2022,NH,2368,295701,11484.0
22.02.2022,NH,2333,293697,11464.0
21.02.2022,NH,2333,293697,11446.0
20.02.2022,NH,2333,293697,11436.0
19.02.2022,NH,2333,293697,11422.0
18.02.2022,NH,2333,293697,11409.0
17.02.2022,NH,2326,292187,11390.0
16.02.2022,NH,2326,291540,11371.0
15.02.2022,NH,2316,291083,11353.0
14.02.2022,NH,2294,288191,11332.0
13.02.2022,NH,2294,288191,11314.0
12.02.2022,NH,2294,288191,11280.0
11.02.2022,NH,2294,288191,11252.0
10.02.2022,NH,2288,287020,11219.0
09.02.2022,NH,2284,285863,11184.0
08.02.2022,NH,2270,284567,11159.0
07.02.2022,NH,2260,284180,11123.0
06.02.2022,NH,2246,281300,11109.0
05.02.2022,NH,2246,281300,11068.0
04.02.2022,NH,2246,281300,11031.0
03.02.2022,NH,2239,279842,10997.0
02.02.2022,NH,2232,278691,10963.0
01.02.2022,NH,2223,277355,10929.0
31.01.2022,NH,2209,276856,10878.0
30.01.2022,NH,2205,272492,10839.0
29.01.2022,NH,2205,272492,10808.0
28.01.2022,NH,2205,272492,10760.0
27.01.2022,NH,2193,270063,10723.0
26.01.2022,NH,2173,267800,10675.0
25.01.2022,NH,2170,266000,10628.0
24.01.2022,NH,2145,265140,10572.0
23.01.2022,NH,2135,257793,10519.0
22.01.2022,NH,2135,257793,10451.0
21.01.2022,NH,2135,257793,10396.0
20.01.2022,NH,2123,254715,10336.0
19.01.2022,NH,2109,251441,10276.0
18.01.2022,NH,2085,250581,10219.0
17.01.2022,NH,2079,235898,10154.0
16.01.2022,NH,2079,235898,10103.0
