date,state,death,positive,hospitalized
22.06.2022,NJ,33966,2464207,123393.0
21.06.2022,NJ,33949,2460655,123292.0
20.06.2022,NJ,33939,2457797,123188.0
19.06.2022,NJ,33929,2456359,123100.0
18.06.2022,NJ,33926,2453982,122985.0
17.06.2022,NJ,33920,2451377,122869.0
16.06.2022,NJ,33912,2447904,122753.0
15.06.2022,NJ,33896,2444707,122631.0
14.06.2022,NJ,33879,2441637,122500.0
13.06.2022,NJ,33859,2438510,122351.0
12.06.2022,NJ,33852,2437531,122257.0
11.06.2022,NJ,33851,2435303,122160.0
10.06.2022,NJ,33831,2432023,122031.0
09.06.2022,NJ,33821,2428347,121899.0
08.06.2022,NJ,33811,2424606,121765.0
07.06.2022,NJ,33792,2421092,121639.0
06.06.2022,NJ,33773,2417401,121495.0
05.06.2022,NJ,33764,2415000,121381.0
04.06.2022,NJ,33760,2412005,121244.0
03.06.2022,NJ,33755,2407649,121084.0
02.06.2022,NJ,33742,2402892,120957.0
01.06.2022,NJ,33727,2398157,120802.0
31.05.2022,NJ,33702,2394595,120633.0
30.05.2022,NJ,33696,2392171,120506.0
29.05.2022,NJ,33693,2385951,120397.0
28.05.2022,NJ,33693,2385951,120290.0
27.05.2022,NJ,33678,2381173,120112.0
26.05.2022,NJ,33665,2375979,119966.0
25.05.2022,NJ,33651,2370508,119828.0
24.05.2022,NJ,33640,2365656,119672.0
23.05.2022,NJ,33619,2359532,119530.0
22.05.2022,NJ,33610,2356577,119396.0
21.05.2022,NJ,33610,2352650,119272.0
20.05.2022,NJ,33603,2347382,119138.0
19.05.2022,NJ,33595,2341250,118978.0
18.05.2022,NJ,33586,2335255,118851.0
17.05.2022,NJ,33571,2330144,118726.0
16.05.2022,NJ,33553,2325525,118570.0
15.05.2022,NJ,33545,2322204,118477.0
14.05.2022,NJ,33543,2318229,118348.0
13.05.2022,NJ,33537,2313062,118206.0
12.05.2022,NJ,33529,2306574,118084.0
11.05.2022,NJ,33517,2300407,117953.0
10.05.2022,NJ,33503,2295482,117837.0
09.05.2022,NJ,33495,2291089,117707.0
08.05.2022,NJ,33488,2288950,117624.0
07.05.2022,NJ,33487,2285641,117544.0
06.05.2022,NJ,33482,2281655,117440.0
05.05.2022,NJ,33474,2277389,117341.0
04.05.2022,NJ,33467,2273050,117235.0
03.05.2022,NJ,33455,2269649,117115.0
02.05.2022,NJ,33444,2267006,117012.0
01.05.2022,NJ,33430,2263991,116939.0
30.04.2022,NJ,33429,2261694,116868.0
29.04.2022,NJ,33425,2258440,116795.0
28.04.2022,NJ,33423,2255205,116718.0
27.04.2022,NJ,33416,2252044,116651.0
26.04.2022,NJ,33407,2248959,116560.0
25.04.2022,NJ,33395,2246233,116473.0
24.04.2022,NJ,33376,2244918,116423.0
23.04.2022,NJ,33374,2243233,116363.0
22.04.2022,NJ,33371,2240701,116283.0
21.04.2022,NJ,33363,2237831,116200.0
20.04.2022,NJ,33356,2235034,116130.0
19.04.2022,NJ,33349,2232789,116059.0
18.04.2022,NJ,33343,2230972,115999.0
17.04.2022,NJ,33336,2229976,115966.0
16.04.2022,NJ,33337,2228327,115910.0
15.04.2022,NJ,33334,2226164,115851.0
14.04.2022,NJ,33322,2223788,115794.0
13.04.2022,NJ,33315,2221058,115723.0
12.04.2022,NJ,33308,2218786,115671.0
11.04.2022,NJ,33308,2216804,115625.0
10.04.2022,NJ,33298,2215685,115573.0
09.04.2022,NJ,33298,2213874,115533.0
08.04.2022,NJ,33294,2212245,115486.0
07.04.2022,NJ,33289,2210227,115434.0
06.04.2022,NJ,33278,2208118,115373.0
05.04.2022,NJ,33264,2206255,115327.0
04.04.2022,NJ,33259,2204645,115268.0
03.04.2022,NJ,33245,2202817,115237.0
02.04.2022,NJ,33245,2202817,115197.0
01.04.2022,NJ,33238,2201324,115152.0
31.03.2022,NJ,33232,2199807,115095.0
30.03.2022,NJ,33230,2198339,115054.0
29.03.2022,NJ,33225,2196970,115025.0
28.03.2022,NJ,33217,2195963,114978.0
27.03.2022,NJ,33211,2195320,114943.0
26.03.2022,NJ,33210,2194379,114911.0
25.03.2022,NJ,33203,2193470,114867.0
24.03.2022,NJ,33195,2192294,114823.0
23.03.2022,NJ,33192,2190743,114797.0
22.03.2022,NJ,33186,2189639,114755.0
21.03.2022,NJ,33178,2188780,114706.0
20.03.2022,NJ,33169,2188228,114676.0
19.03.2022,NJ,33167,2187715,114642.0
18.03.2022,NJ,33155,2186846,114591.0
17.03.2022,NJ,33149,2185323,114543.0
16.03.2022,NJ,33136,2184240,114499.0
15.03.2022,NJ,33126,2182557,114458.0
14.03.2022,NJ,33114,2181828,114418.0
13.03.2022,NJ,33106,2181398,114371.0
12.03.2022,NJ,33102,2180930,114335.0
11.03.2022,NJ,33087,2180216,114288.0
10.03.2022,NJ,33067,2178976,114228.0
09.03.2022,NJ,33054,2177598,114172.0
08.03.2022,NJ,33050,2176633,114118.0
07.03.2022,NJ,33027,2175439,114059.0
06.03.2022,NJ,33011,2174473,114008.0
05.03.2022,NJ,33005,2173813,113955.0
04.03.2022,NJ,32999,2172771,113894.0
03.03.2022,NJ,32982,2171339,113816.0
