date,state,death,positive,hospitalized
22.06.2022,NM,7891,555592,31016.0
21.06.2022,NM,7883,554671,30981.0
20.06.2022,NM,7883,551614,30953.0
19.06.2022,NM,7883,551614,30925.0
18.06.2022,NM,7883,551614,30913.0
17.06.2022,NM,7883,551614,30891.0
16.06.2022,NM,7872,550337,30855.0
15.06.2022,NM,7869,549246,30831.0
14.06.2022,NM,7865,548119,30809.0
13.06.2022,NM,7863,547351,30784.0
12.06.2022,NM,7873,544867,30755.0
11.06.2022,NM,7873,544867,30731.0
10.06.2022,NM,7873,544867,30713.0
09.06.2022,NM,7866,543882,30687.0
08.06.2022,NM,7862,542746,30663.0
07.06.2022,NM,7849,541646,30639.0
06.06.2022,NM,7844,540931,30623.0
05.06.2022,NM,7825,538629,30606.0
04.06.2022,NM,7825,538629,30589.0
03.06.2022,NM,7825,538629,30566.0
02.06.2022,NM,7803,537552,30540.0
01.06.2022,NM,7797,536571,30515.0
31.05.2022,NM,7791,536017,30485.0
30.05.2022,NM,7778,533867,30469.0
29.05.2022,NM,7778,533867,30455.0
28.05.2022,NM,7778,533867,30448.0
27.05.2022,NM,7778,533867,30425.0
26.05.2022,NM,7756,533074,30410.0
25.05.2022,NM,7732,532240,30388.0
24.05.2022,NM,7700,531309,30374.0
23.05.2022,NM,7684,530772,30356.0
22.05.2022,NM,7675,529336,30347.0
21.05.2022,NM,7675,529336,30331.0
20.05.2022,NM,7675,529336,30314.0
19.05.2022,NM,7664,528699,30299.0
18.05.2022,NM,7650,528146,30285.0
17.05.2022,NM,7638,527534,30268.0
16.05.2022,NM,7623,527161,30251.0
15.05.2022,NM,7607,526137,30239.0
14.05.2022,NM,7607,526137,30229.0
13.05.2022,NM,7607,526137,30218.0
12.05.2022,NM,7600,525751,30205.0
11.05.2022,NM,7594,525249,30196.0
10.05.2022,NM,7581,524895,30184.0
09.05.2022,NM,7568,524644,30173.0
08.05.2022,NM,7556,523940,30162.0
07.05.2022,NM,7556,523940,30157.0
06.05.2022,NM,7556,523940,30149.0
05.05.2022,NM,7547,523621,30144.0
04.05.2022,NM,7536,523268,30136.0
03.05.2022,NM,7528,523023,30130.0
02.05.2022,NM,7516,522857,30126.0
01.05.2022,NM,7499,522329,30119.0
30.04.2022,NM,7499,522329,30115.0
29.04.2022,NM,7499,522329,30110.0
28.04.2022,NM,7484,522094,30099.0
27.04.2022,NM,7465,521823,30091.0
26.04.2022,NM,7456,521583,30082.0
25.04.2022,NM,7445,521432,30074.0
24.04.2022,NM,7442,521018,30069.0
23.04.2022,NM,7442,521018,30065.0
22.04.2022,NM,7442,521018,30058.0
21.04.2022,NM,7436,520828,30047.0
20.04.2022,NM,7434,520591,30034.0
19.04.2022,NM,7427,520402,30026.0
18.04.2022,NM,7416,520288,30019.0
17.04.2022,NM,7410,519833,30011.0
16.04.2022,NM,7410,519833,30009.0
15.04.2022,NM,7410,519833,30000.0
14.04.2022,NM,7400,519681,29986.0
13.04.2022,NM,7390,519510,29979.0
12.04.2022,NM,7383,519342,29971.0
11.04.2022,NM,7374,519262,29964.0
10.04.2022,NM,7360,518941,29960.0
09.04.2022,NM,7360,518941,29954.0
08.04.2022,NM,7360,518941,29947.0
07.04.2022,NM,7351,518820,29939.0
06.04.2022,NM,7333,518705,29932.0
05.04.2022,NM,7315,518557,29925.0
04.04.2022,NM,7293,518470,29920.0
03.04.2022,NM,7279,517951,29915.0
02.04.2022,NM,7279,517951,29911.0
01.04.2022,NM,7279,517951,29904.0
31.03.2022,NM,7274,517858,29893.0
30.03.2022,NM,7255,517742,29882.0
29.03.2022,NM,7234,517608,29872.0
28.03.2022,NM,7219,517521,29865.0
27.03.2022,NM,7206,517206,29852.0
26.03.2022,NM,7206,517206,29842.0
25.03.2022,NM,7206,517206,29829.0
24.03.2022,NM,7197,517060,29818.0
23.03.2022,NM,7180,516858,29808.0
22.03.2022,NM,7171,516628,29791.0
21.03.2022,NM,7157,516512,29779.0
20.03.2022,NM,7145,516171,29770.0
19.03.2022,NM,7145,516171,29761.0
18.03.2022,NM,7145,516171,29751.0
17.03.2022,NM,7128,516026,29739.0
16.03.2022,NM,7116,515818,29724.0
15.03.2022,NM,7103,515625,29706.0
14.03.2022,NM,7078,515531,29692.0
13.03.2022,NM,7050,515164,29674.0
12.03.2022,NM,7050,515164,29661.0
11.03.2022,NM,7050,515164,29645.0
10.03.2022,NM,7040,514901,29627.0
09.03.2022,NM,7026,514511,29607.0
08.03.2022,NM,7010,514170,29592.0
07.03.2022,NM,6988,513994,29565.0
06.03.2022,NM,6972,513311,29548.0
05.03.2022,NM,6972,513311,29528.0
04.03.2022,NM,6972,513311,29513.0
03.03.2022,NM,6956,512938,29486.0
02.03.2022,NM,6939,512550,29459.0
01.03.2022,NM,6925,512120,29436.0
28.02.2022,NM,6919,511434,29410.0
27.02.2022,NM,6903,510783,29387.0
26.02.2022,NM,6903,510783,29367.0
25.02.2022,NM,6903,510783,29342.0
24.02.2022,NM,6873,510330,29309.0
23.02.2022,NM,6851,509710,29276.0
22.02.2022,NM,6821,509178,29239.0
21.02.2022,NM,6794,508863,29205.0
20.02.2022,NM,6775,507323,29172.0
19.02.2022,NM,6775,507323,29132.0
18.02.2022,NM,6775,507323,29099.0
17.02.2022,NM,6746,506348,29062.0
16.02.2022,NM,6729,505359,29022.0
15.02.2022,NM,6711,504287,28976.0
14.02.2022,NM,6684,503623,28927.0
13.02.2022,NM,6658,500516,28884.0
12.02.2022,NM,6658,500516,28829.0
11.02.2022,NM,6658,500516,28753.0
10.02.2022,NM,6629,499392,28706.0
09.02.2022,NM,6597,497570,28640.0
08.02.2022,NM,6561,495769,28578.0
07.02.2022,NM,6555,494368,28516.0
06.02.2022,NM,6535,489701,28434.0
05.02.2022,NM,6535,489701,28368.0
04.02.2022,NM,6535,489701,28289.0
03.02.2022,NM,6516,487604,28216.0
02.02.2022,NM,6488,484454,28119.0
01.02.2022,NM,6473,481852,27983.0
31.01.2022,NM,6454,480087,27894.0
30.01.2022,NM,6417,470513,27805.0
29.01.2022,NM,6417,470513,27712.0
28.01.2022,NM,6417,470513,27631.0
27.01.2022,NM,6391,465244,27544.0
26.01.2022,NM,6357,460062,27438.0
25.01.2022,NM,6317,455947,27348.0
24.01.2022,NM,6292,452616,27247.0
23.01.2022,NM,6259,437934,27157.0
22.01.2022,NM,6259,437934,27051.0
21.01.2022,NM,6259,437934,26945.0
20.01.2022,NM,6229,431887,26840.0
19.01.2022,NM,6205,425920,26728.0
18.01.2022,NM,6177,420192,26616.0
17.01.2022,NM,6145,398939,26515.0
16.01.2022,NM,6145,398939,26432.0
15.01.2022,NM,6145,398939,26351.0
14.01.2022,NM,6145,398939,26256.0
13.01.2022,NM,6109,393736,26177.0
12.01.2022,NM,6073,388125,26079.0
11.01.2022,NM,6045,381295,26002.0
10.01.2022,NM,6020,378363,25921.0
09.01.2022,NM,5983,369113,25848.0
