date,state,death,positive,hospitalized
22.06.2022,NY,69198,5523624,268476.0
21.06.2022,NY,69198,5523624,268196.0
20.06.2022,NY,69183,5519413,267914.0
19.06.2022,NY,69170,5515713,267686.0
18.06.2022,NY,69170,5502291,267519.0
17.06.2022,NY,69170,5502291,267286.0
16.06.2022,NY,69152,5502291,267033.0
15.06.2022,NY,69122,5497115,266740.0
14.06.2022,NY,69090,5491202,266477.0
13.06.2022,NY,69036,5485923,266198.0
12.06.2022,NY,69005,5482033,265910.0
11.06.2022,NY,69005,5468117,265755.0
10.06.2022,NY,69005,5468117,265507.0
09.06.2022,NY,68997,5462454,265225.0
08.06.2022,NY,68970,5462454,264931.0
07.06.2022,NY,68941,5456097,264655.0
06.06.2022,NY,68701,5448164,264370.0
05.06.2022,NY,68855,5443533,264141.0
04.06.2022,NY,68855,5426651,263917.0
03.06.2022,NY,68855,5426651,263636.0
02.06.2022,NY,68826,5426651,263303.0
01.06.2022,NY,68796,5418774,262977.0
31.05.2022,NY,68723,5412962,262610.0
30.05.2022,NY,68704,5407281,262241.0
29.05.2022,NY,68704,5385835,262015.0
28.05.2022,NY,68704,5385835,261778.0
27.05.2022,NY,68704,5385835,261485.0
26.05.2022,NY,68667,5385835,261099.0
25.05.2022,NY,68649,5377292,260715.0
24.05.2022,NY,68581,5368120,260349.0
23.05.2022,NY,68581,5353269,259948.0
22.05.2022,NY,68525,5353269,259623.0
21.05.2022,NY,68525,5318733,259280.0
20.05.2022,NY,68525,5318733,258919.0
19.05.2022,NY,68499,5318733,258536.0
18.05.2022,NY,68470,5318733,258159.0
17.05.2022,NY,68451,5307534,257750.0
16.05.2022,NY,68423,5297214,257319.0
15.05.2022,NY,68354,5288567,256942.0
14.05.2022,NY,68354,5251719,256609.0
13.05.2022,NY,68354,5251719,256186.0
12.05.2022,NY,68329,5251719,255747.0
11.05.2022,NY,68307,5251719,255349.0
10.05.2022,NY,68278,5238224,254978.0
09.05.2022,NY,68251,5228137,254591.0
08.05.2022,NY,68199,5215573,254292.0
07.05.2022,NY,68199,5215573,253896.0
06.05.2022,NY,68199,5195818,253421.0
05.05.2022,NY,68182,5181916,252935.0
04.05.2022,NY,68160,5171665,252487.0
03.05.2022,NY,68145,5162526,252014.0
02.05.2022,NY,68127,5156307,251642.0
01.05.2022,NY,68079,5135995,251386.0
30.04.2022,NY,68079,5135995,251128.0
29.04.2022,NY,68079,5135995,250839.0
28.04.2022,NY,68061,5127560,250521.0
27.04.2022,NY,68042,5118022,250194.0
26.04.2022,NY,68022,5118022,249893.0
25.04.2022,NY,68004,5105538,249590.0
24.04.2022,NY,67973,5088806,249361.0
23.04.2022,NY,67973,5088806,249144.0
22.04.2022,NY,67973,5088806,248868.0
21.04.2022,NY,67962,5080354,248587.0
20.04.2022,NY,67939,5073560,248333.0
19.04.2022,NY,67923,5065698,248060.0
18.04.2022,NY,67885,5061052,247850.0
17.04.2022,NY,67875,5044193,247628.0
16.04.2022,NY,67875,5044193,247488.0
15.04.2022,NY,67875,5044193,247290.0
14.04.2022,NY,67863,5037456,247080.0
13.04.2022,NY,67856,5023691,246872.0
12.04.2022,NY,67839,5023691,246674.0
11.04.2022,NY,67828,5020025,246468.0
10.04.2022,NY,67798,5004686,246318.0
09.04.2022,NY,67798,5004686,246173.0
08.04.2022,NY,67798,5004686,245992.0
07.04.2022,NY,67788,4986029,245821.0
06.04.2022,NY,67780,4986029,245650.0
05.04.2022,NY,67767,4986029,245488.0
04.04.2022,NY,67755,4986029,245350.0
03.04.2022,NY,67737,4983476,245239.0
02.04.2022,NY,67737,4979793,245138.0
01.04.2022,NY,67737,4975747,244989.0
31.03.2022,NY,67719,4971865,244844.0
30.03.2022,NY,67712,4967372,244721.0
29.03.2022,NY,67703,4964129,244586.0
28.03.2022,NY,67691,4961729,244464.0
27.03.2022,NY,67616,4953824,244378.0
26.03.2022,NY,67616,4953824,244282.0
25.03.2022,NY,67616,4953824,244168.0
24.03.2022,NY,67616,4950497,244055.0
23.03.2022,NY,67616,4943172,243954.0
22.03.2022,NY,67616,4943172,243850.0
21.03.2022,NY,67602,4941675,243729.0
20.03.2022,NY,67587,4940576,243631.0
19.03.2022,NY,67587,4938563,243559.0
18.03.2022,NY,67587,4935921,243458.0
17.03.2022,NY,67566,4929437,243333.0
16.03.2022,NY,67543,4929437,243206.0
15.03.2022,NY,67503,4929437,243067.0
14.03.2022,NY,67472,4926684,242942.0
13.03.2022,NY,67423,4925782,242841.0
12.03.2022,NY,67423,4924012,242761.0
11.03.2022,NY,67423,4922213,242625.0
10.03.2022,NY,67399,4920106,242512.0
09.03.2022,NY,67390,4918256,242389.0
08.03.2022,NY,67383,4916461,242260.0
07.03.2022,NY,67351,4915401,242128.0
06.03.2022,NY,67286,4914388,242034.0
05.03.2022,NY,67286,4912822,241919.0
04.03.2022,NY,67286,4908263,241750.0
03.03.2022,NY,67254,4908263,241587.0
02.03.2022,NY,67220,4905819,241407.0
01.03.2022,NY,67185,4903695,241218.0
28.02.2022,NY,67134,4902411,241021.0
27.02.2022,NY,67032,4901267,240878.0
26.02.2022,NY,67032,4897383,240722.0
25.02.2022,NY,67032,4897383,240533.0
24.02.2022,NY,66982,4895063,240321.0
23.02.2022,NY,66923,4892359,240106.0
22.02.2022,NY,66863,4889903,239865.0
21.02.2022,NY,66801,4888284,239658.0
20.02.2022,NY,66675,4886801,239485.0
19.02.2022,NY,66675,4884161,239285.0
18.02.2022,NY,66675,4881111,239034.0
17.02.2022,NY,66601,4876264,238747.0
16.02.2022,NY,66522,4872577,238468.0
15.02.2022,NY,66440,4869303,238173.0
14.02.2022,NY,66319,4866986,237913.0
13.02.2022,NY,65897,4864638,237661.0
12.02.2022,NY,65897,4861055,237409.0
11.02.2022,NY,65897,4856823,237078.0
10.02.2022,NY,65897,4852069,236698.0
09.02.2022,NY,65897,4844627,236275.0
08.02.2022,NY,65734,4838586,235851.0
07.02.2022,NY,65561,4834305,235424.0
06.02.2022,NY,65390,4830510,235068.0
05.02.2022,NY,65390,4817584,234613.0
04.02.2022,NY,65390,4817584,234059.0
03.02.2022,NY,65141,4809825,233498.0
02.02.2022,NY,64963,4800407,232926.0
01.02.2022,NY,64778,4791065,232312.0
31.01.2022,NY,64571,4783946,231687.0
30.01.2022,NY,64209,4778831,231199.0
29.01.2022,NY,64209,4770050,230750.0
28.01.2022,NY,64209,4757718,230095.0
27.01.2022,NY,63993,4744126,229332.0
26.01.2022,NY,63793,4726821,228528.0
25.01.2022,NY,63561,4710302,227653.0
24.01.2022,NY,63263,4697818,226701.0
23.01.2022,NY,62802,4685559,225841.0
22.01.2022,NY,62802,4666373,224949.0
21.01.2022,NY,62802,4638730,223903.0
20.01.2022,NY,62567,4610434,222731.0
19.01.2022,NY,62369,4579803,221529.0
18.01.2022,NY,62117,4556428,220169.0
17.01.2022,NY,61795,4534116,218917.0
16.01.2022,NY,61374,4507344,217853.0
15.01.2022,NY,61374,4456080,216783.0
14.01.2022,NY,61374,4408210,215338.0
13.01.2022,NY,61041,4359183,213636.0
12.01.2022,NY,60907,4298809,212092.0
11.01.2022,NY,60694,4240039,210413.0
10.01.2022,NY,60460,4191353,208666.0
09.01.2022,NY,60093,4136604,207211.0
08.01.2022,NY,60093,4056827,205864.0
07.01.2022,NY,60093,3966695,204273.0
06.01.2022,NY,59923,3884601,202438.0
05.01.2022,NY,59780,3722540,200682.0
04.01.2022,NY,59651,3722540,198962.0
03.01.2022,NY,59542,3669264,197258.0
02.01.2022,NY,59289,3469564,195798.0
01.01.2022,NY,59289,3469564,194434.0
31.12.2021,NY,59289,3469564,193100.0
30.12.2021,NY,59211,3393009,191581.0
29.12.2021,NY,59109,3318802,190125.0
28.12.2021,NY,58960,3251712,188785.0
27.12.2021,NY,58911,3210932,187598.0
26.12.2021,NY,58729,3184195,186635.0
25.12.2021,NY,58729,3053602,185791.0
24.12.2021,NY,58729,3053602,185103.0
23.12.2021,NY,58589,3053602,184350.0
22.12.2021,NY,58589,3014767,183556.0
21.12.2021,NY,58474,2985843,182892.0
20.12.2021,NY,58447,2963585,182234.0
19.12.2021,NY,58277,2940194,181664.0
18.12.2021,NY,58277,2917716,181199.0
17.12.2021,NY,58277,2895808,180680.0
16.12.2021,NY,58204,2874781,180110.0
15.12.2021,NY,58160,2856505,179597.0
14.12.2021,NY,58082,2843561,179077.0
13.12.2021,NY,58017,2835295,178582.0
12.12.2021,NY,57858,2826302,178210.0
11.12.2021,NY,57858,2803007,177769.0
10.12.2021,NY,57858,2803007,177302.0
09.12.2021,NY,57748,2791804,176808.0
08.12.2021,NY,57731,2779313,176329.0
07.12.2021,NY,57641,2761270,175850.0
06.12.2021,NY,57622,2761270,175327.0
05.12.2021,NY,57491,2755192,174937.0
04.12.2021,NY,57491,2744781,174560.0
03.12.2021,NY,57491,2734874,174123.0
02.12.2021,NY,57439,2723632,173640.0
01.12.2021,NY,57347,2712332,173207.0
30.11.2021,NY,57290,2696277,172738.0
29.11.2021,NY,57274,2696277,172285.0
28.11.2021,NY,57131,2684853,171902.0
27.11.2021,NY,57131,2684853,171569.0
26.11.2021,NY,57131,2680527,171163.0
25.11.2021,NY,57109,2674232,170759.0
24.11.2021,NY,57093,2665844,170408.0
23.11.2021,NY,57032,2658678,170034.0
22.11.2021,NY,57024,2653342,169641.0
21.11.2021,NY,56942,2647941,169286.0
20.11.2021,NY,56942,2633987,168987.0
19.11.2021,NY,56942,2633987,168637.0
18.11.2021,NY,56901,2626429,168280.0
17.11.2021,NY,56865,2618458,167934.0
