date,state,death,positive,hospitalized
22.06.2022,NC,25151,2843088,128967.0
21.06.2022,NC,25140,2823990,128871.0
20.06.2022,NC,25140,2823990,128776.0
19.06.2022,NC,25140,2823990,128683.0
18.06.2022,NC,25140,2823990,128580.0
17.06.2022,NC,25140,2823990,128475.0
16.06.2022,NC,25140,2823990,128368.0
15.06.2022,NC,25140,2823990,128258.0
14.06.2022,NC,25094,2799526,128149.0
13.06.2022,NC,25094,2799526,128048.0
12.06.2022,NC,25094,2799526,127936.0
11.06.2022,NC,25094,2799526,127836.0
10.06.2022,NC,25094,2799526,127719.0
09.06.2022,NC,25094,2799526,127601.0
08.06.2022,NC,25094,2799526,127476.0
07.06.2022,NC,24653,2772736,127384.0
06.06.2022,NC,24653,2772736,127268.0
05.06.2022,NC,24653,2772736,127183.0
04.06.2022,NC,24653,2772736,127082.0
03.06.2022,NC,24653,2772736,126964.0
02.06.2022,NC,24653,2772736,126834.0
01.06.2022,NC,24653,2772736,126709.0
31.05.2022,NC,24644,2744946,126597.0
30.05.2022,NC,24644,2744946,126484.0
29.05.2022,NC,24644,2744946,126382.0
28.05.2022,NC,24644,2744946,126298.0
27.05.2022,NC,24644,2744946,126190.0
26.05.2022,NC,24644,2744946,126083.0
25.05.2022,NC,24644,2744946,125986.0
24.05.2022,NC,24627,2715807,125876.0
23.05.2022,NC,24627,2715807,125771.0
22.05.2022,NC,24627,2715807,125679.0
21.05.2022,NC,24627,2715807,125619.0
20.05.2022,NC,24627,2715807,125540.0
19.05.2022,NC,24627,2715807,125442.0
18.05.2022,NC,24627,2715807,125348.0
17.05.2022,NC,24588,2691816,125258.0
16.05.2022,NC,24588,2691816,125169.0
15.05.2022,NC,24588,2691816,125106.0
14.05.2022,NC,24588,2691816,125031.0
13.05.2022,NC,24588,2691816,124955.0
12.05.2022,NC,24588,2691816,124865.0
11.05.2022,NC,24588,2691816,124770.0
10.05.2022,NC,24577,2673337,124692.0
09.05.2022,NC,24577,2673337,124637.0
08.05.2022,NC,24577,2673337,124589.0
07.05.2022,NC,24577,2673337,124548.0
06.05.2022,NC,24577,2673337,124500.0
05.05.2022,NC,24577,2673337,124432.0
04.05.2022,NC,24577,2673337,124370.0
03.05.2022,NC,23405,2659266,124309.0
02.05.2022,NC,23405,2659266,124239.0
01.05.2022,NC,23405,2659266,124193.0
30.04.2022,NC,23405,2659266,124150.0
29.04.2022,NC,23405,2659266,124101.0
28.04.2022,NC,23405,2659266,124055.0
27.04.2022,NC,23405,2659266,124008.0
26.04.2022,NC,23363,2647660,123944.0
25.04.2022,NC,23363,2647660,123894.0
24.04.2022,NC,23363,2647660,123841.0
23.04.2022,NC,23363,2647660,123792.0
22.04.2022,NC,23363,2647660,123744.0
