date,state,death,positive,hospitalized
22.06.2022,ND,2232,247796,11450.0
21.06.2022,ND,2232,247796,11444.0
20.06.2022,ND,2232,247796,11439.0
19.06.2022,ND,2232,247796,11429.0
18.06.2022,ND,2232,247796,11424.0
17.06.2022,ND,2232,247796,11415.0
16.06.2022,ND,2232,246544,11406.0
15.06.2022,ND,2232,246544,11393.0
14.06.2022,ND,2232,246544,11385.0
13.06.2022,ND,2232,246544,11371.0
12.06.2022,ND,2232,246544,11361.0
11.06.2022,ND,2232,246544,11350.0
10.06.2022,ND,2232,246544,11340.0
09.06.2022,ND,2232,245476,11328.0
08.06.2022,ND,2232,245476,11317.0
07.06.2022,ND,2232,245476,11313.0
06.06.2022,ND,2232,245476,11302.0
05.06.2022,ND,2232,245476,11297.0
04.06.2022,ND,2232,245476,11292.0
03.06.2022,ND,2232,245476,11283.0
02.06.2022,ND,2232,244278,11276.0
01.06.2022,ND,2232,244278,11267.0
31.05.2022,ND,2232,244278,11262.0
30.05.2022,ND,2232,244278,11258.0
29.05.2022,ND,2232,244278,11252.0
28.05.2022,ND,2232,244278,11247.0
27.05.2022,ND,2232,244278,11236.0
26.05.2022,ND,2232,243345,11224.0
25.05.2022,ND,2232,243345,11220.0
24.05.2022,ND,2232,243345,11215.0
23.05.2022,ND,2232,243345,11208.0
22.05.2022,ND,2232,243345,11205.0
21.05.2022,ND,2232,243345,11195.0
20.05.2022,ND,2232,243345,11192.0
19.05.2022,ND,2232,242462,11188.0
18.05.2022,ND,2232,242462,11185.0
17.05.2022,ND,2232,242462,11178.0
16.05.2022,ND,2232,242462,11175.0
15.05.2022,ND,2232,242462,11171.0
14.05.2022,ND,2232,242462,11166.0
13.05.2022,ND,2232,242462,11152.0
12.05.2022,ND,2232,241739,11148.0
11.05.2022,ND,2232,241739,11145.0
10.05.2022,ND,2232,241739,11143.0
09.05.2022,ND,2232,241739,11139.0
08.05.2022,ND,2232,241739,11136.0
07.05.2022,ND,2232,241739,11134.0
06.05.2022,ND,2232,241739,11128.0
05.05.2022,ND,2232,241127,11123.0
