date,state,death,positive,hospitalized
22.06.2022,OH,38657,2815069,198600.0
21.06.2022,OH,38657,2815069,198435.0
20.06.2022,OH,38657,2815069,198300.0
19.06.2022,OH,38657,2815069,198161.0
18.06.2022,OH,38657,2815069,198056.0
17.06.2022,OH,38657,2815069,197934.0
16.06.2022,OH,38657,2815069,197795.0
15.06.2022,OH,38657,2798900,197647.0
14.06.2022,OH,38657,2798900,197508.0
13.06.2022,OH,38657,2798900,197366.0
12.06.2022,OH,38657,2798900,197240.0
11.06.2022,OH,38657,2798900,197116.0
10.06.2022,OH,38657,2798900,196974.0
09.06.2022,OH,38657,2798900,196815.0
08.06.2022,OH,38657,2780653,196669.0
07.06.2022,OH,38657,2780653,196527.0
06.06.2022,OH,38657,2780653,196395.0
05.06.2022,OH,38657,2780653,196263.0
04.06.2022,OH,38657,2780653,196131.0
03.06.2022,OH,38657,2780653,195963.0
02.06.2022,OH,38657,2780653,195794.0
01.06.2022,OH,38628,2763123,195644.0
31.05.2022,OH,38628,2763123,195492.0
30.05.2022,OH,38628,2763123,195376.0
29.05.2022,OH,38628,2763123,195252.0
28.05.2022,OH,38628,2763123,195151.0
27.05.2022,OH,38628,2763123,195003.0
26.05.2022,OH,38628,2763123,194851.0
25.05.2022,OH,38590,2743577,194699.0
24.05.2022,OH,38590,2743577,194547.0
23.05.2022,OH,38590,2743577,194402.0
22.05.2022,OH,38590,2743577,194281.0
21.05.2022,OH,38590,2743577,194140.0
20.05.2022,OH,38590,2743577,194000.0
19.05.2022,OH,38590,2743577,193851.0
18.05.2022,OH,38550,2724041,193712.0
17.05.2022,OH,38550,2724041,193590.0
16.05.2022,OH,38550,2724041,193451.0
15.05.2022,OH,38550,2724041,193351.0
14.05.2022,OH,38550,2724041,193244.0
13.05.2022,OH,38550,2724041,193139.0
12.05.2022,OH,38550,2724041,193018.0
11.05.2022,OH,38493,2708071,192888.0
10.05.2022,OH,38493,2708071,192782.0
09.05.2022,OH,38493,2708071,192698.0
08.05.2022,OH,38493,2708071,192622.0
07.05.2022,OH,38493,2708071,192545.0
06.05.2022,OH,38493,2708071,192461.0
05.05.2022,OH,38493,2708071,192370.0
04.05.2022,OH,38428,2697058,192286.0
03.05.2022,OH,38428,2697058,192190.0
02.05.2022,OH,38428,2697058,192110.0
01.05.2022,OH,38428,2697058,192016.0
30.04.2022,OH,38428,2697058,191876.0
29.04.2022,OH,38428,2697058,191723.0
28.04.2022,OH,38428,2697058,191583.0
27.04.2022,OH,38360,2688327,191434.0
26.04.2022,OH,38360,2688327,191280.0
25.04.2022,OH,38360,2688327,191227.0
24.04.2022,OH,38360,2688327,191172.0
23.04.2022,OH,38360,2688327,191120.0
22.04.2022,OH,38360,2688327,191060.0
21.04.2022,OH,38360,2688327,191002.0
20.04.2022,OH,38266,2681437,190944.0
19.04.2022,OH,38266,2681437,190882.0
18.04.2022,OH,38266,2681437,190827.0
17.04.2022,OH,38266,2681437,190788.0
16.04.2022,OH,38266,2681437,190749.0
15.04.2022,OH,38266,2681437,190705.0
14.04.2022,OH,38266,2681437,190646.0
13.04.2022,OH,38166,2676629,190594.0
12.04.2022,OH,38166,2676629,190547.0
11.04.2022,OH,38166,2676629,190496.0
10.04.2022,OH,38166,2676629,190460.0
09.04.2022,OH,38166,2676629,190414.0
08.04.2022,OH,38166,2676629,190362.0
07.04.2022,OH,38166,2676629,190306.0
06.04.2022,OH,38042,2672801,190274.0
05.04.2022,OH,38042,2672801,190231.0
04.04.2022,OH,38042,2672801,190189.0
03.04.2022,OH,38042,2672801,190153.0
02.04.2022,OH,38042,2672801,190121.0
01.04.2022,OH,38042,2672801,190090.0
31.03.2022,OH,38042,2672801,190049.0
30.03.2022,OH,37793,2669698,190000.0
29.03.2022,OH,37793,2669698,189959.0
28.03.2022,OH,37793,2669698,189912.0
27.03.2022,OH,37793,2669698,189867.0
26.03.2022,OH,37793,2669698,189817.0
25.03.2022,OH,37793,2669698,189777.0
24.03.2022,OH,37793,2669698,189731.0
23.03.2022,OH,37608,2666030,189683.0
22.03.2022,OH,37608,2666030,189626.0
21.03.2022,OH,37608,2666030,189567.0
20.03.2022,OH,37608,2666030,189515.0
19.03.2022,OH,37608,2666030,189458.0
18.03.2022,OH,37608,2666030,189394.0
17.03.2022,OH,37608,2666030,189319.0
16.03.2022,OH,37410,2663835,189241.0
15.03.2022,OH,37410,2663835,189158.0
14.03.2022,OH,37410,2663835,189086.0
13.03.2022,OH,37410,2663835,189040.0
12.03.2022,OH,37410,2663019,188970.0
11.03.2022,OH,37410,2663019,188890.0
10.03.2022,OH,37212,2662425,188816.0
09.03.2022,OH,37212,2661557,188734.0
08.03.2022,OH,37212,2660728,188651.0
07.03.2022,OH,37018,2659929,188573.0
06.03.2022,OH,37018,2658276,188503.0
05.03.2022,OH,37018,2658276,188417.0
04.03.2022,OH,37018,2658276,188328.0
03.03.2022,OH,36822,2657358,188217.0
02.03.2022,OH,36822,2656162,188097.0
01.03.2022,OH,36822,2654991,187996.0
28.02.2022,OH,36580,2653940,187858.0
27.02.2022,OH,36580,2651304,187773.0
26.02.2022,OH,36580,2651304,187663.0
25.02.2022,OH,36580,2651304,187530.0
24.02.2022,OH,36267,2649692,187382.0
23.02.2022,OH,36267,2648371,187226.0
22.02.2022,OH,36267,2647048,187052.0
21.02.2022,OH,35493,2645679,186889.0
20.02.2022,OH,35493,2642330,186764.0
19.02.2022,OH,35493,2642330,186608.0
18.02.2022,OH,35493,2642330,186390.0
17.02.2022,OH,35372,2640201,186168.0
16.02.2022,OH,35372,2638202,185918.0
15.02.2022,OH,35372,2635769,185671.0
14.02.2022,OH,35005,2633648,185438.0
13.02.2022,OH,35005,2628814,185252.0
12.02.2022,OH,35005,2628814,185032.0
11.02.2022,OH,35005,2628814,184688.0
10.02.2022,OH,34592,2625551,184375.0
09.02.2022,OH,34592,2621375,184032.0
08.02.2022,OH,34592,2617104,183652.0
07.02.2022,OH,34217,2612719,183239.0
06.02.2022,OH,34217,2605245,182920.0
05.02.2022,OH,34217,2605245,182562.0
04.02.2022,OH,34217,2605245,182227.0
03.02.2022,OH,33537,2601241,181862.0
02.02.2022,OH,33537,2595504,181377.0
01.02.2022,OH,33537,2586903,180845.0
31.01.2022,OH,33071,2580405,180297.0
30.01.2022,OH,33071,2562412,179892.0
29.01.2022,OH,33071,2562412,179402.0
28.01.2022,OH,33071,2562412,178852.0
27.01.2022,OH,32489,2552972,178213.0
26.01.2022,OH,32489,2540864,177529.0
25.01.2022,OH,32489,2520112,176877.0
24.01.2022,OH,31987,2515949,176168.0
23.01.2022,OH,31987,2480566,175583.0
22.01.2022,OH,31987,2480566,174952.0
21.01.2022,OH,31987,2480566,174187.0
20.01.2022,OH,31245,2460869,173394.0
19.01.2022,OH,31245,2439205,172595.0
18.01.2022,OH,31245,2418722,171797.0
17.01.2022,OH,30922,2403645,171104.0
16.01.2022,OH,30922,2307691,170481.0
15.01.2022,OH,30922,2307691,169699.0
14.01.2022,OH,30922,2307691,168706.0
13.01.2022,OH,30435,2266236,167690.0
12.01.2022,OH,30435,2246974,166666.0
11.01.2022,OH,30435,2226881,165678.0
10.01.2022,OH,30072,2207270,164776.0
09.01.2022,OH,30072,2151829,163867.0
08.01.2022,OH,30072,2151829,162908.0
07.01.2022,OH,30072,2151829,161909.0
06.01.2022,OH,29674,2132266,160863.0
05.01.2022,OH,29674,2112824,159801.0
04.01.2022,OH,29674,2093074,158731.0
03.01.2022,OH,29447,2072663,157825.0
02.01.2022,OH,29447,2016095,156982.0
01.01.2022,OH,29447,2016095,156142.0
31.12.2021,OH,29447,2016095,155217.0
30.12.2021,OH,28780,1995497,154266.0
29.12.2021,OH,28780,1955403,153397.0
28.12.2021,OH,28780,1955403,152542.0
27.12.2021,OH,28720,1940000,151730.0
26.12.2021,OH,28720,1910991,151073.0
25.12.2021,OH,28720,1910991,150453.0
24.12.2021,OH,28720,1910991,149856.0
23.12.2021,OH,28277,1896577,149230.0
22.12.2021,OH,28277,1880588,148568.0
21.12.2021,OH,28277,1867724,147892.0
20.12.2021,OH,28028,1855222,147291.0
19.12.2021,OH,28028,1829367,146742.0
18.12.2021,OH,28028,1829367,146202.0
17.12.2021,OH,28028,1829367,145589.0
16.12.2021,OH,27594,1819342,144910.0
15.12.2021,OH,27594,1807539,144233.0
14.12.2021,OH,27594,1796951,143642.0
13.12.2021,OH,27371,1787029,143048.0
12.12.2021,OH,27371,1768367,142500.0
11.12.2021,OH,27371,1768367,141898.0
10.12.2021,OH,27371,1768367,141284.0
09.12.2021,OH,27011,1761008,140629.0
08.12.2021,OH,27011,1752508,139957.0
07.12.2021,OH,27011,1743801,139287.0
06.12.2021,OH,26851,1735925,138705.0
05.12.2021,OH,26851,1717876,138157.0
04.12.2021,OH,26851,1717876,137639.0
03.12.2021,OH,26851,1717876,137084.0
02.12.2021,OH,26587,1708292,136478.0
01.12.2021,OH,26587,1699161,135916.0
30.11.2021,OH,26587,1690217,135335.0
29.11.2021,OH,26483,1683472,134779.0
28.11.2021,OH,26483,1669274,134281.0
27.11.2021,OH,26483,1669274,133817.0
26.11.2021,OH,26483,1669274,133315.0
25.11.2021,OH,26190,1660131,132834.0
24.11.2021,OH,26190,1660131,132375.0
23.11.2021,OH,26190,1653380,131865.0
22.11.2021,OH,26063,1647237,131326.0
21.11.2021,OH,26063,1633480,130851.0
20.11.2021,OH,26063,1633480,130450.0
19.11.2021,OH,26063,1633480,130066.0
18.11.2021,OH,25813,1627051,129614.0
17.11.2021,OH,25813,1620436,129144.0
16.11.2021,OH,25813,1614054,128667.0
15.11.2021,OH,25643,1608415,128245.0
14.11.2021,OH,25643,1596171,127851.0
13.11.2021,OH,25643,1596171,127525.0
12.11.2021,OH,25643,1596171,127153.0
11.11.2021,OH,25282,1590792,126790.0
10.11.2021,OH,25282,1585798,126429.0
09.11.2021,OH,25282,1580271,126036.0
08.11.2021,OH,25067,1575319,125696.0
07.11.2021,OH,25067,1565043,125359.0
06.11.2021,OH,25067,1565043,125065.0
05.11.2021,OH,25067,1565043,124785.0
04.11.2021,OH,24763,1560695,124479.0
03.11.2021,OH,24763,1556208,124146.0
02.11.2021,OH,24763,1551705,123826.0
01.11.2021,OH,24527,1547788,123506.0
31.10.2021,OH,24527,1539490,123220.0
30.10.2021,OH,24527,1539490,122917.0
29.10.2021,OH,24527,1539490,122572.0
28.10.2021,OH,24164,1536005,122266.0
27.10.2021,OH,24164,1531815,122016.0
26.10.2021,OH,24164,1527976,121724.0
