date,state,death,positive,hospitalized
22.06.2022,OK,16145,1063786,101373.0
21.06.2022,OK,16145,1063786,101327.0
20.06.2022,OK,16145,1063786,101291.0
19.06.2022,OK,16145,1063786,101251.0
18.06.2022,OK,16145,1063786,101219.0
17.06.2022,OK,16145,1063786,101168.0
16.06.2022,OK,16145,1061792,101131.0
15.06.2022,OK,16145,1061792,101090.0
14.06.2022,OK,16145,1059877,101059.0
13.06.2022,OK,16145,1059877,101031.0
12.06.2022,OK,16145,1058297,101004.0
11.06.2022,OK,16145,1058297,100981.0
10.06.2022,OK,16145,1058297,100952.0
09.06.2022,OK,16050,1056778,100930.0
08.06.2022,OK,16050,1056778,100907.0
07.06.2022,OK,16050,1054966,100891.0
06.06.2022,OK,16050,1054966,100864.0
05.06.2022,OK,16050,1053558,100846.0
04.06.2022,OK,16050,1053558,100830.0
03.06.2022,OK,16050,1053558,100810.0
02.06.2022,OK,16050,1052091,100786.0
01.06.2022,OK,16050,1052091,100766.0
31.05.2022,OK,16050,1049849,100746.0
30.05.2022,OK,16050,1049849,100728.0
29.05.2022,OK,16050,1049849,100710.0
28.05.2022,OK,16050,1049849,100692.0
27.05.2022,OK,16050,1049849,100678.0
26.05.2022,OK,16050,1048988,100664.0
25.05.2022,OK,16050,1048988,100641.0
24.05.2022,OK,15996,1048033,100628.0
23.05.2022,OK,15996,1048033,100607.0
22.05.2022,OK,15996,1047216,100590.0
21.05.2022,OK,15996,1047216,100579.0
20.05.2022,OK,15996,1047216,100562.0
19.05.2022,OK,15996,1046359,100547.0
18.05.2022,OK,15996,1046359,100535.0
17.05.2022,OK,15950,1044868,100520.0
16.05.2022,OK,15950,1044868,100513.0
15.05.2022,OK,15950,1044868,100502.0
14.05.2022,OK,15950,1044868,100488.0
13.05.2022,OK,15950,1044868,100472.0
12.05.2022,OK,15950,1044179,100462.0
11.05.2022,OK,15950,1044179,100452.0
10.05.2022,OK,15897,1043539,100430.0
09.05.2022,OK,15897,1043539,100421.0
08.05.2022,OK,15897,1042637,100413.0
07.05.2022,OK,15897,1042637,100404.0
06.05.2022,OK,15897,1042637,100393.0
05.05.2022,OK,15897,1042136,100382.0
04.05.2022,OK,15897,1042136,100368.0
03.05.2022,OK,15815,1041397,100361.0
02.05.2022,OK,15815,1041397,100348.0
01.05.2022,OK,15815,1040982,100342.0
30.04.2022,OK,15815,1040982,100339.0
29.04.2022,OK,15815,1040982,100336.0
28.04.2022,OK,15815,1040416,100321.0
27.04.2022,OK,15815,1040416,100308.0
26.04.2022,OK,15736,1039952,100298.0
25.04.2022,OK,15736,1039952,100287.0
24.04.2022,OK,15736,1039415,100276.0
23.04.2022,OK,15736,1039415,100272.0
22.04.2022,OK,15736,1039415,100266.0
21.04.2022,OK,15736,1038801,100256.0
20.04.2022,OK,15736,1038801,100246.0
19.04.2022,OK,15640,1038301,100240.0
18.04.2022,OK,15640,1038301,100229.0
17.04.2022,OK,15640,1037729,100220.0
16.04.2022,OK,15640,1037729,100202.0
15.04.2022,OK,15640,1037729,100192.0
14.04.2022,OK,15640,1036495,100177.0
13.04.2022,OK,15640,1036495,100169.0
12.04.2022,OK,15520,1036495,100161.0
11.04.2022,OK,15520,1036495,100147.0
10.04.2022,OK,15520,1036133,100139.0
09.04.2022,OK,15520,1036133,100120.0
08.04.2022,OK,15520,1036133,100115.0
07.04.2022,OK,15520,1035301,100105.0
06.04.2022,OK,15520,1035301,100089.0
05.04.2022,OK,15383,1035301,100074.0
04.04.2022,OK,15383,1035301,100062.0
03.04.2022,OK,15383,1034439,100053.0
02.04.2022,OK,15383,1034439,100037.0
01.04.2022,OK,15383,1034439,100022.0
31.03.2022,OK,15383,1033848,100009.0
30.03.2022,OK,15383,1033848,99990.0
29.03.2022,OK,15236,1033256,99968.0
28.03.2022,OK,15236,1033256,99944.0
27.03.2022,OK,15236,1032520,99929.0
26.03.2022,OK,15236,1032520,99918.0
25.03.2022,OK,15236,1032520,99907.0
24.03.2022,OK,15236,1031896,99897.0
23.03.2022,OK,15236,1031896,99885.0
22.03.2022,OK,15025,1031145,99862.0
21.03.2022,OK,15025,1031145,99838.0
20.03.2022,OK,15025,1030615,99824.0
19.03.2022,OK,15025,1030615,99797.0
18.03.2022,OK,15025,1029977,99779.0
17.03.2022,OK,15025,1029977,99755.0
16.03.2022,OK,15025,1029977,99732.0
15.03.2022,OK,14730,1028420,99705.0
14.03.2022,OK,14730,1028420,99673.0
13.03.2022,OK,14730,1027663,99651.0
12.03.2022,OK,14730,1027663,99625.0
11.03.2022,OK,14730,1027663,99595.0
10.03.2022,OK,14730,1027136,99562.0
09.03.2022,OK,14730,1027136,99525.0
08.03.2022,OK,14730,1026072,99495.0
07.03.2022,OK,14730,1026072,99451.0
06.03.2022,OK,14730,1024471,99416.0
05.03.2022,OK,14730,1024471,99382.0
04.03.2022,OK,14730,1024471,99340.0
03.03.2022,OK,14730,1024471,99290.0
02.03.2022,OK,14730,1023358,99229.0
01.03.2022,OK,14488,1022769,99165.0
28.02.2022,OK,14488,1021849,99101.0
27.02.2022,OK,14488,1020367,99045.0
26.02.2022,OK,14488,1020367,98995.0
25.02.2022,OK,14488,1020367,98931.0
24.02.2022,OK,14488,1019489,98846.0
23.02.2022,OK,14488,1018328,98778.0
22.02.2022,OK,14152,1016945,98661.0
21.02.2022,OK,14152,1015935,98564.0
20.02.2022,OK,14152,1014388,98479.0
19.02.2022,OK,14152,1014388,98379.0
18.02.2022,OK,14152,1013287,98261.0
17.02.2022,OK,14152,1012168,98112.0
16.02.2022,OK,14152,1012168,97964.0
15.02.2022,OK,13758,1010554,97809.0
14.02.2022,OK,13758,1009507,97609.0
13.02.2022,OK,13758,1006846,97385.0
12.02.2022,OK,13758,1006846,97151.0
11.02.2022,OK,13758,1006846,96881.0
10.02.2022,OK,13758,1000480,96576.0
09.02.2022,OK,13758,1000480,96258.0
08.02.2022,OK,13412,1000480,95949.0
07.02.2022,OK,13412,998769,95627.0
06.02.2022,OK,13412,995546,95324.0
05.02.2022,OK,13412,988190,94967.0
04.02.2022,OK,13412,988190,94609.0
03.02.2022,OK,13412,988190,94275.0
02.02.2022,OK,13412,988190,93858.0
01.02.2022,OK,13125,983937,93425.0
31.01.2022,OK,13125,979349,92983.0
30.01.2022,OK,13125,953116,92548.0
29.01.2022,OK,13125,953116,92142.0
28.01.2022,OK,13125,953116,91665.0
27.01.2022,OK,13125,953116,91130.0
26.01.2022,OK,13125,944461,90614.0
25.01.2022,OK,12927,931033,90182.0
24.01.2022,OK,12927,922874,89622.0
23.01.2022,OK,12927,893913,89145.0
22.01.2022,OK,12927,893913,88705.0
21.01.2022,OK,12927,893913,88245.0
20.01.2022,OK,12927,880342,87766.0
19.01.2022,OK,12927,866403,87295.0
18.01.2022,OK,12666,852997,86838.0
17.01.2022,OK,12666,842996,86360.0
16.01.2022,OK,12666,811389,85976.0
15.01.2022,OK,12666,811389,85616.0
14.01.2022,OK,12666,811389,85238.0
13.01.2022,OK,12666,796987,84827.0
12.01.2022,OK,12118,785760,84456.0
11.01.2022,OK,12118,775169,84067.0
10.01.2022,OK,12118,769662,83724.0
09.01.2022,OK,12118,747150,83423.0
08.01.2022,OK,12512,747150,83153.0
07.01.2022,OK,11851,747150,82904.0
06.01.2022,OK,11851,737593,82638.0
05.01.2022,OK,11851,731155,82376.0
04.01.2022,OK,11851,724875,82106.0
03.01.2022,OK,11851,720961,81870.0
02.01.2022,OK,11851,708938,81681.0
01.01.2022,OK,11851,708938,81474.0
31.12.2021,OK,11851,708938,81263.0
30.12.2021,OK,11851,708938,81063.0
29.12.2021,OK,11851,704964,80848.0
28.12.2021,OK,11851,700798,80640.0
27.12.2021,OK,11851,700033,80440.0
26.12.2021,OK,11851,696373,80280.0
25.12.2021,OK,11851,696373,80109.0
24.12.2021,OK,11851,696373,79958.0
23.12.2021,OK,11851,694210,79803.0
22.12.2021,OK,11851,693199,79657.0
21.12.2021,OK,11851,691282,79481.0
20.12.2021,OK,11851,689800,79314.0
19.12.2021,OK,11851,685905,79165.0
18.12.2021,OK,11851,685905,79037.0
17.12.2021,OK,11851,685905,78915.0
16.12.2021,OK,11851,685905,78758.0
15.12.2021,OK,11851,684579,78612.0
14.12.2021,OK,11851,680617,78446.0
13.12.2021,OK,11851,680617,78266.0
12.12.2021,OK,11851,679064,78117.0
11.12.2021,OK,11851,679064,77967.0
10.12.2021,OK,11851,679064,77812.0
09.12.2021,OK,11851,677523,77641.0
08.12.2021,OK,11851,675812,77468.0
07.12.2021,OK,11851,674359,77313.0
06.12.2021,OK,11851,673202,77154.0
05.12.2021,OK,11851,672227,77014.0
04.12.2021,OK,11851,672227,76897.0
03.12.2021,OK,11851,672227,76781.0
02.12.2021,OK,11851,670420,76649.0
01.12.2021,OK,11851,669132,76525.0
30.11.2021,OK,11851,667512,76390.0
29.11.2021,OK,11990,666927,76278.0
28.11.2021,OK,11990,666169,76175.0
27.11.2021,OK,11990,665418,76088.0
26.11.2021,OK,11972,664667,75993.0
25.11.2021,OK,11972,663916,75919.0
24.11.2021,OK,11972,663165,75824.0
23.11.2021,OK,11972,662220,75731.0
22.11.2021,OK,11972,659585,75627.0
21.11.2021,OK,11972,659585,75544.0
20.11.2021,OK,11972,659585,75475.0
19.11.2021,OK,11918,659585,75405.0
18.11.2021,OK,11918,658600,75309.0
17.11.2021,OK,11918,657630,75205.0
16.11.2021,OK,11918,656574,75108.0
15.11.2021,OK,11918,655857,74998.0
14.11.2021,OK,11918,653624,74927.0
13.11.2021,OK,11918,653624,74860.0
12.11.2021,OK,11851,653624,74759.0
11.11.2021,OK,11851,652735,74665.0
10.11.2021,OK,11851,651692,74557.0
09.11.2021,OK,11851,650693,74454.0
08.11.2021,OK,11851,650273,74361.0
07.11.2021,OK,11851,648791,74276.0
06.11.2021,OK,11851,648791,74199.0
05.11.2021,OK,11768,648791,74106.0
04.11.2021,OK,11768,648213,74021.0
03.11.2021,OK,11768,647637,73919.0
02.11.2021,OK,11768,646136,73837.0
01.11.2021,OK,11768,646136,73754.0
31.10.2021,OK,11768,644684,73689.0
30.10.2021,OK,11768,644684,73597.0
29.10.2021,OK,11661,644684,73496.0
28.10.2021,OK,11661,643978,73404.0
27.10.2021,OK,11661,642362,73304.0
26.10.2021,OK,11661,642362,73204.0
25.10.2021,OK,11661,639720,73105.0
24.10.2021,OK,11661,639720,73019.0
23.10.2021,OK,11661,639720,72928.0
22.10.2021,OK,11524,639720,72834.0
21.10.2021,OK,11524,638957,72731.0
20.10.2021,OK,11524,635447,72613.0
19.10.2021,OK,11524,627699,72483.0
18.10.2021,OK,11524,627699,72363.0
17.10.2021,OK,11524,627699,72243.0
16.10.2021,OK,11524,627699,72129.0
15.10.2021,OK,11384,627699,72019.0
14.10.2021,OK,11384,627699,71890.0
13.10.2021,OK,11384,627699,71728.0
12.10.2021,OK,11384,619056,71588.0
11.10.2021,OK,11384,619056,71432.0
10.10.2021,OK,11384,619056,71287.0
09.10.2021,OK,11384,619056,71120.0
08.10.2021,OK,11221,619056,70963.0
07.10.2021,OK,11221,619056,70774.0
