date,state,death,positive,hospitalized
22.06.2022,OR,7729,795553,30703.0
21.06.2022,OR,7729,795553,30635.0
20.06.2022,OR,7727,791281,30568.0
19.06.2022,OR,7727,791281,30516.0
18.06.2022,OR,7727,791281,30466.0
17.06.2022,OR,7727,791281,30416.0
16.06.2022,OR,7721,789698,30372.0
15.06.2022,OR,7721,788128,30316.0
14.06.2022,OR,7708,786609,30254.0
13.06.2022,OR,7707,785032,30205.0
12.06.2022,OR,7693,781128,30156.0
11.06.2022,OR,7693,781128,30114.0
10.06.2022,OR,7693,781128,30061.0
09.06.2022,OR,7683,777700,30014.0
08.06.2022,OR,7683,777700,29963.0
07.06.2022,OR,7679,776239,29916.0
06.06.2022,OR,7659,774426,29872.0
05.06.2022,OR,7657,770194,29820.0
04.06.2022,OR,7657,770194,29778.0
03.06.2022,OR,7657,770194,29727.0
02.06.2022,OR,7644,769081,29671.0
01.06.2022,OR,7639,767286,29636.0
31.05.2022,OR,7635,765449,29578.0
30.05.2022,OR,7611,760804,29538.0
29.05.2022,OR,7611,760804,29489.0
28.05.2022,OR,7611,760804,29447.0
27.05.2022,OR,7611,760804,29390.0
26.05.2022,OR,7610,758879,29345.0
25.05.2022,OR,7607,757210,29303.0
24.05.2022,OR,7598,755367,29253.0
23.05.2022,OR,7591,753576,29198.0
22.05.2022,OR,7586,749722,29161.0
21.05.2022,OR,7586,749722,29120.0
20.05.2022,OR,7586,749722,29078.0
19.05.2022,OR,7580,747342,29040.0
18.05.2022,OR,7568,745723,28992.0
17.05.2022,OR,7567,743781,28940.0
16.05.2022,OR,7563,741780,28894.0
15.05.2022,OR,7560,738830,28856.0
14.05.2022,OR,7560,738830,28825.0
13.05.2022,OR,7560,738830,28783.0
12.05.2022,OR,7556,737186,28752.0
11.05.2022,OR,7548,735464,28714.0
10.05.2022,OR,7546,734014,28677.0
09.05.2022,OR,7541,732382,28650.0
08.05.2022,OR,7528,729412,28617.0
07.05.2022,OR,7528,729412,28578.0
06.05.2022,OR,7528,729412,28557.0
05.05.2022,OR,7520,728335,28524.0
04.05.2022,OR,7519,726612,28488.0
03.05.2022,OR,7511,725150,28461.0
02.05.2022,OR,7505,723336,28441.0
01.05.2022,OR,7502,721311,28411.0
30.04.2022,OR,7502,721311,28380.0
29.04.2022,OR,7502,721311,28352.0
28.04.2022,OR,7502,719857,28325.0
27.04.2022,OR,7499,718630,28301.0
26.04.2022,OR,7486,717505,28284.0
25.04.2022,OR,7485,716414,28262.0
24.04.2022,OR,7477,714346,28243.0
23.04.2022,OR,7477,714346,28226.0
22.04.2022,OR,7477,714346,28204.0
21.04.2022,OR,7478,713618,28183.0
20.04.2022,OR,7468,712686,28170.0
19.04.2022,OR,7460,711827,28154.0
18.04.2022,OR,7455,711100,28123.0
17.04.2022,OR,7443,709586,28105.0
16.04.2022,OR,7443,709586,28087.0
15.04.2022,OR,7443,709586,28067.0
14.04.2022,OR,7427,709125,28048.0
13.04.2022,OR,7404,708521,28033.0
12.04.2022,OR,7399,707987,28016.0
11.04.2022,OR,7315,707512,28003.0
10.04.2022,OR,7296,706687,27985.0
09.04.2022,OR,7296,706687,27971.0
