date,state,death,positive,hospitalized
22.06.2022,PA,45657,2987357,185672.0
21.06.2022,PA,45552,2972356,185504.0
20.06.2022,PA,45552,2972356,185352.0
19.06.2022,PA,45552,2972356,185226.0
18.06.2022,PA,45552,2972356,185091.0
17.06.2022,PA,45552,2972356,184954.0
16.06.2022,PA,45552,2972356,184795.0
15.06.2022,PA,45413,2954750,184621.0
14.06.2022,PA,45413,2954750,184485.0
13.06.2022,PA,45413,2954750,184334.0
12.06.2022,PA,45413,2954750,184197.0
11.06.2022,PA,45413,2954750,184059.0
10.06.2022,PA,45413,2954750,183927.0
09.06.2022,PA,45413,2954750,183747.0
08.06.2022,PA,45413,2954750,183551.0
07.06.2022,PA,45254,2932186,183377.0
06.06.2022,PA,45254,2932186,183192.0
05.06.2022,PA,45254,2932186,183028.0
04.06.2022,PA,45254,2932186,182885.0
03.06.2022,PA,45254,2932186,182719.0
02.06.2022,PA,45254,2932186,182554.0
01.06.2022,PA,45254,2932186,182369.0
31.05.2022,PA,45147,2907324,182164.0
30.05.2022,PA,45147,2907324,181975.0
29.05.2022,PA,45147,2907324,181817.0
28.05.2022,PA,45147,2907324,181627.0
27.05.2022,PA,45147,2907324,181427.0
26.05.2022,PA,45147,2907324,181208.0
25.05.2022,PA,45147,2907324,181002.0
24.05.2022,PA,44898,2877660,180800.0
23.05.2022,PA,44898,2877660,180625.0
22.05.2022,PA,44898,2877660,180451.0
21.05.2022,PA,44898,2877660,180286.0
20.05.2022,PA,44898,2877660,180079.0
19.05.2022,PA,44898,2877660,179894.0
18.05.2022,PA,44898,2877660,179728.0
17.05.2022,PA,44814,2849663,179553.0
16.05.2022,PA,44814,2849663,179363.0
15.05.2022,PA,44814,2849663,179210.0
14.05.2022,PA,44814,2849663,179063.0
13.05.2022,PA,44814,2849663,178902.0
12.05.2022,PA,44814,2849663,178727.0
11.05.2022,PA,44814,2849663,178572.0
10.05.2022,PA,44733,2827882,178432.0
09.05.2022,PA,44733,2827882,178271.0
08.05.2022,PA,44733,2827882,178159.0
07.05.2022,PA,44733,2827882,178067.0
06.05.2022,PA,44733,2827882,177948.0
05.05.2022,PA,44733,2827882,177810.0
04.05.2022,PA,44733,2827882,177695.0
03.05.2022,PA,44713,2825267,177587.0
02.05.2022,PA,44679,2823133,177498.0
01.05.2022,PA,44678,2821667,177400.0
30.04.2022,PA,44677,2820219,177316.0
29.04.2022,PA,44663,2817766,177218.0
28.04.2022,PA,44641,2815518,177122.0
27.04.2022,PA,44629,2812954,177016.0
26.04.2022,PA,44616,2810781,176915.0
25.04.2022,PA,44610,2809243,176832.0
24.04.2022,PA,44608,2808171,176773.0
23.04.2022,PA,44602,2806984,176708.0
22.04.2022,PA,44592,2804861,176652.0
21.04.2022,PA,44578,2803378,176568.0
20.04.2022,PA,44550,2801534,176496.0
19.04.2022,PA,44539,2800317,176410.0
18.04.2022,PA,44488,2798299,176346.0
17.04.2022,PA,44488,2797607,176298.0
16.04.2022,PA,44488,2796875,176241.0
15.04.2022,PA,44474,2795539,176187.0
14.04.2022,PA,44464,2793891,176124.0
13.04.2022,PA,44441,2792250,176057.0
12.04.2022,PA,44442,2791018,176000.0
11.04.2022,PA,44425,2789746,175950.0
10.04.2022,PA,44424,2789262,175913.0
09.04.2022,PA,44417,2788744,175867.0
08.04.2022,PA,44404,2787687,175827.0
07.04.2022,PA,44391,2786509,175775.0
06.04.2022,PA,44370,2785346,175731.0
05.04.2022,PA,44348,2784487,175686.0
04.04.2022,PA,44316,2783690,175636.0
03.04.2022,PA,44313,2782827,175601.0
02.04.2022,PA,44313,2782827,175563.0
01.04.2022,PA,44295,2782174,175517.0
31.03.2022,PA,44275,2781353,175466.0
30.03.2022,PA,44260,2780481,175421.0
29.03.2022,PA,44238,2779921,175376.0
28.03.2022,PA,44211,2779328,175311.0
27.03.2022,PA,44209,2779049,175275.0
26.03.2022,PA,44208,2778646,175232.0
