date,state,death,positive,hospitalized
22.06.2022,RI,3601,380620,9385.0
21.06.2022,RI,3601,380620,9378.0
20.06.2022,RI,3599,380333,9375.0
19.06.2022,RI,3596,379774,9370.0
18.06.2022,RI,3596,379774,9365.0
17.06.2022,RI,3596,379774,9358.0
16.06.2022,RI,3596,379483,9348.0
15.06.2022,RI,3595,379139,9340.0
14.06.2022,RI,3594,378769,9333.0
13.06.2022,RI,3591,378327,9325.0
12.06.2022,RI,3590,377788,9324.0
11.06.2022,RI,3590,377788,9320.0
10.06.2022,RI,3590,377788,9308.0
09.06.2022,RI,3584,376997,9299.0
08.06.2022,RI,3584,376997,9288.0
07.06.2022,RI,3584,376640,9281.0
06.06.2022,RI,3583,376167,9275.0
05.06.2022,RI,3583,375283,9274.0
04.06.2022,RI,3583,375283,9262.0
03.06.2022,RI,3583,375283,9256.0
02.06.2022,RI,3580,374686,9244.0
01.06.2022,RI,3579,374185,9235.0
31.05.2022,RI,3579,373605,9228.0
30.05.2022,RI,3577,373366,9221.0
29.05.2022,RI,3577,372108,9213.0
28.05.2022,RI,3577,372108,9205.0
27.05.2022,RI,3577,372108,9194.0
26.05.2022,RI,3569,371523,9177.0
25.05.2022,RI,3565,370844,9166.0
24.05.2022,RI,3565,370255,9153.0
23.05.2022,RI,3562,369532,9143.0
22.05.2022,RI,3562,368017,9133.0
21.05.2022,RI,3562,368017,9127.0
20.05.2022,RI,3562,368017,9117.0
19.05.2022,RI,3561,367145,9108.0
18.05.2022,RI,3561,366247,9094.0
17.05.2022,RI,3559,365248,9077.0
16.05.2022,RI,3554,364294,9061.0
15.05.2022,RI,3552,362446,9056.0
14.05.2022,RI,3552,362446,9046.0
13.05.2022,RI,3552,362446,9032.0
12.05.2022,RI,3548,361554,9012.0
11.05.2022,RI,3548,360689,8989.0
10.05.2022,RI,3547,359772,8975.0
09.05.2022,RI,3546,358931,8965.0
08.05.2022,RI,3544,357345,8959.0
07.05.2022,RI,3544,357345,8947.0
06.05.2022,RI,3544,357345,8940.0
05.05.2022,RI,3542,356568,8931.0
04.05.2022,RI,3541,355738,8924.0
03.05.2022,RI,3541,355067,8913.0
02.05.2022,RI,3540,354473,8899.0
01.05.2022,RI,3540,354164,8892.0
30.04.2022,RI,3540,353253,8884.0
29.04.2022,RI,3540,353253,8878.0
28.04.2022,RI,3538,352559,8867.0
27.04.2022,RI,3538,351980,8856.0
26.04.2022,RI,3538,351487,8849.0
25.04.2022,RI,3535,351015,8841.0
24.04.2022,RI,3532,350016,8836.0
23.04.2022,RI,3532,350016,8828.0
22.04.2022,RI,3532,350016,8826.0
21.04.2022,RI,3532,349665,8816.0
20.04.2022,RI,3532,349273,8811.0
19.04.2022,RI,3532,348955,8807.0
18.04.2022,RI,3529,348665,8798.0
17.04.2022,RI,3527,347821,8794.0
16.04.2022,RI,3527,347821,8791.0
15.04.2022,RI,3527,347821,8787.0
14.04.2022,RI,3527,347413,8778.0
13.04.2022,RI,3527,346959,8776.0
12.04.2022,RI,3527,346595,8767.0
11.04.2022,RI,3527,346194,8760.0
10.04.2022,RI,3525,345431,8758.0
09.04.2022,RI,3525,345431,8756.0
08.04.2022,RI,3525,345431,8751.0
07.04.2022,RI,3524,345060,8747.0
06.04.2022,RI,3524,344718,8742.0
05.04.2022,RI,3523,344361,8738.0
04.04.2022,RI,3522,344087,8733.0
03.04.2022,RI,3522,343580,8730.0
02.04.2022,RI,3522,343580,8723.0
01.04.2022,RI,3522,343580,8718.0
31.03.2022,RI,3522,343338,8711.0
30.03.2022,RI,3522,343093,8708.0
29.03.2022,RI,3522,342887,8704.0
28.03.2022,RI,3521,342748,8700.0
27.03.2022,RI,3438,342335,8699.0
26.03.2022,RI,3438,342335,8697.0
25.03.2022,RI,3438,342335,8695.0
24.03.2022,RI,3435,342176,8691.0
23.03.2022,RI,3433,341966,8687.0
22.03.2022,RI,3431,341765,8682.0
21.03.2022,RI,3431,341580,8678.0
20.03.2022,RI,3429,341271,8672.0
19.03.2022,RI,3429,341271,8671.0
18.03.2022,RI,3429,341087,8658.0
17.03.2022,RI,3429,341087,8654.0
16.03.2022,RI,3427,340884,8650.0
15.03.2022,RI,3423,340671,8643.0
14.03.2022,RI,3422,340463,8638.0
13.03.2022,RI,3421,340073,8637.0
12.03.2022,RI,3421,340073,8637.0
11.03.2022,RI,3421,340073,8631.0
10.03.2022,RI,3421,339906,8629.0
09.03.2022,RI,3419,339722,8625.0
