date,state,death,positive,hospitalized
22.06.2022,SC,17869,1481646,76227.0
21.06.2022,SC,17869,1481646,76120.0
20.06.2022,SC,17869,1481646,76002.0
19.06.2022,SC,17869,1481646,75942.0
18.06.2022,SC,17869,1481646,75897.0
17.06.2022,SC,17869,1481646,75854.0
16.06.2022,SC,17869,1481646,75809.0
15.06.2022,SC,17869,1481646,75754.0
14.06.2022,SC,17869,1481646,75699.0
13.06.2022,SC,17869,1481646,75624.0
12.06.2022,SC,17869,1481646,75552.0
11.06.2022,SC,17869,1481646,75507.0
10.06.2022,SC,17869,1481646,75449.0
09.06.2022,SC,17869,1481646,75392.0
08.06.2022,SC,17869,1481646,75322.0
07.06.2022,SC,17869,1481646,75266.0
06.06.2022,SC,17869,1481646,75224.0
05.06.2022,SC,17869,1481646,75176.0
04.06.2022,SC,17869,1481646,75135.0
03.06.2022,SC,17869,1481646,75094.0
02.06.2022,SC,17869,1481646,75039.0
01.06.2022,SC,17869,1481646,74982.0
31.05.2022,SC,17869,1481646,74936.0
30.05.2022,SC,17869,1481646,74900.0
29.05.2022,SC,17869,1481646,74868.0
28.05.2022,SC,17869,1481646,74830.0
27.05.2022,SC,17869,1481646,74797.0
26.05.2022,SC,17869,1481646,74762.0
25.05.2022,SC,17869,1481646,74713.0
24.05.2022,SC,17869,1481646,74671.0
23.05.2022,SC,17869,1481646,74631.0
22.05.2022,SC,17869,1481646,74592.0
21.05.2022,SC,17869,1481646,74551.0
20.05.2022,SC,17869,1481646,74511.0
19.05.2022,SC,17869,1481646,74466.0
18.05.2022,SC,17869,1481646,74425.0
17.05.2022,SC,17869,1481646,74378.0
16.05.2022,SC,17869,1481646,74332.0
15.05.2022,SC,17869,1481646,74289.0
14.05.2022,SC,17869,1481646,74263.0
13.05.2022,SC,17869,1481646,74235.0
12.05.2022,SC,17869,1481646,74207.0
11.05.2022,SC,17869,1481646,74181.0
10.05.2022,SC,17847,1477345,74166.0
09.05.2022,SC,17847,1477345,74153.0
08.05.2022,SC,17847,1477345,74130.0
07.05.2022,SC,17847,1477345,74114.0
06.05.2022,SC,17847,1477345,74092.0
05.05.2022,SC,17847,1477345,74068.0
04.05.2022,SC,17847,1477345,74046.0
03.05.2022,SC,17847,1477345,74025.0
02.05.2022,SC,17767,1474272,73999.0
01.05.2022,SC,17734,1472093,73980.0
30.04.2022,SC,17734,1472093,73959.0
29.04.2022,SC,17734,1472093,73946.0
28.04.2022,SC,17734,1472093,73928.0
27.04.2022,SC,17734,1472093,73910.0
26.04.2022,SC,17734,1472093,73896.0
25.04.2022,SC,17734,1472093,73878.0
24.04.2022,SC,17734,1472093,73867.0
23.04.2022,SC,17734,1472093,73855.0
22.04.2022,SC,17734,1472093,73847.0
21.04.2022,SC,17734,1472093,73833.0
20.04.2022,SC,17734,1472093,73823.0
19.04.2022,SC,17734,1472093,73805.0
18.04.2022,SC,17698,1470597,73789.0
17.04.2022,SC,17698,1470597,73774.0
16.04.2022,SC,17698,1470597,73768.0
15.04.2022,SC,17698,1470597,73762.0
14.04.2022,SC,17698,1470597,73751.0
13.04.2022,SC,17698,1470597,73740.0
12.04.2022,SC,17698,1470597,73723.0
11.04.2022,SC,17650,1469706,73714.0
10.04.2022,SC,17650,1469706,73703.0
09.04.2022,SC,17650,1469706,73694.0
08.04.2022,SC,17650,1469706,73682.0
07.04.2022,SC,17650,1469706,73673.0
06.04.2022,SC,17650,1469706,73664.0
05.04.2022,SC,17650,1469706,73652.0
04.04.2022,SC,17591,1468140,73641.0
03.04.2022,SC,17591,1468140,73633.0
02.04.2022,SC,17591,1468140,73623.0
01.04.2022,SC,17591,1468140,73611.0
31.03.2022,SC,17591,1468140,73599.0
30.03.2022,SC,17591,1468140,73589.0
29.03.2022,SC,17591,1468140,73575.0
28.03.2022,SC,17493,1467115,73558.0
27.03.2022,SC,17493,1467115,73548.0
26.03.2022,SC,17493,1467115,73535.0
25.03.2022,SC,17493,1467115,73523.0
24.03.2022,SC,17493,1467115,73507.0
23.03.2022,SC,17493,1467115,73490.0
22.03.2022,SC,17493,1467115,73469.0
21.03.2022,SC,17380,1465739,73445.0
20.03.2022,SC,17380,1465739,73427.0
19.03.2022,SC,17380,1465739,73409.0
18.03.2022,SC,17380,1465739,73386.0
17.03.2022,SC,17380,1465739,73362.0
16.03.2022,SC,17380,1465739,73337.0
15.03.2022,SC,17380,1465739,73324.0
14.03.2022,SC,17372,1465127,73291.0
13.03.2022,SC,17372,1465127,73269.0
12.03.2022,SC,17372,1465127,73246.0
11.03.2022,SC,17372,1465127,73213.0
10.03.2022,SC,17331,1464590,73185.0
09.03.2022,SC,17251,1464224,73144.0
08.03.2022,SC,17221,1463920,73098.0
07.03.2022,SC,17186,1463842,73059.0
06.03.2022,SC,16961,1462846,73019.0
05.03.2022,SC,16961,1462846,72982.0
04.03.2022,SC,16961,1462846,72940.0
03.03.2022,SC,16959,1462329,72893.0
02.03.2022,SC,16928,1461805,72830.0
01.03.2022,SC,16912,1461426,72765.0
28.02.2022,SC,16865,1461155,72707.0
27.02.2022,SC,16790,1459070,72657.0
26.02.2022,SC,16790,1459070,72604.0
25.02.2022,SC,16790,1459070,72545.0
24.02.2022,SC,16643,1458075,72477.0
23.02.2022,SC,16614,1456990,72395.0
22.02.2022,SC,16600,1455967,72309.0
21.02.2022,SC,16533,1449637,72227.0
20.02.2022,SC,16533,1449637,72164.0
19.02.2022,SC,16533,1449637,72068.0
18.02.2022,SC,16533,1449637,71980.0
17.02.2022,SC,16520,1447557,71857.0
16.02.2022,SC,16407,1445381,71720.0
15.02.2022,SC,16243,1443723,71613.0
14.02.2022,SC,16241,1442546,71485.0
13.02.2022,SC,16136,1431067,71366.0
