date,state,death,positive,hospitalized
22.06.2022,SD,2936,243269,15078.0
21.06.2022,SD,2931,242298,15064.0
20.06.2022,SD,2931,242298,15053.0
19.06.2022,SD,2931,242298,15041.0
18.06.2022,SD,2931,242298,15027.0
17.06.2022,SD,2931,242298,15017.0
16.06.2022,SD,2931,242298,15011.0
15.06.2022,SD,2931,242298,15000.0
14.06.2022,SD,2928,241326,14995.0
13.06.2022,SD,2928,241326,14985.0
12.06.2022,SD,2928,241326,14977.0
11.06.2022,SD,2928,241326,14971.0
10.06.2022,SD,2928,241326,14962.0
09.06.2022,SD,2928,241326,14954.0
08.06.2022,SD,2928,241326,14944.0
07.06.2022,SD,2928,240357,14931.0
06.06.2022,SD,2928,240357,14920.0
05.06.2022,SD,2928,240357,14914.0
04.06.2022,SD,2928,240357,14906.0
03.06.2022,SD,2928,240357,14902.0
02.06.2022,SD,2928,240357,14894.0
01.06.2022,SD,2928,240357,14888.0
31.05.2022,SD,2927,239704,14879.0
30.05.2022,SD,2927,239704,14872.0
29.05.2022,SD,2927,239704,14868.0
28.05.2022,SD,2927,239704,14859.0
27.05.2022,SD,2927,239704,14847.0
26.05.2022,SD,2927,239704,14840.0
25.05.2022,SD,2927,239704,14830.0
24.05.2022,SD,2919,239110,14826.0
23.05.2022,SD,2919,239110,14820.0
22.05.2022,SD,2919,239110,14817.0
21.05.2022,SD,2919,239110,14813.0
20.05.2022,SD,2919,239110,14809.0
19.05.2022,SD,2919,239110,14804.0
18.05.2022,SD,2919,239110,14800.0
17.05.2022,SD,2917,238635,14795.0
16.05.2022,SD,2917,238635,14791.0
15.05.2022,SD,2917,238635,14787.0
14.05.2022,SD,2917,238635,14781.0
13.05.2022,SD,2917,238635,14775.0
12.05.2022,SD,2917,238635,14770.0
11.05.2022,SD,2917,238635,14765.0
10.05.2022,SD,2915,238185,14756.0
09.05.2022,SD,2915,238185,14749.0
08.05.2022,SD,2915,238185,14744.0
07.05.2022,SD,2915,238185,14743.0
06.05.2022,SD,2915,238185,14739.0
05.05.2022,SD,2915,238185,14736.0
04.05.2022,SD,2915,238185,14732.0
03.05.2022,SD,2912,237812,14730.0
02.05.2022,SD,2912,237812,14727.0
01.05.2022,SD,2912,237812,14722.0
30.04.2022,SD,2912,237812,14722.0
29.04.2022,SD,2912,237812,14719.0
28.04.2022,SD,2912,237812,14712.0
27.04.2022,SD,2912,237812,14709.0
26.04.2022,SD,2901,237535,14708.0
25.04.2022,SD,2901,237535,14701.0
24.04.2022,SD,2901,237535,14701.0
23.04.2022,SD,2901,237535,14699.0
22.04.2022,SD,2901,237535,14692.0
21.04.2022,SD,2901,237535,14684.0
20.04.2022,SD,2901,237535,14680.0
19.04.2022,SD,2898,237370,14672.0
18.04.2022,SD,2898,237370,14668.0
17.04.2022,SD,2898,237370,14663.0
16.04.2022,SD,2898,237370,14663.0
15.04.2022,SD,2898,237370,14660.0
14.04.2022,SD,2898,237370,14655.0
13.04.2022,SD,2898,237370,14652.0
12.04.2022,SD,2893,237246,14647.0
11.04.2022,SD,2893,237246,14645.0
10.04.2022,SD,2893,237246,14643.0
09.04.2022,SD,2893,237246,14642.0
08.04.2022,SD,2893,237246,14638.0
07.04.2022,SD,2893,237246,14636.0
06.04.2022,SD,2893,237246,14634.0
05.04.2022,SD,2883,237109,14627.0
04.04.2022,SD,2883,237109,14623.0
03.04.2022,SD,2883,237109,14619.0
02.04.2022,SD,2883,237109,14617.0
01.04.2022,SD,2883,237109,14610.0
31.03.2022,SD,2883,237109,14607.0
30.03.2022,SD,2883,237109,14604.0
29.03.2022,SD,2880,236955,14603.0
28.03.2022,SD,2880,236955,14599.0
27.03.2022,SD,2880,236955,14597.0
26.03.2022,SD,2880,236955,14595.0
