date,state,death,positive,hospitalized
22.06.2022,TN,26623,2102106,105798.0
21.06.2022,TN,26623,2102106,105704.0
20.06.2022,TN,26620,2099949,105617.0
19.06.2022,TN,26616,2098739,105553.0
18.06.2022,TN,26616,2097432,105491.0
17.06.2022,TN,26595,2095300,105429.0
16.06.2022,TN,26580,2093124,105364.0
15.06.2022,TN,26555,2091206,105314.0
14.06.2022,TN,26550,2088710,105231.0
13.06.2022,TN,26543,2087122,105164.0
12.06.2022,TN,26539,2086066,105099.0
11.06.2022,TN,26539,2084877,105039.0
10.06.2022,TN,26510,2080690,104983.0
09.06.2022,TN,26508,2078703,104927.0
08.06.2022,TN,26508,2078703,104857.0
07.06.2022,TN,26494,2076331,104787.0
06.06.2022,TN,26494,2074559,104729.0
05.06.2022,TN,26491,2073457,104668.0
04.06.2022,TN,26491,2072214,104618.0
03.06.2022,TN,26490,2069954,104578.0
02.06.2022,TN,26489,2067975,104521.0
01.06.2022,TN,26483,2065616,104460.0
31.05.2022,TN,26478,2063978,104413.0
30.05.2022,TN,26477,2063190,104367.0
29.05.2022,TN,26477,2062186,104314.0
28.05.2022,TN,26477,2061069,104265.0
27.05.2022,TN,26464,2059277,104227.0
26.05.2022,TN,26435,2057460,104194.0
25.05.2022,TN,26403,2055759,104150.0
24.05.2022,TN,26403,2053638,104107.0
23.05.2022,TN,26380,2052464,104063.0
22.05.2022,TN,26371,2051730,104017.0
21.05.2022,TN,26371,2050723,103984.0
20.05.2022,TN,26369,2049117,103938.0
19.05.2022,TN,26310,2047484,103899.0
18.05.2022,TN,26299,2046273,103859.0
17.05.2022,TN,26267,2044573,103818.0
16.05.2022,TN,26264,2043468,103768.0
15.05.2022,TN,26263,2042731,103733.0
14.05.2022,TN,26263,2042185,103700.0
13.05.2022,TN,26269,2040949,103655.0
12.05.2022,TN,26265,2039822,103620.0
11.05.2022,TN,26260,2038706,103592.0
10.05.2022,TN,26240,2037550,103559.0
09.05.2022,TN,26209,2036657,103528.0
