date,state,death,positive,hospitalized
22.06.2022,TX,86996,7011829,500742.0
21.06.2022,TX,86996,7004422,500340.0
20.06.2022,TX,86996,6985661,499996.0
19.06.2022,TX,86996,6982294,499690.0
18.06.2022,TX,86996,6978196,499374.0
17.06.2022,TX,86996,6972408,499064.0
16.06.2022,TX,86981,6966714,498754.0
15.06.2022,TX,86971,6958529,498406.0
14.06.2022,TX,86954,6952232,498081.0
13.06.2022,TX,86939,6945370,497763.0
12.06.2022,TX,86932,6938079,497490.0
11.06.2022,TX,86922,6931577,497228.0
10.06.2022,TX,86914,6923445,496936.0
09.06.2022,TX,86895,6918577,496642.0
08.06.2022,TX,86895,6910264,496371.0
07.06.2022,TX,86895,6903403,496106.0
06.06.2022,TX,86894,6897838,495809.0
05.06.2022,TX,86862,6892204,495605.0
04.06.2022,TX,86862,6885481,495392.0
03.06.2022,TX,86837,6877243,495144.0
02.06.2022,TX,86837,6869724,494903.0
01.06.2022,TX,86837,6863419,494685.0
31.05.2022,TX,86837,6858543,494436.0
30.05.2022,TX,86837,6854683,494248.0
29.05.2022,TX,86827,6850431,494033.0
28.05.2022,TX,86819,6844485,493849.0
27.05.2022,TX,86817,6837611,493658.0
26.05.2022,TX,86816,6831898,493468.0
25.05.2022,TX,86791,6826242,493312.0
24.05.2022,TX,86791,6821995,493130.0
23.05.2022,TX,86791,6818332,492964.0
22.05.2022,TX,86791,6814829,492811.0
21.05.2022,TX,86785,6810208,492660.0
20.05.2022,TX,86765,6805220,492513.0
19.05.2022,TX,86765,6800315,492374.0
18.05.2022,TX,86758,6795406,492215.0
17.05.2022,TX,86758,6790676,492084.0
16.05.2022,TX,86757,6787461,491928.0
15.05.2022,TX,86750,6785855,491807.0
14.05.2022,TX,86723,6783425,491702.0
13.05.2022,TX,86723,6779929,491588.0
12.05.2022,TX,86701,6774057,491459.0
11.05.2022,TX,86701,6769833,491340.0
10.05.2022,TX,86701,6766749,491205.0
09.05.2022,TX,86700,6763864,491092.0
08.05.2022,TX,86687,6761711,490987.0
07.05.2022,TX,86672,6759528,490898.0
06.05.2022,TX,86646,6756355,490802.0
05.05.2022,TX,86635,6753419,490681.0
04.05.2022,TX,86619,6748847,490569.0
03.05.2022,TX,86619,6746102,490473.0
02.05.2022,TX,86618,6743900,490338.0
01.05.2022,TX,86618,6741593,490224.0
30.04.2022,TX,86589,6739875,490147.0
29.04.2022,TX,86567,6736951,490060.0
28.04.2022,TX,86567,6734179,489948.0
27.04.2022,TX,86567,6731450,489846.0
26.04.2022,TX,86533,6728959,489732.0
25.04.2022,TX,86532,6726374,489623.0
24.04.2022,TX,86532,6725359,489536.0
23.04.2022,TX,86514,6724014,489447.0
22.04.2022,TX,86498,6721352,489345.0
21.04.2022,TX,86468,6717715,489234.0
20.04.2022,TX,86468,6714873,489118.0
19.04.2022,TX,86468,6712347,489013.0
18.04.2022,TX,86414,6709228,488892.0
17.04.2022,TX,86414,6708211,488810.0
16.04.2022,TX,86396,6707263,488723.0
15.04.2022,TX,86368,6705420,488625.0
14.04.2022,TX,86368,6702423,488509.0
13.04.2022,TX,86368,6699405,488395.0
12.04.2022,TX,86327,6696151,488289.0
11.04.2022,TX,86327,6693738,488196.0
10.04.2022,TX,86326,6692405,488096.0
09.04.2022,TX,86309,6691401,488002.0
08.04.2022,TX,86241,6688566,487894.0
07.04.2022,TX,86241,6685984,487778.0
06.04.2022,TX,86181,6681962,487673.0
05.04.2022,TX,86181,6679357,487561.0
04.04.2022,TX,86181,6676958,487421.0
03.04.2022,TX,86172,6675881,487326.0
02.04.2022,TX,86134,6674810,487208.0
01.04.2022,TX,86133,6671647,487070.0
31.03.2022,TX,86075,6669013,486962.0
30.03.2022,TX,86029,6663137,486823.0
29.03.2022,TX,86029,6660640,486691.0
28.03.2022,TX,86027,6655436,486558.0
27.03.2022,TX,86024,6654977,486439.0
26.03.2022,TX,85946,6654552,486257.0
25.03.2022,TX,85868,6649411,486059.0
24.03.2022,TX,85764,6645121,485868.0
23.03.2022,TX,85764,6639014,485667.0
22.03.2022,TX,85764,6626632,485469.0
21.03.2022,TX,85764,6621379,485304.0
20.03.2022,TX,85701,6620575,485175.0
19.03.2022,TX,85568,6618153,485026.0
18.03.2022,TX,85399,6616597,484850.0
17.03.2022,TX,85399,6613467,484671.0
16.03.2022,TX,85399,6608537,484466.0
15.03.2022,TX,85399,6605761,484280.0
14.03.2022,TX,85320,6602737,484042.0
13.03.2022,TX,85211,6601878,483878.0
12.03.2022,TX,85123,6600601,483706.0
11.03.2022,TX,85049,6597153,483477.0
10.03.2022,TX,84882,6589275,483231.0
09.03.2022,TX,84882,6583747,482979.0
08.03.2022,TX,84882,6578556,482737.0
07.03.2022,TX,84779,6573567,482473.0
06.03.2022,TX,84645,6570340,482226.0
05.03.2022,TX,84645,6569683,481959.0
04.03.2022,TX,84418,6565395,481643.0
03.03.2022,TX,84224,6561554,481328.0
02.03.2022,TX,84224,6557619,480977.0
01.03.2022,TX,84224,6554035,480618.0
28.02.2022,TX,83997,6549206,480245.0
27.02.2022,TX,83897,6546256,479935.0
26.02.2022,TX,83693,6545177,479566.0
25.02.2022,TX,83549,6540116,479172.0
24.02.2022,TX,83271,6533512,478808.0
23.02.2022,TX,83271,6527652,478338.0
22.02.2022,TX,83267,6523116,477794.0
21.02.2022,TX,83118,6517258,477229.0
20.02.2022,TX,82887,6512240,476802.0
19.02.2022,TX,82627,6510356,476346.0
18.02.2022,TX,82435,6501313,475770.0
17.02.2022,TX,81844,6490838,475149.0
16.02.2022,TX,81844,6482436,474433.0
15.02.2022,TX,81844,6475736,473660.0
14.02.2022,TX,81842,6464783,472887.0
13.02.2022,TX,81557,6458425,472238.0
12.02.2022,TX,81258,6449575,471489.0
11.02.2022,TX,81030,6436773,470679.0
10.02.2022,TX,80566,6423519,469741.0
09.02.2022,TX,80310,6407921,468615.0
08.02.2022,TX,80310,6395334,467489.0
07.02.2022,TX,80309,6383581,466301.0
06.02.2022,TX,80003,6369286,465294.0
05.02.2022,TX,79710,6351228,464183.0
04.02.2022,TX,79429,6330497,463031.0
03.02.2022,TX,79135,6308728,461912.0
02.02.2022,TX,79135,6280583,460494.0
01.02.2022,TX,79131,6254867,458899.0
31.01.2022,TX,78978,6219346,457254.0
30.01.2022,TX,78652,6192817,455791.0
29.01.2022,TX,78358,6166582,454276.0
28.01.2022,TX,78160,6122432,452569.0
27.01.2022,TX,78159,6083750,450748.0
26.01.2022,TX,77780,6048954,448930.0
25.01.2022,TX,77779,6018220,446947.0
24.01.2022,TX,77768,5973164,444958.0
23.01.2022,TX,77319,5934240,443266.0
22.01.2022,TX,77056,5876122,441583.0
21.01.2022,TX,76904,5813105,439638.0
20.01.2022,TX,76443,5746859,437622.0
19.01.2022,TX,76443,5700444,435513.0
18.01.2022,TX,76443,5644397,433345.0
17.01.2022,TX,76440,5590444,431266.0
16.01.2022,TX,76431,5522176,429528.0
15.01.2022,TX,75633,5269803,427723.0
14.01.2022,TX,75633,5269803,425663.0
13.01.2022,TX,75633,5269803,423574.0
12.01.2022,TX,75633,5197935,421567.0
11.01.2022,TX,75633,5124393,419620.0
10.01.2022,TX,75630,5070532,417717.0
09.01.2022,TX,75624,5024812,415956.0
08.01.2022,TX,75507,4983636,414219.0
07.01.2022,TX,75270,4931307,412432.0
06.01.2022,TX,75270,4879370,410649.0
05.01.2022,TX,75111,4834899,408845.0
04.01.2022,TX,75108,4787832,407134.0
03.01.2022,TX,75103,4735786,405538.0
02.01.2022,TX,74987,4676780,404246.0
01.01.2022,TX,74866,4623373,403026.0
31.12.2021,TX,74778,4572523,401710.0
30.12.2021,TX,74561,4556874,400335.0
29.12.2021,TX,74474,4542004,399070.0
28.12.2021,TX,74474,4528070,397845.0
27.12.2021,TX,74474,4513443,396709.0
26.12.2021,TX,74470,4496411,395930.0
25.12.2021,TX,74382,4484200,395258.0
24.12.2021,TX,74381,4469274,394606.0
23.12.2021,TX,74312,4455596,393979.0
22.12.2021,TX,74075,4443427,393389.0
21.12.2021,TX,74074,4433483,392858.0
20.12.2021,TX,74074,4422495,392356.0
19.12.2021,TX,74068,4411993,391949.0
18.12.2021,TX,73981,4404668,391568.0
17.12.2021,TX,73901,4396723,391128.0
