date,state,death,positive,hospitalized
22.06.2022,UT,4806,968731,34675.0
21.06.2022,UT,4806,968731,34626.0
20.06.2022,UT,4806,968731,34588.0
19.06.2022,UT,4806,968731,34564.0
18.06.2022,UT,4806,968731,34534.0
17.06.2022,UT,4806,968731,34487.0
16.06.2022,UT,4806,968731,34448.0
15.06.2022,UT,4793,962209,34409.0
14.06.2022,UT,4793,962209,34360.0
13.06.2022,UT,4793,962209,34318.0
12.06.2022,UT,4793,962209,34296.0
11.06.2022,UT,4793,962209,34269.0
10.06.2022,UT,4793,962209,34216.0
09.06.2022,UT,4793,962209,34169.0
08.06.2022,UT,4781,954707,34136.0
07.06.2022,UT,4781,954707,34099.0
06.06.2022,UT,4781,954707,34089.0
05.06.2022,UT,4781,954707,34058.0
04.06.2022,UT,4781,954707,34038.0
03.06.2022,UT,4781,954707,34012.0
02.06.2022,UT,4777,948979,33990.0
01.06.2022,UT,4777,948979,33959.0
31.05.2022,UT,4777,948979,33934.0
30.05.2022,UT,4777,948979,33903.0
29.05.2022,UT,4777,948979,33884.0
28.05.2022,UT,4777,948979,33850.0
27.05.2022,UT,4777,948979,33822.0
26.05.2022,UT,4777,948979,33795.0
25.05.2022,UT,4765,943368,33761.0
24.05.2022,UT,4765,943368,33746.0
23.05.2022,UT,4765,943368,33716.0
22.05.2022,UT,4765,943368,33697.0
21.05.2022,UT,4765,943368,33684.0
20.05.2022,UT,4765,943368,33664.0
19.05.2022,UT,4765,943368,33638.0
18.05.2022,UT,4761,938864,33613.0
17.05.2022,UT,4761,938864,33590.0
16.05.2022,UT,4761,938864,33563.0
15.05.2022,UT,4761,938864,33549.0
14.05.2022,UT,4761,938864,33531.0
13.05.2022,UT,4761,938864,33515.0
12.05.2022,UT,4761,938864,33490.0
11.05.2022,UT,4760,935479,33473.0
10.05.2022,UT,4760,935479,33455.0
09.05.2022,UT,4760,935479,33441.0
08.05.2022,UT,4760,935479,33435.0
07.05.2022,UT,4760,935479,33420.0
06.05.2022,UT,4760,935479,33403.0
05.05.2022,UT,4760,935479,33391.0
04.05.2022,UT,4747,932253,33377.0
03.05.2022,UT,4747,932253,33359.0
02.05.2022,UT,4747,932253,33333.0
01.05.2022,UT,4747,932253,33327.0
30.04.2022,UT,4747,932253,33321.0
29.04.2022,UT,4747,932253,33309.0
28.04.2022,UT,4747,932253,33301.0
27.04.2022,UT,4740,930558,33287.0
