date,state,death,positive,hospitalized
22.06.2022,VT,679,134415,4188.0
21.06.2022,VT,679,134415,4180.0
20.06.2022,VT,679,134415,4178.0
19.06.2022,VT,679,134415,4174.0
18.06.2022,VT,679,134415,4171.0
17.06.2022,VT,679,134415,4167.0
16.06.2022,VT,679,134415,4161.0
15.06.2022,VT,679,134415,4155.0
14.06.2022,VT,679,134415,4151.0
13.06.2022,VT,673,133669,4143.0
12.06.2022,VT,673,133669,4137.0
11.06.2022,VT,673,133669,4129.0
10.06.2022,VT,673,133669,4126.0
09.06.2022,VT,673,133669,4120.0
08.06.2022,VT,673,133669,4113.0
07.06.2022,VT,673,133669,4105.0
06.06.2022,VT,670,132676,4102.0
05.06.2022,VT,670,132676,4097.0
04.06.2022,VT,670,132676,4094.0
03.06.2022,VT,670,132676,4085.0
02.06.2022,VT,670,132676,4072.0
01.06.2022,VT,670,132676,4065.0
31.05.2022,VT,670,132676,4057.0
30.05.2022,VT,661,131460,4053.0
29.05.2022,VT,661,131460,4047.0
28.05.2022,VT,661,131460,4042.0
27.05.2022,VT,661,131460,4036.0
26.05.2022,VT,661,131460,4025.0
25.05.2022,VT,661,131460,4015.0
24.05.2022,VT,661,131460,4006.0
23.05.2022,VT,654,129854,3994.0
22.05.2022,VT,654,129854,3987.0
21.05.2022,VT,654,129854,3978.0
20.05.2022,VT,654,129854,3967.0
19.05.2022,VT,654,129854,3960.0
18.05.2022,VT,654,129854,3952.0
17.05.2022,VT,654,129854,3943.0
16.05.2022,VT,654,129464,3932.0
15.05.2022,VT,652,129252,3923.0
14.05.2022,VT,648,128471,3915.0
13.05.2022,VT,648,128471,3905.0
12.05.2022,VT,648,128471,3881.0
11.05.2022,VT,648,128058,3877.0
10.05.2022,VT,648,127457,3868.0
09.05.2022,VT,648,127189,3862.0
08.05.2022,VT,644,126937,3853.0
07.05.2022,VT,642,126099,3845.0
06.05.2022,VT,642,126099,3828.0
05.05.2022,VT,642,126099,3818.0
04.05.2022,VT,642,125699,3807.0
03.05.2022,VT,639,125347,3795.0
02.05.2022,VT,639,124830,3773.0
01.05.2022,VT,639,124523,3756.0
30.04.2022,VT,637,123842,3745.0
29.04.2022,VT,637,123842,3729.0
28.04.2022,VT,637,123842,3714.0
27.04.2022,VT,634,123455,3691.0
26.04.2022,VT,630,123062,3669.0
25.04.2022,VT,629,122341,3655.0
24.04.2022,VT,629,122341,3645.0
23.04.2022,VT,629,121534,3635.0
22.04.2022,VT,629,121534,3626.0
21.04.2022,VT,629,121534,3608.0
20.04.2022,VT,626,121193,3596.0
19.04.2022,VT,626,120847,3584.0
18.04.2022,VT,626,120503,3573.0
17.04.2022,VT,623,120352,3565.0
16.04.2022,VT,623,119613,3562.0
15.04.2022,VT,623,119613,3557.0
14.04.2022,VT,623,119613,3551.0
13.04.2022,VT,623,119339,3546.0
12.04.2022,VT,623,118993,3540.0
11.04.2022,VT,623,118683,3531.0
10.04.2022,VT,623,118520,3523.0
09.04.2022,VT,620,117991,3519.0
08.04.2022,VT,620,117991,3512.0
07.04.2022,VT,620,117991,3502.0
06.04.2022,VT,620,117742,3493.0
05.04.2022,VT,620,117529,3484.0
04.04.2022,VT,620,117309,3481.0
03.04.2022,VT,619,117160,3477.0
02.04.2022,VT,617,116800,3475.0
01.04.2022,VT,617,116800,3468.0
31.03.2022,VT,617,116800,3463.0
30.03.2022,VT,617,116639,3458.0
29.03.2022,VT,617,116465,3452.0
28.03.2022,VT,617,116246,3451.0
27.03.2022,VT,615,116157,3447.0
26.03.2022,VT,615,115849,3445.0
25.03.2022,VT,615,115849,3439.0
24.03.2022,VT,615,115849,3436.0
23.03.2022,VT,615,115675,3431.0
22.03.2022,VT,614,115531,3423.0
21.03.2022,VT,613,115312,3418.0
20.03.2022,VT,611,115232,3415.0
19.03.2022,VT,611,114868,3409.0
18.03.2022,VT,611,114868,3403.0
17.03.2022,VT,611,114868,3394.0
16.03.2022,VT,611,114709,3387.0
