date,state,death,positive,hospitalized
22.06.2022,VA,20482,1846905,88485.0
21.06.2022,VA,20467,1844313,88395.0
20.06.2022,VA,20455,1841786,88312.0
19.06.2022,VA,20453,1835591,88249.0
18.06.2022,VA,20453,1835591,88146.0
17.06.2022,VA,20453,1835591,88037.0
16.06.2022,VA,20450,1832648,87934.0
15.06.2022,VA,20448,1830122,87833.0
14.06.2022,VA,20443,1827418,87735.0
13.06.2022,VA,20441,1824660,87630.0
12.06.2022,VA,20441,1817814,87547.0
11.06.2022,VA,20441,1817814,87471.0
10.06.2022,VA,20441,1817814,87370.0
09.06.2022,VA,20439,1814665,87253.0
08.06.2022,VA,20436,1811366,87140.0
07.06.2022,VA,20435,1808408,87033.0
06.06.2022,VA,20431,1805781,86944.0
05.06.2022,VA,20424,1797700,86867.0
04.06.2022,VA,20424,1797700,86785.0
03.06.2022,VA,20424,1797700,86689.0
02.06.2022,VA,20410,1793644,86591.0
01.06.2022,VA,20400,1790726,86496.0
31.05.2022,VA,20389,1787756,86394.0
30.05.2022,VA,20376,1777813,86312.0
29.05.2022,VA,20376,1777813,86239.0
28.05.2022,VA,20376,1777813,86165.0
27.05.2022,VA,20376,1777813,86080.0
26.05.2022,VA,20370,1774185,86007.0
25.05.2022,VA,20358,1770620,85915.0
24.05.2022,VA,20348,1767132,85837.0
23.05.2022,VA,20340,1763908,85743.0
22.05.2022,VA,20338,1755290,85661.0
21.05.2022,VA,20338,1755290,85580.0
20.05.2022,VA,20338,1755290,85485.0
19.05.2022,VA,20332,1751443,85393.0
18.05.2022,VA,20328,1747607,85310.0
17.05.2022,VA,20328,1744306,85231.0
16.05.2022,VA,20322,1740753,85146.0
15.05.2022,VA,20317,1733188,85083.0
14.05.2022,VA,20317,1733188,85030.0
13.05.2022,VA,20317,1733188,84974.0
12.05.2022,VA,20310,1729893,84905.0
11.05.2022,VA,20301,1726749,84835.0
10.05.2022,VA,20295,1723985,84765.0
09.05.2022,VA,20288,1721501,84703.0
08.05.2022,VA,20280,1715478,84653.0
07.05.2022,VA,20280,1715478,84601.0
06.05.2022,VA,20280,1715478,84537.0
05.05.2022,VA,20270,1712801,84484.0
04.05.2022,VA,20256,1710272,84421.0
03.05.2022,VA,20247,1707085,84367.0
02.05.2022,VA,20237,1705650,84333.0
01.05.2022,VA,20236,1701458,84297.0
30.04.2022,VA,20236,1701458,84266.0
29.04.2022,VA,20236,1701458,84234.0
28.04.2022,VA,20220,1699596,84202.0
27.04.2022,VA,20202,1697577,84167.0
26.04.2022,VA,20187,1695897,84137.0
25.04.2022,VA,20169,1694570,84105.0
24.04.2022,VA,20124,1689563,84079.0
23.04.2022,VA,20124,1689563,84043.0
22.04.2022,VA,20124,1689563,84001.0
21.04.2022,VA,20124,1689563,83960.0
20.04.2022,VA,20099,1688068,83921.0
19.04.2022,VA,20071,1686861,83873.0
18.04.2022,VA,20044,1685887,83837.0
17.04.2022,VA,20022,1683267,83816.0
16.04.2022,VA,20022,1683267,83795.0
15.04.2022,VA,20022,1683267,83776.0
14.04.2022,VA,19988,1681729,83745.0
13.04.2022,VA,19953,1680533,83719.0
12.04.2022,VA,19918,1679418,83687.0
11.04.2022,VA,19884,1678215,83662.0
10.04.2022,VA,19789,1673382,83642.0
09.04.2022,VA,19789,1673382,83624.0
08.04.2022,VA,19789,1673382,83594.0
07.04.2022,VA,19789,1673382,83571.0
06.04.2022,VA,19789,1673382,83542.0
05.04.2022,VA,19754,1672450,83523.0
04.04.2022,VA,19720,1671423,83499.0
03.04.2022,VA,19714,1669750,83481.0
02.04.2022,VA,19714,1669750,83455.0
01.04.2022,VA,19714,1669750,83418.0
31.03.2022,VA,19692,1668891,83379.0
30.03.2022,VA,19673,1668087,83360.0
29.03.2022,VA,19653,1667289,83329.0
28.03.2022,VA,19631,1666422,83301.0
27.03.2022,VA,19356,1656187,83266.0
26.03.2022,VA,19356,1656187,83241.0
25.03.2022,VA,19356,1656187,83213.0
24.03.2022,VA,19356,1656187,83184.0
23.03.2022,VA,19356,1656187,83147.0
22.03.2022,VA,19356,1656187,83115.0
21.03.2022,VA,19356,1656187,83087.0
20.03.2022,VA,19356,1656187,83056.0
19.03.2022,VA,19356,1656187,83023.0
18.03.2022,VA,19356,1656187,82977.0
17.03.2022,VA,19356,1656187,82927.0
16.03.2022,VA,19356,1656187,82889.0
15.03.2022,VA,19356,1656187,82850.0
14.03.2022,VA,19315,1654893,82791.0
13.03.2022,VA,19212,1653212,82753.0
12.03.2022,VA,19212,1653212,82707.0
11.03.2022,VA,19212,1653212,82660.0
10.03.2022,VA,19165,1651940,82609.0
09.03.2022,VA,18955,1645791,82565.0
08.03.2022,VA,18955,1645791,82509.0
07.03.2022,VA,18955,1645791,82449.0
06.03.2022,VA,18955,1645791,82403.0
05.03.2022,VA,18955,1645791,82362.0
04.03.2022,VA,18955,1645791,82297.0
03.03.2022,VA,18771,1639942,82228.0
02.03.2022,VA,18771,1639942,82162.0
01.03.2022,VA,18771,1639942,82073.0
28.02.2022,VA,18771,1639942,81983.0
27.02.2022,VA,18536,1636510,81923.0
26.02.2022,VA,18536,1636510,81865.0
25.02.2022,VA,18536,1636510,81753.0
24.02.2022,VA,18338,1632675,81648.0
23.02.2022,VA,18338,1632675,81542.0
22.02.2022,VA,17947,1619839,81412.0
21.02.2022,VA,17947,1619839,81281.0
20.02.2022,VA,17947,1619839,81192.0
19.02.2022,VA,17947,1619839,81083.0
18.02.2022,VA,17947,1619839,80945.0
17.02.2022,VA,17947,1619839,80801.0
16.02.2022,VA,17878,1616749,80635.0
15.02.2022,VA,17779,1613719,80469.0
14.02.2022,VA,17697,1610726,80293.0
13.02.2022,VA,17482,1602677,80126.0
12.02.2022,VA,17482,1602677,79973.0
11.02.2022,VA,17482,1602677,79776.0
10.02.2022,VA,17393,1598402,79566.0
09.02.2022,VA,17305,1593675,79360.0
08.02.2022,VA,17227,1588937,79109.0
07.02.2022,VA,17107,1584248,78870.0
06.02.2022,VA,16703,1572022,78685.0
05.02.2022,VA,16703,1572022,78475.0
04.02.2022,VA,16703,1572022,78188.0
03.02.2022,VA,16548,1565522,77921.0
02.02.2022,VA,16412,1558383,77608.0
01.02.2022,VA,16252,1551705,77355.0
31.01.2022,VA,16217,1545650,77028.0
30.01.2022,VA,16127,1525603,76769.0
29.01.2022,VA,16127,1525603,76494.0
28.01.2022,VA,16127,1525603,76136.0
27.01.2022,VA,16088,1514862,75800.0
26.01.2022,VA,16052,1503119,75459.0
25.01.2022,VA,16002,1491993,75049.0
24.01.2022,VA,15948,1481294,74635.0
23.01.2022,VA,15852,1451713,74279.0
22.01.2022,VA,15852,1451713,73922.0
21.01.2022,VA,15852,1451713,73533.0
20.01.2022,VA,15853,1434686,73062.0
19.01.2022,VA,15835,1419883,72544.0
18.01.2022,VA,15822,1407403,72070.0
17.01.2022,VA,15814,1397155,71654.0
16.01.2022,VA,15803,1351417,71303.0
15.01.2022,VA,15803,1351417,70931.0
14.01.2022,VA,15803,1351417,70482.0
13.01.2022,VA,15785,1334198,69998.0
12.01.2022,VA,15750,1315256,69544.0
11.01.2022,VA,15715,1295420,69076.0
10.01.2022,VA,15671,1278739,68588.0
09.01.2022,VA,15651,1221036,68132.0
08.01.2022,VA,15651,1221036,67675.0
07.01.2022,VA,15651,1221036,67207.0
06.01.2022,VA,15642,1202727,66702.0
05.01.2022,VA,15631,1186887,66172.0
04.01.2022,VA,15622,1176159,65695.0
03.01.2022,VA,15615,1160703,65303.0
02.01.2022,VA,15587,1118518,64923.0
01.01.2022,VA,15587,1118518,64580.0
31.12.2021,VA,15587,1118518,64245.0
30.12.2021,VA,15565,1100900,63859.0
29.12.2021,VA,15541,1087400,63511.0
28.12.2021,VA,15504,1075288,63188.0
27.12.2021,VA,15319,1067849,62886.0
26.12.2021,VA,15294,1049336,62642.0
25.12.2021,VA,15294,1049336,62431.0
24.12.2021,VA,15294,1049336,62276.0
23.12.2021,VA,15257,1040580,62089.0
22.12.2021,VA,15224,1034107,61879.0
21.12.2021,VA,15174,1028135,61706.0
20.12.2021,VA,15136,1023698,61517.0
19.12.2021,VA,15083,1013390,61363.0
18.12.2021,VA,15083,1013390,61240.0
17.12.2021,VA,15083,1013390,61082.0
16.12.2021,VA,15055,1009933,60904.0
15.12.2021,VA,15025,1006245,60740.0
14.12.2021,VA,14992,1003110,60583.0
13.12.2021,VA,14957,1000694,60417.0
12.12.2021,VA,14895,994069,60294.0
11.12.2021,VA,14895,994069,60151.0
10.12.2021,VA,14895,994069,60008.0
09.12.2021,VA,14868,991221,59834.0
08.12.2021,VA,14838,988147,59681.0
07.12.2021,VA,14798,985297,59547.0
06.12.2021,VA,14771,983055,59351.0
05.12.2021,VA,14753,976599,59211.0
04.12.2021,VA,14753,976599,59085.0
03.12.2021,VA,14753,976599,58930.0
02.12.2021,VA,14741,974001,58800.0
01.12.2021,VA,14730,971529,58690.0
30.11.2021,VA,14710,969116,58585.0
29.11.2021,VA,14684,967209,58470.0
28.11.2021,VA,14635,963739,58358.0
27.11.2021,VA,14635,963739,58272.0
26.11.2021,VA,14635,963739,58171.0
25.11.2021,VA,14616,962472,58093.0
24.11.2021,VA,14597,960691,57980.0
23.11.2021,VA,14573,959156,57893.0
22.11.2021,VA,14548,957570,57780.0
21.11.2021,VA,14492,953460,57664.0
20.11.2021,VA,14492,953460,57582.0
19.11.2021,VA,14492,953460,57489.0
18.11.2021,VA,14469,951698,57405.0
17.11.2021,VA,14443,949803,57323.0
16.11.2021,VA,14422,947271,57239.0
15.11.2021,VA,14392,946061,57165.0
14.11.2021,VA,14321,942837,57090.0
13.11.2021,VA,14321,942837,57016.0
12.11.2021,VA,14321,942837,56934.0
11.11.2021,VA,14294,941371,56844.0
10.11.2021,VA,14261,939783,56761.0
09.11.2021,VA,14225,938376,56674.0
08.11.2021,VA,14190,936928,56580.0
07.11.2021,VA,14125,933542,56494.0
06.11.2021,VA,14125,933542,56408.0
05.11.2021,VA,14125,933542,56321.0
04.11.2021,VA,14089,932173,56248.0
03.11.2021,VA,14052,930679,56158.0
02.11.2021,VA,14020,929244,56069.0
01.11.2021,VA,13984,927999,55977.0
31.10.2021,VA,13907,924771,55896.0
30.10.2021,VA,13907,924771,55818.0
29.10.2021,VA,13907,924771,55727.0
28.10.2021,VA,13870,923125,55634.0
27.10.2021,VA,13827,921630,55534.0
26.10.2021,VA,13793,919999,55437.0
25.10.2021,VA,13745,918700,55328.0
24.10.2021,VA,13668,914755,55239.0
23.10.2021,VA,13668,914755,55136.0
22.10.2021,VA,13668,914755,55016.0
21.10.2021,VA,13624,913100,54896.0
20.10.2021,VA,13585,911321,54778.0
19.10.2021,VA,13538,909499,54667.0
18.10.2021,VA,13486,907882,54559.0
17.10.2021,VA,13391,902938,54450.0
16.10.2021,VA,13391,902938,54329.0
15.10.2021,VA,13391,902938,54198.0
14.10.2021,VA,13345,900581,54065.0
13.10.2021,VA,13285,897978,53927.0
12.10.2021,VA,13219,895619,53786.0
11.10.2021,VA,13075,888159,53625.0
10.10.2021,VA,13075,888159,53473.0
09.10.2021,VA,13075,888159,53366.0
08.10.2021,VA,13075,888159,53224.0
07.10.2021,VA,13031,885323,53088.0
06.10.2021,VA,12999,882437,52938.0
05.10.2021,VA,12955,878518,52764.0
04.10.2021,VA,12908,877090,52574.0
03.10.2021,VA,12806,869328,52438.0
02.10.2021,VA,12806,869328,52306.0
01.10.2021,VA,12806,869328,52147.0
30.09.2021,VA,12750,866776,51960.0
29.09.2021,VA,12696,863644,51775.0
28.09.2021,VA,12647,860493,51620.0
27.09.2021,VA,12592,857852,51461.0
26.09.2021,VA,12511,849865,51259.0
25.09.2021,VA,12511,849865,51069.0
24.09.2021,VA,12511,849865,50875.0
23.09.2021,VA,12463,846979,50657.0
22.09.2021,VA,12409,843212,50453.0
21.09.2021,VA,12364,839475,50236.0
20.09.2021,VA,12312,836140,50038.0
19.09.2021,VA,12242,827197,49866.0
18.09.2021,VA,12242,827197,49664.0
17.09.2021,VA,12242,827197,49446.0
16.09.2021,VA,12207,822985,49216.0
15.09.2021,VA,12170,818804,48991.0
14.09.2021,VA,12118,814738,48768.0
13.09.2021,VA,12089,811079,48565.0
12.09.2021,VA,12036,801827,48386.0
11.09.2021,VA,12036,801827,48192.0
10.09.2021,VA,12036,801827,48020.0
09.09.2021,VA,11977,793396,47807.0
08.09.2021,VA,11977,793396,47616.0
07.09.2021,VA,11947,788917,47394.0
06.09.2021,VA,11929,786910,47156.0
05.09.2021,VA,11899,778167,46961.0
