date,state,death,positive,hospitalized
22.06.2022,WA,13156,1640182,54070.0
21.06.2022,WA,13115,1628383,53964.0
20.06.2022,WA,13115,1628383,53880.0
19.06.2022,WA,13115,1628383,53789.0
18.06.2022,WA,13115,1628383,53710.0
17.06.2022,WA,13115,1628383,53620.0
16.06.2022,WA,13084,1622214,53540.0
15.06.2022,WA,13084,1622214,53454.0
14.06.2022,WA,13056,1617208,53372.0
13.06.2022,WA,13056,1617208,53290.0
12.06.2022,WA,13046,1610793,53210.0
11.06.2022,WA,13046,1610793,53152.0
10.06.2022,WA,13046,1610793,53088.0
09.06.2022,WA,13020,1605181,53006.0
08.06.2022,WA,13020,1605181,52931.0
07.06.2022,WA,12986,1600084,52835.0
06.06.2022,WA,12986,1600084,52773.0
05.06.2022,WA,12968,1591654,52692.0
04.06.2022,WA,12968,1591654,52624.0
03.06.2022,WA,12968,1591654,52528.0
02.06.2022,WA,12946,1583206,52436.0
01.06.2022,WA,12946,1583206,52343.0
31.05.2022,WA,12919,1573651,52243.0
30.05.2022,WA,12919,1573651,52172.0
29.05.2022,WA,12919,1573651,52113.0
28.05.2022,WA,12919,1573651,52041.0
27.05.2022,WA,12919,1573651,51949.0
26.05.2022,WA,12888,1565696,51870.0
25.05.2022,WA,12888,1565696,51781.0
24.05.2022,WA,12872,1559662,51704.0
23.05.2022,WA,12872,1559662,51626.0
22.05.2022,WA,12863,1552956,51552.0
21.05.2022,WA,12863,1552956,51501.0
20.05.2022,WA,12863,1552956,51442.0
19.05.2022,WA,12833,1544119,51354.0
18.05.2022,WA,12833,1544119,51255.0
17.05.2022,WA,12812,1538228,51172.0
16.05.2022,WA,12812,1538228,51081.0
15.05.2022,WA,12791,1530430,51014.0
14.05.2022,WA,12791,1530430,50916.0
13.05.2022,WA,12791,1530430,50823.0
12.05.2022,WA,12770,1524078,50743.0
11.05.2022,WA,12770,1524078,50651.0
10.05.2022,WA,12742,1519327,50576.0
09.05.2022,WA,12742,1519327,50509.0
08.05.2022,WA,12716,1508065,50458.0
07.05.2022,WA,12716,1508065,50398.0
06.05.2022,WA,12716,1508065,50346.0
05.05.2022,WA,12716,1508065,50288.0
04.05.2022,WA,12703,1498116,50224.0
03.05.2022,WA,12703,1498116,50164.0
02.05.2022,WA,12703,1498116,50103.0
01.05.2022,WA,12703,1498116,50046.0
30.04.2022,WA,12703,1498116,49980.0
29.04.2022,WA,12703,1498116,49934.0
28.04.2022,WA,12686,1493194,49885.0
27.04.2022,WA,12686,1493194,49842.0
26.04.2022,WA,12668,1489316,49801.0
25.04.2022,WA,12668,1489316,49755.0
24.04.2022,WA,12657,1483332,49719.0
23.04.2022,WA,12657,1483332,49687.0
22.04.2022,WA,12657,1483332,49647.0
21.04.2022,WA,12650,1479559,49612.0
20.04.2022,WA,12650,1479559,49573.0
19.04.2022,WA,12626,1477863,49545.0
18.04.2022,WA,12626,1477863,49510.0
17.04.2022,WA,12619,1474548,49466.0
16.04.2022,WA,12619,1474548,49437.0
15.04.2022,WA,12619,1474548,49404.0
14.04.2022,WA,12589,1471754,49365.0
13.04.2022,WA,12589,1471754,49341.0
12.04.2022,WA,12566,1467059,49309.0
11.04.2022,WA,12566,1467059,49282.0
10.04.2022,WA,12566,1467059,49261.0
09.04.2022,WA,12566,1467059,49233.0
08.04.2022,WA,12566,1467059,49215.0
07.04.2022,WA,12544,1464398,49188.0
06.04.2022,WA,12544,1464398,49164.0
05.04.2022,WA,12544,1464398,49135.0
04.04.2022,WA,12515,1458424,49117.0
03.04.2022,WA,12510,1456264,49078.0
02.04.2022,WA,12510,1456264,49060.0
01.04.2022,WA,12510,1456264,49034.0
31.03.2022,WA,12478,1454772,49019.0
30.03.2022,WA,12478,1454772,48988.0
