date,state,death,positive,hospitalized
22.06.2022,WV,7018,528049,31430.0
21.06.2022,WV,7018,527437,31403.0
20.06.2022,WV,7017,525086,31370.0
19.06.2022,WV,7017,525086,31349.0
18.06.2022,WV,7017,525086,31324.0
17.06.2022,WV,7017,525086,31303.0
16.06.2022,WV,7017,525086,31269.0
15.06.2022,WV,7016,524432,31241.0
14.06.2022,WV,7013,523876,31220.0
13.06.2022,WV,7001,523367,31193.0
12.06.2022,WV,6999,522061,31167.0
11.06.2022,WV,6999,522061,31138.0
10.06.2022,WV,6999,522061,31109.0
09.06.2022,WV,6998,521543,31077.0
08.06.2022,WV,6997,520896,31038.0
07.06.2022,WV,6993,520264,30988.0
06.06.2022,WV,6977,519762,30967.0
05.06.2022,WV,6974,518061,30939.0
04.06.2022,WV,6974,518061,30909.0
03.06.2022,WV,6974,518061,30870.0
02.06.2022,WV,6971,517249,30841.0
01.06.2022,WV,6962,516553,30807.0
31.05.2022,WV,6948,515925,30774.0
30.05.2022,WV,6945,513953,30745.0
29.05.2022,WV,6945,513953,30722.0
28.05.2022,WV,6945,513953,30695.0
27.05.2022,WV,6945,513953,30667.0
26.05.2022,WV,6942,513305,30636.0
25.05.2022,WV,6933,512571,30608.0
24.05.2022,WV,6918,511382,30585.0
23.05.2022,WV,6918,511382,30559.0
22.05.2022,WV,6915,509251,30545.0
21.05.2022,WV,6915,509251,30523.0
20.05.2022,WV,6915,509251,30497.0
19.05.2022,WV,6912,508538,30475.0
18.05.2022,WV,6905,507678,30451.0
17.05.2022,WV,6903,507238,30425.0
16.05.2022,WV,6895,506833,30401.0
15.05.2022,WV,6893,505528,30381.0
14.05.2022,WV,6893,505528,30354.0
13.05.2022,WV,6893,505528,30340.0
12.05.2022,WV,6893,505037,30314.0
11.05.2022,WV,6886,504510,30289.0
10.05.2022,WV,6882,503807,30265.0
09.05.2022,WV,6882,503807,30247.0
08.05.2022,WV,6880,502930,30233.0
07.05.2022,WV,6880,502930,30219.0
06.05.2022,WV,6880,502930,30197.0
05.05.2022,WV,6879,502566,30179.0
04.05.2022,WV,6872,502192,30161.0
03.05.2022,WV,6870,501968,30147.0
02.05.2022,WV,6857,501743,30130.0
01.05.2022,WV,6856,501204,30118.0
30.04.2022,WV,6856,501204,30105.0
29.04.2022,WV,6856,501204,30084.0
28.04.2022,WV,6855,500972,30071.0
27.04.2022,WV,6851,500697,30052.0
26.04.2022,WV,6845,500444,30035.0
25.04.2022,WV,6824,500228,30023.0
24.04.2022,WV,6823,499796,30012.0
23.04.2022,WV,6823,499796,30006.0
22.04.2022,WV,6823,499796,29994.0
21.04.2022,WV,6822,499619,29988.0
20.04.2022,WV,6807,499445,29976.0
19.04.2022,WV,6804,499288,29967.0
18.04.2022,WV,6796,499193,29956.0
17.04.2022,WV,6794,498890,29946.0
16.04.2022,WV,6794,498890,29935.0
15.04.2022,WV,6794,498890,29920.0
14.04.2022,WV,6791,498773,29912.0
13.04.2022,WV,6777,498643,29899.0
12.04.2022,WV,6774,498618,29884.0
11.04.2022,WV,6755,498542,29875.0
10.04.2022,WV,6753,498414,29868.0
09.04.2022,WV,6753,498414,29859.0
08.04.2022,WV,6753,498414,29855.0
07.04.2022,WV,6749,498322,29849.0
06.04.2022,WV,6741,498235,29834.0
05.04.2022,WV,6716,498128,29827.0
04.04.2022,WV,6835,497864,29816.0
03.04.2022,WV,6835,497864,29807.0
02.04.2022,WV,6835,497864,29793.0
01.04.2022,WV,6835,497864,29782.0
31.03.2022,WV,6831,497769,29764.0
30.03.2022,WV,6823,497681,29749.0
29.03.2022,WV,6794,497553,29725.0
28.03.2022,WV,6743,497459,29711.0
27.03.2022,WV,6739,497230,29696.0
26.03.2022,WV,6739,497230,29688.0
25.03.2022,WV,6739,497230,29671.0
24.03.2022,WV,6687,497111,29653.0
23.03.2022,WV,6680,496983,29623.0
22.03.2022,WV,6660,496838,29606.0
21.03.2022,WV,6651,496748,29587.0
20.03.2022,WV,6646,496409,29575.0
19.03.2022,WV,6646,496409,29560.0
18.03.2022,WV,6646,496409,29547.0
17.03.2022,WV,6635,496182,29525.0
16.03.2022,WV,6622,495960,29504.0
15.03.2022,WV,6598,495728,29478.0
14.03.2022,WV,6559,495539,29451.0
13.03.2022,WV,6550,494875,29439.0
12.03.2022,WV,6550,494875,29422.0
11.03.2022,WV,6550,494875,29401.0
10.03.2022,WV,6544,494406,29381.0
09.03.2022,WV,6488,494030,29347.0
08.03.2022,WV,6470,493653,29311.0
07.03.2022,WV,6452,493361,29266.0
06.03.2022,WV,6440,492276,29239.0
05.03.2022,WV,6440,492276,29209.0
04.03.2022,WV,6440,492276,29158.0
03.03.2022,WV,6427,491698,29118.0
02.03.2022,WV,6381,491042,29084.0
01.03.2022,WV,6339,490544,29036.0
28.02.2022,WV,6317,490111,28982.0
27.02.2022,WV,6308,488359,28932.0
26.02.2022,WV,6308,488359,28888.0
25.02.2022,WV,6308,488359,28832.0
24.02.2022,WV,6288,487446,28754.0
23.02.2022,WV,6250,486206,28696.0
22.02.2022,WV,6219,485498,28621.0
21.02.2022,WV,6183,484923,28562.0
20.02.2022,WV,6162,481818,28497.0
19.02.2022,WV,6162,481818,28444.0
18.02.2022,WV,6162,481818,28373.0
17.02.2022,WV,6146,480692,28301.0
16.02.2022,WV,6104,479214,28222.0
15.02.2022,WV,6067,477935,28137.0
14.02.2022,WV,6023,476957,28059.0
13.02.2022,WV,5992,472928,27984.0
12.02.2022,WV,5992,472928,27906.0
11.02.2022,WV,5992,472928,27812.0
10.02.2022,WV,5966,470807,27725.0
09.02.2022,WV,5939,468391,27627.0
08.02.2022,WV,5900,466125,27520.0
07.02.2022,WV,5877,464630,27405.0
06.02.2022,WV,5846,458112,27305.0
05.02.2022,WV,5846,458112,27214.0
04.02.2022,WV,5846,458112,27124.0
03.02.2022,WV,5829,455201,27007.0
02.02.2022,WV,5814,451910,26873.0
01.02.2022,WV,5778,448922,26731.0
31.01.2022,WV,5763,446771,26611.0
30.01.2022,WV,5743,438889,26503.0
29.01.2022,WV,5743,438889,26390.0
28.01.2022,WV,5743,438889,26272.0
27.01.2022,WV,5697,434221,26132.0
26.01.2022,WV,5674,429016,25976.0
25.01.2022,WV,5650,425013,25813.0
24.01.2022,WV,5645,422265,25676.0
23.01.2022,WV,5609,407131,25570.0
22.01.2022,WV,5609,407131,25441.0
21.01.2022,WV,5609,407131,25322.0
20.01.2022,WV,5590,401796,25195.0
19.01.2022,WV,5576,396343,25052.0
18.01.2022,WV,5561,392737,24927.0
17.01.2022,WV,5535,390788,24810.0
16.01.2022,WV,5516,377735,24717.0
15.01.2022,WV,5516,377735,24620.0
14.01.2022,WV,5516,377735,24501.0
13.01.2022,WV,5503,372674,24403.0
12.01.2022,WV,5481,367217,24297.0
11.01.2022,WV,5452,362777,24182.0
10.01.2022,WV,5445,360269,24089.0
09.01.2022,WV,5421,351688,23985.0
08.01.2022,WV,5421,351688,23880.0
07.01.2022,WV,5421,351688,23788.0
06.01.2022,WV,5391,347276,23694.0
05.01.2022,WV,5372,342607,23585.0
04.01.2022,WV,5361,339679,23477.0
03.01.2022,WV,5356,337326,23397.0
02.01.2022,WV,5336,328162,23319.0
01.01.2022,WV,5336,328162,23238.0
31.12.2021,WV,5336,328162,23153.0
30.12.2021,WV,5336,328162,23070.0
29.12.2021,WV,5305,325514,22985.0
28.12.2021,WV,5288,323538,22890.0
27.12.2021,WV,5260,322485,22795.0
26.12.2021,WV,5251,319035,22717.0
25.12.2021,WV,5251,319035,22658.0
24.12.2021,WV,5251,319035,22597.0
23.12.2021,WV,5251,319035,22533.0
22.12.2021,WV,5242,317540,22464.0
21.12.2021,WV,5211,316391,22412.0
20.12.2021,WV,5191,315571,22337.0
19.12.2021,WV,5164,312692,22279.0
18.12.2021,WV,5164,312692,22238.0
17.12.2021,WV,5164,312692,22174.0
16.12.2021,WV,5142,311524,22116.0
15.12.2021,WV,5142,310245,22059.0
14.12.2021,WV,5114,308985,21998.0
13.12.2021,WV,5107,308204,21923.0
12.12.2021,WV,5085,305418,21869.0
11.12.2021,WV,5085,305418,21806.0
10.12.2021,WV,5085,305418,21734.0
09.12.2021,WV,5055,304355,21651.0
08.12.2021,WV,5036,303173,21567.0
07.12.2021,WV,5021,302120,21490.0
06.12.2021,WV,4990,301349,21405.0
05.12.2021,WV,4962,298659,21337.0
04.12.2021,WV,4962,298659,21297.0
03.12.2021,WV,4962,298659,21232.0
02.12.2021,WV,4945,297415,21166.0
01.12.2021,WV,4895,295949,21096.0
30.11.2021,WV,4868,294794,21044.0
29.11.2021,WV,4837,294014,20991.0
28.11.2021,WV,4817,290909,20933.0
27.11.2021,WV,4817,290909,20880.0
26.11.2021,WV,4817,290909,20823.0
25.11.2021,WV,4817,290909,20772.0
24.11.2021,WV,4817,290909,20722.0
23.11.2021,WV,4770,290026,20669.0
22.11.2021,WV,4757,289524,20620.0
21.11.2021,WV,4726,287612,20563.0
20.11.2021,WV,4726,287612,20509.0
19.11.2021,WV,4726,287612,20452.0
18.11.2021,WV,4717,286249,20401.0
17.11.2021,WV,4698,285120,20341.0
16.11.2021,WV,4698,285120,20283.0
15.11.2021,WV,4636,283561,20224.0
14.11.2021,WV,4610,281865,20173.0
13.11.2021,WV,4610,281865,20133.0
12.11.2021,WV,4610,281865,20074.0
11.11.2021,WV,4610,280727,20020.0
10.11.2021,WV,4592,279694,19961.0
09.11.2021,WV,4568,278837,19916.0
08.11.2021,WV,4548,278578,19857.0
07.11.2021,WV,4518,276267,19814.0
06.11.2021,WV,4518,276267,19765.0
05.11.2021,WV,4518,276267,19715.0
04.11.2021,WV,4511,275396,19650.0
03.11.2021,WV,4490,274508,19606.0
02.11.2021,WV,4475,273659,19546.0
01.11.2021,WV,4450,273030,19487.0
31.10.2021,WV,4426,270984,19440.0
30.10.2021,WV,4426,270984,19400.0
29.10.2021,WV,4426,270984,19343.0
28.10.2021,WV,4409,270082,19272.0
27.10.2021,WV,4346,269131,19206.0
26.10.2021,WV,4316,268112,19146.0
25.10.2021,WV,4292,267398,19084.0
24.10.2021,WV,4263,265006,19036.0
23.10.2021,WV,4263,265006,18978.0
22.10.2021,WV,4263,265006,18913.0
21.10.2021,WV,4238,264002,18861.0
20.10.2021,WV,4219,262902,18787.0
19.10.2021,WV,4145,261890,18717.0
18.10.2021,WV,4134,261133,18638.0
17.10.2021,WV,4108,258413,18584.0
16.10.2021,WV,4108,258413,18535.0
15.10.2021,WV,4108,258413,18462.0
14.10.2021,WV,4048,257042,18395.0
13.10.2021,WV,3998,255778,18299.0
12.10.2021,WV,3995,254648,18210.0
11.10.2021,WV,3976,253895,18133.0
10.10.2021,WV,3866,249331,18063.0
09.10.2021,WV,3866,249331,17997.0
08.10.2021,WV,3866,249331,17905.0
07.10.2021,WV,3866,249331,17804.0
06.10.2021,WV,3839,247806,17712.0
05.10.2021,WV,3774,246408,17619.0
04.10.2021,WV,3769,245544,17530.0
03.10.2021,WV,3722,242104,17463.0
02.10.2021,WV,3722,242104,17384.0
01.10.2021,WV,3722,242104,17297.0
30.09.2021,WV,3578,237002,17189.0
29.09.2021,WV,3578,237002,17070.0
28.09.2021,WV,3578,237002,16978.0
27.09.2021,WV,3568,235965,16871.0
