date,state,death,positive,hospitalized
22.06.2022,WI,14746,1714060,103015.0
21.06.2022,WI,14746,1712119,102953.0
20.06.2022,WI,14745,1710493,102872.0
19.06.2022,WI,14744,1709607,102802.0
18.06.2022,WI,14744,1708431,102755.0
17.06.2022,WI,14744,1706521,102683.0
16.06.2022,WI,14740,1704995,102621.0
15.06.2022,WI,14738,1703045,102552.0
14.06.2022,WI,14734,1701157,102475.0
13.06.2022,WI,14720,1699596,102419.0
12.06.2022,WI,14711,1698597,102358.0
11.06.2022,WI,14699,1697462,102305.0
10.06.2022,WI,14699,1695691,102235.0
09.06.2022,WI,14680,1694026,102165.0
08.06.2022,WI,14680,1691928,102101.0
07.06.2022,WI,14679,1689882,102023.0
06.06.2022,WI,14679,1687770,101942.0
05.06.2022,WI,14659,1686786,101889.0
04.06.2022,WI,14659,1685296,101828.0
03.06.2022,WI,14656,1683199,101769.0
02.06.2022,WI,14639,1680307,101702.0
01.06.2022,WI,14638,1677242,101617.0
31.05.2022,WI,14637,1675427,101541.0
30.05.2022,WI,14635,1674370,101484.0
29.05.2022,WI,14633,1673283,101431.0
28.05.2022,WI,14620,1671675,101381.0
27.05.2022,WI,14598,1669526,101315.0
26.05.2022,WI,14598,1667256,101245.0
25.05.2022,WI,14584,1664632,101177.0
24.05.2022,WI,14583,1661752,101100.0
23.05.2022,WI,14582,1659614,101044.0
22.05.2022,WI,14579,1658491,100990.0
21.05.2022,WI,14569,1656917,100930.0
20.05.2022,WI,14531,1654808,100861.0
19.05.2022,WI,14531,1652277,100802.0
18.05.2022,WI,14531,1649466,100738.0
17.05.2022,WI,14528,1646870,100682.0
16.05.2022,WI,14527,1644589,100615.0
15.05.2022,WI,14515,1643404,100551.0
14.05.2022,WI,14507,1641769,100478.0
13.05.2022,WI,14506,1639146,100393.0
12.05.2022,WI,14502,1636394,100319.0
11.05.2022,WI,14502,1633220,100239.0
10.05.2022,WI,14500,1630189,100169.0
09.05.2022,WI,14499,1627714,100104.0
08.05.2022,WI,14496,1626680,100061.0
07.05.2022,WI,14489,1625182,99988.0
06.05.2022,WI,14482,1623008,99926.0
05.05.2022,WI,14442,1618023,99858.0
04.05.2022,WI,14442,1618023,99813.0
03.05.2022,WI,14424,1615315,99756.0
02.05.2022,WI,14415,1614126,99707.0
01.05.2022,WI,14415,1613441,99660.0
30.04.2022,WI,14415,1612258,99619.0
29.04.2022,WI,14413,1610601,99559.0
28.04.2022,WI,14413,1608845,99501.0
27.04.2022,WI,14411,1607201,99467.0
26.04.2022,WI,14411,1605576,99426.0
25.04.2022,WI,14405,1604375,99376.0
24.04.2022,WI,14405,1603633,99342.0
23.04.2022,WI,14405,1602713,99303.0
22.04.2022,WI,14403,1601444,99258.0
21.04.2022,WI,14403,1599989,99221.0
20.04.2022,WI,14403,1598531,99178.0
19.04.2022,WI,14403,1596788,99145.0
18.04.2022,WI,14391,1596614,99114.0
17.04.2022,WI,14391,1596252,99098.0
16.04.2022,WI,14391,1595663,99077.0
15.04.2022,WI,14390,1594940,99052.0
14.04.2022,WI,14390,1593979,99030.0
13.04.2022,WI,14390,1593003,98994.0
12.04.2022,WI,14372,1592306,98962.0
11.04.2022,WI,14349,1591602,98934.0
10.04.2022,WI,14349,1591266,98912.0
09.04.2022,WI,14349,1590778,98897.0
08.04.2022,WI,14344,1590205,98875.0
07.04.2022,WI,14340,1588689,98846.0
06.04.2022,WI,14340,1587977,98820.0
05.04.2022,WI,14338,1587188,98799.0
04.04.2022,WI,14338,1586636,98771.0
03.04.2022,WI,14337,1586389,98752.0
02.04.2022,WI,14316,1586162,98736.0
01.04.2022,WI,14317,1585768,98710.0
31.03.2022,WI,14317,1585243,98694.0
30.03.2022,WI,14315,1584697,98662.0
29.03.2022,WI,14315,1584114,98635.0
28.03.2022,WI,14315,1583646,98613.0
27.03.2022,WI,14296,1583443,98594.0
26.03.2022,WI,14296,1583184,98577.0
25.03.2022,WI,14201,1582815,98543.0
24.03.2022,WI,14201,1582369,98519.0
23.03.2022,WI,14201,1581921,98494.0
22.03.2022,WI,14201,1581480,98461.0
21.03.2022,WI,14200,1581083,98419.0
20.03.2022,WI,13994,1580915,98392.0
19.03.2022,WI,13994,1580658,98359.0
18.03.2022,WI,13960,1580313,98328.0
17.03.2022,WI,13959,1579888,98298.0
16.03.2022,WI,13959,1579346,98259.0
15.03.2022,WI,13958,1578825,98219.0
14.03.2022,WI,13768,1578361,98177.0
13.03.2022,WI,13768,1578302,98153.0
12.03.2022,WI,13768,1578027,98129.0
11.03.2022,WI,13713,1577659,98093.0
10.03.2022,WI,13713,1577154,98051.0
09.03.2022,WI,13713,1576625,98017.0
08.03.2022,WI,13713,1576049,97965.0
07.03.2022,WI,13562,1575691,97930.0
06.03.2022,WI,13560,1575456,97899.0
05.03.2022,WI,13560,1575139,97877.0
04.03.2022,WI,13489,1574581,97828.0
03.03.2022,WI,13488,1574001,97777.0
02.03.2022,WI,13488,1573407,97716.0
01.03.2022,WI,13486,1572583,97666.0
28.02.2022,WI,13351,1571986,97578.0
27.02.2022,WI,13350,1571637,97523.0
26.02.2022,WI,13346,1571212,97452.0
25.02.2022,WI,13256,1570460,97370.0
24.02.2022,WI,13256,1569645,97281.0
23.02.2022,WI,13251,1568701,97192.0
22.02.2022,WI,13247,1567557,97112.0
21.02.2022,WI,13108,1566719,97014.0
20.02.2022,WI,13106,1566254,96937.0
19.02.2022,WI,13104,1565541,96870.0
18.02.2022,WI,13068,1564381,96752.0
17.02.2022,WI,13043,1562836,96654.0
16.02.2022,WI,12991,1561035,96550.0
15.02.2022,WI,12969,1559233,96431.0
14.02.2022,WI,12969,1557670,96312.0
13.02.2022,WI,12965,1556905,96212.0
12.02.2022,WI,12930,1555584,96103.0
11.02.2022,WI,12877,1553551,95957.0
10.02.2022,WI,12877,1551122,95816.0
09.02.2022,WI,12786,1548219,95637.0
08.02.2022,WI,12739,1545059,95466.0
07.02.2022,WI,12669,1542751,95294.0
