date,state,death,positive,hospitalized
22.06.2022,WY,1829,163340,9835.0
21.06.2022,WY,1829,163340,9825.0
20.06.2022,WY,1824,162160,9819.0
19.06.2022,WY,1824,162160,9809.0
18.06.2022,WY,1824,162160,9798.0
17.06.2022,WY,1824,162160,9789.0
16.06.2022,WY,1824,162160,9782.0
15.06.2022,WY,1824,162160,9776.0
14.06.2022,WY,1824,162160,9768.0
13.06.2022,WY,1824,159707,9759.0
12.06.2022,WY,1824,159707,9751.0
11.06.2022,WY,1824,159707,9743.0
10.06.2022,WY,1824,159707,9736.0
09.06.2022,WY,1824,159707,9730.0
08.06.2022,WY,1820,158472,9723.0
07.06.2022,WY,1820,158472,9716.0
06.06.2022,WY,1820,158472,9711.0
05.06.2022,WY,1820,158472,9705.0
04.06.2022,WY,1820,158472,9702.0
03.06.2022,WY,1820,158472,9699.0
02.06.2022,WY,1820,158472,9693.0
01.06.2022,WY,1820,158472,9692.0
31.05.2022,WY,1820,158472,9686.0
30.05.2022,WY,1820,157861,9677.0
29.05.2022,WY,1820,157861,9674.0
28.05.2022,WY,1820,157861,9670.0
27.05.2022,WY,1820,157861,9666.0
26.05.2022,WY,1820,157861,9665.0
25.05.2022,WY,1817,157031,9661.0
24.05.2022,WY,1817,157031,9656.0
23.05.2022,WY,1817,157031,9651.0
22.05.2022,WY,1817,157031,9647.0
21.05.2022,WY,1817,157031,9645.0
20.05.2022,WY,1817,157031,9643.0
19.05.2022,WY,1817,157031,9639.0
18.05.2022,WY,1817,157031,9635.0
17.05.2022,WY,1817,157031,9635.0
16.05.2022,WY,1817,157031,9634.0
15.05.2022,WY,1817,157031,9632.0
14.05.2022,WY,1817,157031,9628.0
13.05.2022,WY,1817,157031,9624.0
12.05.2022,WY,1817,157031,9623.0
11.05.2022,WY,1817,157031,9621.0
10.05.2022,WY,1817,157031,9617.0
09.05.2022,WY,1814,156745,9614.0
08.05.2022,WY,1814,156745,9611.0
07.05.2022,WY,1814,156745,9609.0
06.05.2022,WY,1814,156745,9608.0
05.05.2022,WY,1814,156745,9606.0
04.05.2022,WY,1814,156745,9605.0
03.05.2022,WY,1814,156745,9603.0
02.05.2022,WY,1814,156745,9598.0
01.05.2022,WY,1812,156550,9594.0
30.04.2022,WY,1812,156550,9593.0
29.04.2022,WY,1812,156550,9593.0
28.04.2022,WY,1812,156550,9593.0
27.04.2022,WY,1812,156550,9591.0
26.04.2022,WY,1812,156550,9588.0
25.04.2022,WY,1807,156392,9588.0
24.04.2022,WY,1807,156392,9588.0
23.04.2022,WY,1807,156392,9588.0
22.04.2022,WY,1807,156392,9586.0
21.04.2022,WY,1807,156392,9585.0
20.04.2022,WY,1807,156392,9583.0
19.04.2022,WY,1807,156392,9583.0
18.04.2022,WY,1801,156258,9583.0
17.04.2022,WY,1801,156258,9581.0
16.04.2022,WY,1801,156258,9581.0
15.04.2022,WY,1801,156258,9578.0
14.04.2022,WY,1801,156258,9573.0
13.04.2022,WY,1801,156258,9573.0
12.04.2022,WY,1801,156258,9573.0
11.04.2022,WY,1796,156281,9571.0
10.04.2022,WY,1796,156281,9571.0
09.04.2022,WY,1796,156281,9571.0
08.04.2022,WY,1796,156281,9570.0
07.04.2022,WY,1796,156264,9568.0
06.04.2022,WY,1796,156264,9567.0
05.04.2022,WY,1796,156264,9564.0
04.04.2022,WY,1791,156167,9559.0
03.04.2022,WY,1791,156167,9557.0
02.04.2022,WY,1791,156167,9553.0
01.04.2022,WY,1791,156167,9551.0
31.03.2022,WY,1791,156112,9550.0
30.03.2022,WY,1791,156112,9549.0
29.03.2022,WY,1791,156112,9547.0
28.03.2022,WY,1749,154161,9545.0
27.03.2022,WY,1749,154161,9543.0
26.03.2022,WY,1783,154161,9541.0
25.03.2022,WY,1783,154161,9538.0
24.03.2022,WY,1749,155744,9536.0
23.03.2022,WY,1783,155744,9533.0
22.03.2022,WY,1783,155744,9531.0
21.03.2022,WY,1769,155744,9529.0
20.03.2022,WY,1769,155744,9527.0
19.03.2022,WY,1769,155744,9523.0
18.03.2022,WY,1769,155744,9515.0
17.03.2022,WY,1769,155744,9510.0
16.03.2022,WY,1769,155744,9507.0
15.03.2022,WY,1769,155744,9504.0
14.03.2022,WY,1749,155744,9501.0
13.03.2022,WY,1749,155744,9497.0
12.03.2022,WY,1749,155744,9493.0
11.03.2022,WY,1749,155744,9489.0
10.03.2022,WY,1749,155686,9481.0
09.03.2022,WY,1749,154909,9476.0
08.03.2022,WY,1749,154909,9475.0
07.03.2022,WY,1741,154909,9470.0
06.03.2022,WY,1741,154909,9467.0
05.03.2022,WY,1741,154909,9458.0
04.03.2022,WY,1741,154909,9449.0
03.03.2022,WY,1741,154909,9436.0
02.03.2022,WY,1741,154909,9427.0
01.03.2022,WY,1741,154909,9423.0
28.02.2022,WY,1718,154909,9418.0
27.02.2022,WY,1718,154549,9416.0
26.02.2022,WY,1718,154549,9410.0
25.02.2022,WY,1718,154549,9406.0
24.02.2022,WY,1718,154549,9399.0
23.02.2022,WY,1718,154549,9388.0
22.02.2022,WY,1718,153335,9380.0
21.02.2022,WY,1689,153335,9371.0
20.02.2022,WY,1689,153335,9359.0
19.02.2022,WY,1689,153335,9350.0
18.02.2022,WY,1689,153335,9329.0
17.02.2022,WY,1689,153335,9319.0
16.02.2022,WY,1689,153335,9304.0
15.02.2022,WY,1689,153335,9293.0
14.02.2022,WY,1667,153095,9276.0
13.02.2022,WY,1667,152581,9263.0
12.02.2022,WY,1667,152581,9245.0
11.02.2022,WY,1667,152581,9227.0
10.02.2022,WY,1667,151159,9210.0
09.02.2022,WY,1667,151159,9191.0
08.02.2022,WY,1667,151159,9159.0
07.02.2022,WY,1650,150722,9136.0
06.02.2022,WY,1650,149842,9122.0
05.02.2022,WY,1650,149842,9096.0
04.02.2022,WY,1650,149842,9070.0
03.02.2022,WY,1650,149126,9040.0
02.02.2022,WY,1650,148382,9014.0
01.02.2022,WY,1650,147305,8986.0
31.01.2022,WY,1625,146505,8958.0
30.01.2022,WY,1625,144526,8935.0
29.01.2022,WY,1625,144526,8909.0
28.01.2022,WY,1625,144526,8881.0
27.01.2022,WY,1625,143129,8855.0
26.01.2022,WY,1625,141090,8824.0
25.01.2022,WY,1625,139461,8800.0
24.01.2022,WY,1601,137873,8767.0
23.01.2022,WY,1601,135369,8738.0
22.01.2022,WY,1601,135369,8724.0
21.01.2022,WY,1601,135369,8697.0
20.01.2022,WY,1601,133495,8660.0
19.01.2022,WY,1601,132145,8636.0
18.01.2022,WY,1601,130553,8618.0
17.01.2022,WY,1588,126460,8597.0
16.01.2022,WY,1588,126460,8581.0
15.01.2022,WY,1588,126460,8562.0
14.01.2022,WY,1588,126460,8535.0
13.01.2022,WY,1588,124986,8509.0
12.01.2022,WY,1588,123743,8487.0
11.01.2022,WY,1588,122754,8474.0
10.01.2022,WY,1572,121519,8458.0
09.01.2022,WY,1572,119857,8449.0
08.01.2022,WY,1572,119857,8436.0
07.01.2022,WY,1572,119857,8424.0
06.01.2022,WY,1572,119093,8414.0
05.01.2022,WY,1572,118098,8399.0
04.01.2022,WY,1572,117389,8390.0
03.01.2022,WY,1526,116643,8375.0
02.01.2022,WY,1526,115638,8365.0
01.01.2022,WY,1526,115638,8353.0
31.12.2021,WY,1526,115638,8346.0
30.12.2021,WY,1526,115638,8335.0
29.12.2021,WY,1526,115242,8325.0
28.12.2021,WY,1526,114917,8317.0
27.12.2021,WY,1526,114624,8305.0
26.12.2021,WY,1526,114242,8299.0
25.12.2021,WY,1526,114242,8291.0
24.12.2021,WY,1526,114242,8281.0
23.12.2021,WY,1526,114242,8272.0
22.12.2021,WY,1526,114062,8261.0
21.12.2021,WY,1526,113906,8251.0
